main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
영상·사진·음향,영상촬영·편집,-,258,123,990000,3300000,5500000,748,"기업 관공서 홍보,제품 광고,SNS 바이럴 광고 제작해 드립니다.",왼손,https://kmong.com/gig/120864
영상·사진·음향,인터뷰 영상,-,313,76,700000,가격 없음,가격 없음,708,요즘 트렌드 인터뷰 영상 연출 촬영 편집하여 제작해 드립니다.,WOONGFILM,https://kmong.com/gig/161415
영상·사진·음향,드론 촬영,-,22,22,190000,350000,550000,22,국내 최고의 드론 항공 촬영 서비스를 제공해 드립니다.,에스제이드론,https://kmong.com/gig/316316
영상·사진·음향,성우,여성 성우,831,430,50000,80000,100000,407,여자성우 산뜻한 목소리로 녹음 연기해 드립니다.,백민경,https://kmong.com/gig/138626
영상·사진·음향,성우,여성 성우,1522,915,30000,50000,70000,506,"""친절하고 빠르게,모든 소리"" 로 녹음해 드립니다.",youllia,https://kmong.com/gig/74420
영상·사진·음향,애니메이션,-,52,35,1000000,2000000,3000000,132,다양한 분야의 애니메이션 콘텐츠 제작 해 드립니다.,1984스튜디오,https://kmong.com/gig/254962
영상·사진·음향,성우,남성 성우,1060,842,60000,100000,150000,444,"남자성우 한영 내레이션 더빙, 섬세하고 믿음가는 음성을 드립니다.",케이먼,https://kmong.com/gig/100615
영상·사진·음향,성우,여성 성우,1232,935,70000,120000,150000,575,"성우 양양 킬링보이스로 내레이션, 광고 등 녹음해 드립니다.",양양,https://kmong.com/gig/89810
영상·사진·음향,영상촬영·편집,-,73,37,660000,1650000,4400000,276,조회수UP 고퀄리티 영상 컨텐츠 제작해 드립니다.,영상쟁이들,https://kmong.com/gig/168426
영상·사진·음향,사진촬영,-,56,45,22000,110000,440000,383,오랜 기간의 노하우와 실력으로 좋은 결과물 만들어 드립니다.,스윙커머스,https://kmong.com/gig/228863
영상·사진·음향,사진촬영,-,307,247,200000,가격 없음,가격 없음,1249,"룩북,광고,화보,병원,행사,제품,사진,영상,음식 촬영해 드립니다.",Vintagefilm,https://kmong.com/gig/54388
영상·사진·음향,영상촬영·편집,-,444,7,990000,1980000,3300000,195,잘 팔리는 영상을 만들어 드립니다.,매진스튜디오,https://kmong.com/gig/110523
영상·사진·음향,영상촬영·편집,-,85,39,2200000,5500000,11000000,252,최고급 퀄리티로 트렌디한 홍보영상 제작해 드립니다.,본조,https://kmong.com/gig/234532
영상·사진·음향,인포·모션그래픽,-,41,35,400000,가격 없음,가격 없음,256,"'급한작업가능' 모션,인포그래픽, 기업홍보영상 작업해 드립니다.",모션그래픽바이럴영상,https://kmong.com/gig/274745
영상·사진·음향,영상촬영·편집,-,313,6,700000,1200000,2100000,134,SNS 광고할 바이럴 영상 제작해 드립니다.,WOONGFILM,https://kmong.com/gig/161217
영상·사진·음향,사진촬영,-,112,94,35000,185000,375000,414,제품의 이야기를 정성스럽게 담아 드립니다.,감각적식탁스튜디오,https://kmong.com/gig/190440
영상·사진·음향,사진촬영,-,17,7,180000,220000,1430000,451,"뷰티,룩북,뷰티 프로필,렌즈,화보,주얼리 촬영해 드립니다.",카이엔스튜디오,https://kmong.com/gig/228352
영상·사진·음향,성우,여성 성우,153,89,30000,100000,150000,114,"여자성우 광고 내레이션, 게임 캐릭터, ARS 녹음해 드립니다.",성우이유진,https://kmong.com/gig/291067
영상·사진·음향,사진촬영,-,590,406,11000,88000,440000,1196,"클라이언트 마음으로 제품,연출,누끼,광고,SNS촬영해 드립니다.",그랑팩토리,https://kmong.com/gig/104498
영상·사진·음향,사진촬영,-,472,223,16500,55000,242000,512,감성 충만한 제품 촬영 푸드 화장품 촬영 누끼 촬영해 드립니다.,스튜디오다름공간,https://kmong.com/gig/214562
영상·사진·음향,사진촬영,-,89,79,15000,40000,1200000,272,젠틀몬스터 출신 작가가 매출이 확 올라가는 사진 촬영해 드립니다.,브필스튜디오,https://kmong.com/gig/318869
영상·사진·음향,모델·MC·공연,MC,97,41,200000,300000,400000,74,아나운서 리포터 행사진행 홍보영상 제작의 품격을 높여 드립니다.,수아나,https://kmong.com/gig/174085
