main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
직무역량,데이터분석 레슨,데이터분석,438,68,50000,250000,360000,190,R기반 맞춤형 데이터 분석강의 진행해 드립니다.,박군,https://kmong.com/gig/84402
직무역량,사진 레슨,사진촬영,712,329,190000,220000,440000,860,"제품촬영,음식촬영,쇼핑몰 촬영 교육을 진행 해 드립니다.",원더풀웍스,https://kmong.com/gig/85311
직무역량,마케팅 레슨,페이스북·인스타그램,2341,317,200000,350000,600000,909,바이럴 마케팅 페이스북 인스타그램 구글 광고 개인 레슨 드립니다.,더블T,https://kmong.com/gig/82553
직무역량,프로그래밍 레슨,기획·PM,294,195,660000,990000,1390000,528,"왕초보 부터 경력자까지 UX기획, 웹서비스 기획 강의해 드립니다.",UX기획자제이크,https://kmong.com/gig/92528
직무역량,외국어 레슨(영어),일상회화,32,31,160000,320000,480000,34,귀가 뚫리고 입이 트이는 1:1 영어 회화 코칭 드립니다.,AYE,https://kmong.com/gig/357690
직무역량,PPT·프레젠테이션 레슨,스피치·보이스,85,57,300000,1200000,3000000,166,10년 경력의 아나운서가 온오프라인 스피치 컨설팅 해 드립니다.,parksarang,https://kmong.com/gig/93749
직무역량,그래픽디자인 레슨,포토샵,250,192,60000,80000,90000,556,"장소제공, 9년차 디자이너가 기초부터 실무까지 레슨해 드립니다.",디자이너윤,https://kmong.com/gig/177311
직무역량,외국어 레슨(영어),비즈니스 영어,257,108,50000,65000,95000,194,"원데이 ""영어면접"" 수업 드립니다.",쿼카영어,https://kmong.com/gig/237252
직무역량,마케팅 레슨,페이스북·인스타그램,113,112,290000,490000,990000,253,한 번 배우면 평생 써먹는 인스타그램 브랜딩 원데이레슨 드립니다.,하비마케팅,https://kmong.com/gig/180076
직무역량,프로그래밍 레슨,웹·앱 개발,162,106,300000,301000,390000,440,6월 선착순 2명. 파이썬으로 에이스 되는 법 가르쳐 드립니다.,손코딩,https://kmong.com/gig/129467
직무역량,외국어 레슨(기타 언어),인도네시아어,60,31,180000,330000,480000,17,"인도네시아어 화상강의 입문,문법,OPI 등 일대일 수업 드립니다.",BASANTARA인도네시아어,https://kmong.com/gig/180214
직무역량,그래픽디자인 레슨,일러스트,603,8,100000,150000,200000,107,"포토샵, 일러스트레이터, 인디자인을 원포인트 강의 해 드립니다.",디자인연구소장,https://kmong.com/gig/142454
직무역량,그래픽디자인 레슨,포토샵,603,43,50000,200000,300000,169,"원격강의 포토샵, 일러스트, 인디자인, 원포인트 레슨해 드립니다.",디자인연구소장,https://kmong.com/gig/167622
직무역량,마케팅 레슨,페이스북·인스타그램,885,38,290000,350000,580000,95,인스타그램 성장을 위한 2시간 실전교육 꼼꼼하게 알려 드립니다.,비앤,https://kmong.com/gig/185577
직무역량,그래픽디자인 레슨,포토샵,446,67,80000,100000,170000,215,전문강의 실무9년 現컴퓨터학원강사가 실무 포토샵 일러스트 알려 드립니다.,디자이너햄,https://kmong.com/gig/151501
직무역량,영상 레슨,-,374,127,200000,300000,450000,495,차근차근 언제 배울래 속성으로 원하는 영상 만들게해 드립니다.,JJONGE,https://kmong.com/gig/127522
직무역량,마케팅 레슨,구글 애널리틱스,144,107,40000,55000,70000,244,"비즈니스를 더 쉽게,구글애널리틱스와 퍼포먼스마케팅 알려 드립니다.",dave127,https://kmong.com/gig/146296
직무역량,마케팅 레슨,페이스북·인스타그램,104,61,550000,940000,1350000,278,90만 운영자가 빨리 영향력을 키우는 법을 전수해 드립니다.,브랜든조,https://kmong.com/gig/226642
직무역량,프로그래밍 레슨,웹·앱 개발,52,31,400000,650000,1000000,75,속성으로 유니티3D를 이용한 게임 개발 방법을 알려 드립니다.,pbkim2,https://kmong.com/gig/85256
직무역량,외국어 레슨(기타 언어),중국어,3284,43,30000,120000,300000,120,온라인 직장인 업무향상 프리토킹 회화 맞춤형 중국어수업 드립니다.,중국어고수아이비,https://kmong.com/gig/81224
직무역량,기타 직무역량 레슨,-,76,47,20000,가격 없음,가격 없음,96,매일30분 경제용어 100개 스터디로 금융문맹 탈출시켜 드립니다.,스노우볼,https://kmong.com/gig/268856
직무역량,프로그래밍 레슨,웹·앱 개발,96,82,50000,60000,80000,200,JavaScript로 하는 모든 코딩을 가르쳐 드립니다.,슈빈,https://kmong.com/gig/103950
직무역량,마케팅 레슨,기타 마케팅,36,31,150000,가격 없음,가격 없음,184,포지셔닝부터 마케팅 전략까지. 브랜드 만드는 법 알려 드립니다.,JuhyeokCurtisKim,https://kmong.com/gig/127369
직무역량,마케팅 레슨,페이스북·인스타그램,130,73,40000,300000,500000,252,성과를 올려주는 페이스북 광고 세팅 교육해 드립니다.,직접하세요,https://kmong.com/gig/87616
