main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
취미,음악·악기 레슨,-,121,122,180000,270000,350000,124,헐리우드 가수들이 받는 보컬 트레이닝 프로그램으로 가르쳐 드립니다.,브라운사운드보컬스튜디오,https://kmong.com/gig/93502
취미,미술·드로잉 레슨,-,55,10,35000,50000,70000,82,"붓고 흘려그리는 마법, 플루이드 아트클래스 드립니다.",드로잉클럽스튜디오,https://kmong.com/gig/181515
취미,음악·악기 레슨,-,393,376,55000,65000,250000,391,할인행사 리뷰수1위동바쌤 15년차 보컬트레이너가 레슨해 드립니다.,동바쌤,https://kmong.com/gig/82339
취미,음악·악기 레슨,-,52,22,50000,150000,200000,112,"MIDI 레슨 ,작곡 ,힙합 Logic Ableton 드립니다.",Roomp,https://kmong.com/gig/83446
취미,음악·악기 레슨,-,17,7,250000,300000,400000,70,빌보드 스타일의 트렌디한 팝 음악 만드는 법을 알려 드립니다.,케이나인프로덕션,https://kmong.com/gig/85343
취미,뷰티·패션 레슨,패션·코디,47,39,89000,128000,195000,254,전 뉴욕 패션 디자이너가 나만의 매력적인 스타일을 찾아 드립니다.,유제니,https://kmong.com/gig/229960
취미,헬스·PT 레슨,-,37,14,350000,660000,1320000,100,강남·분당 l 다이어트 체형교정 재활트레이닝 식단관리해 드립니다.,JinjuSelfTherapy,https://kmong.com/gig/117424
취미,헬스·PT 레슨,-,30,14,39000,616000,880000,59,당신에게 딱 필요한 프라이빗 방문 트레이닝 서비스를 해 드립니다.,괜찮은최코치,https://kmong.com/gig/88661
취미,뷰티·패션 레슨,패션·코디,141,113,70000,90000,150000,551,자신의 체형과 직업 상황에 맞는 스타일을 메이킹해 드립니다.,fashionlife,https://kmong.com/gig/70921
취미,미술·드로잉 레슨,-,17,6,50000,70000,180000,58,"마음을 그리고, 쓰는 캘리그라피  클래스로 나를 표현하는 법을 가르쳐 드립니다.",봄봄캘리,https://kmong.com/gig/148376
취미,음악·악기 레슨,-,8,0,50000,200000,300000,11,따뜻한 공감으로 가르치는 작곡미디 레슨 드립니다.,wabwab,https://kmong.com/gig/264765
취미,헬스·PT 레슨,-,30,30,400000,가격 없음,가격 없음,140,"맞춤식단,맞춤운동 ""홈트레이닝"" 2개월 프로젝트 진행해 드립니다.",shincoach,https://kmong.com/gig/109113
