main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
취업·입시,국내 자소서·이력서,로켓첨삭(특별관),401,267,99000,199000,699000,654,KAIST 서울대 대학원 출신 면접관이 직접 첨삭해 드립니다.,인생을바꾸는합격자소서,https://kmong.com/gig/226598
취업·입시,면접·커리어 컨설팅,대면 면접,170,68,150000,170000,300000,195,"대기업 공기업 합격자 141명 배출, 시행착오를 줄여 드립니다.",너를합격시킨다,https://kmong.com/gig/311074
취업·입시,국내 자소서·이력서,로켓첨삭(특별관),9182,6728,20000,40000,200000,3105,'4년 연속 크몽어워드' 자기소개서 첨삭 및 피드백 드립니다.,정현민,https://kmong.com/gig/676
취업·입시,국내 자소서·이력서,로켓첨삭(특별관),842,579,50000,150000,200000,1054,"자소서 컨설팅, 꽂히는 자소서로 새로 태어나게 만들어 드립니다.",자소서장인,https://kmong.com/gig/221978
취업·입시,국내 자소서·이력서,로켓첨삭(특별관),1692,908,6000,가격 없음,가격 없음,1446,초안이 필요없는 찐찐자소서 처음부터 완성해 드립니다.,ZZINZZIN,https://kmong.com/gig/306779
취업·입시,국내 자소서·이력서,로켓첨삭(특별관),798,494,99000,199000,690000,749,"합격률 1위, ""자기소개서부터 면접까지"" 한 번에 끝내 드립니다.",남현우대표,https://kmong.com/gig/147680
취업·입시,면접·커리어 컨설팅,대면 면접,879,485,249000,299000,339000,680,"현직 HR컨설턴트,영상통화로 ""합격하는 면접"" 디자인해 드립니다.",인터뷰디자이너,https://kmong.com/gig/213094
취업·입시,면접·커리어 컨설팅,이직·직무 컨설팅,385,184,65000,123000,600000,259,삼성 출신 인사전문가가 합격을 위한 취업 멘토링을 해 드립니다.,입사학교,https://kmong.com/gig/90264
취업·입시,국내 자소서·이력서,로켓첨삭(특별관),961,274,5000,30000,80000,268,대기업 과장이 취업 자소서 초안 없이 로켓 첨삭해 드립니다.,야망사냥꾼,https://kmong.com/gig/205126
취업·입시,면접·커리어 컨설팅,대면 면접,302,148,99000,229000,429000,273,엄취쌤이 취업의 마지막 관문인 면접 합격을 이루어 드립니다.,엄취쌤,https://kmong.com/gig/118228
취업·입시,면접·커리어 컨설팅,대면 면접,27,11,250000,450000,600000,44,"공기업 한판면접 온라인 컨설팅, 한 판에 끝내 드립니다.",한판면접,https://kmong.com/gig/332473
취업·입시,국내 자소서·이력서,로켓첨삭(특별관),182,135,20000,70000,120000,160,"대기업, 공기업 합격했던 자소서 첨삭 전문가가 첨삭해 드립니다.",자기소개서의모든것,https://kmong.com/gig/287629
취업·입시,외국계 자소서·이력서,-,69,37,10000,59000,99000,40,아이비리그 출신 해외근무자가 영문이력서/커버레터 완성해 드립니다.,CareerBooster,https://kmong.com/gig/359915
취업·입시,외국계 자소서·이력서,-,447,53,30000,88000,98000,51,현직 외국계 종사자가 영문 이력서 커버레터를 업그레이드 드립니다.,HaleyL,https://kmong.com/gig/282442
취업·입시,면접·커리어 컨설팅,이직·직무 컨설팅,246,46,50000,150000,300000,46,스크립트 첨삭 /면접 컨설팅/ 자소서 기반 질문 선별해 드립니다.,유니썜,https://kmong.com/gig/345182
취업·입시,국내 자소서·이력서,로켓첨삭(특별관),48,43,370000,400000,430000,76,"이력서, 자기소개서 돈 값 느낄 수 있도록 작업해 드립니다.",정기수,https://kmong.com/gig/304529
취업·입시,인적성·NCS필기,-,404,250,25000,40000,63000,69,공기업 화학화공직 합격자의 NCS 전공 노트를 알려 드립니다.,화공튜브,https://kmong.com/gig/274576
