company,career,education,region,reg,deadline,type,title,job,tag
(주)플라팜,신입 · 경력,학력무관,서울 성동구,2022-05-31,2022-06-29,정규직,상품에 활력을 불어넣어줄 센스있는 MD를 찾습니다.,"
, 사무직, 문서작성, 사무보조, 사이트관리, 콘텐츠관리,  외            ",고객상담·TM
(주)플라팜,신입 · 경력,학력무관,서울 성동구,2022-05-26,2022-06-29,정규직,생활용품 유아용품 발주 및 CS 담당 채용,"
, 사이트관리, 수/발주, CS관리, 상담원, CS,  외            ",고객상담·TM
(주)케이에이디,신입 · 경력,학력무관,경기 화성시,2022-05-27,2022-07-25,정규직,KAD-ASSA ABLOY 각 부문 신입 및 경력 사원 채용,"
, 용접원, 제조가공, CS, 고객관리, 기술상담,  외            ",고객상담·TM
(주)트랜스코스모스코리아,경력무관,학력무관,서울 중구,2022-06-05,2022-06-13,정규직,[주말/꿀알바/면접X] 삼성전자 단순 A/S 접수 업무 MRn9,"
, 문서작성, 사무보조, 사이트관리, 서류관리, 자료입력,  외            ",고객상담·TM
와이즐리컴퍼니(주),경력무관,학력무관,서울 강남구,2022-06-09,2022-06-30,정규직,[와이즐리컴퍼니] CX 매니저 채용 공고,"
, CX매니저,  ",고객상담·TM
(주)디모아,신입 · 경력,학력무관,서울 용산구,2022-04-28,2022-07-10,정규직,[쌍방울그룹 계열사] 각 분야 채용공고,"
, 데이터엔지니어, 유지보수, SE(시스템엔지니어), 빅데이터, 클라우드,  외            ",고객상담·TM
(주)지엔에이,신입 · 경력,고졸 이상,서울 강남구,2022-04-28,2022-06-19,프리랜서,[GNA 서울센터] 자동차 장기렌트/오토리스 영업사원 채용,"
, 영업관리, 영업직, 자동차딜러, 판매직, 영업마케팅,  외            ",고객상담·TM
(주)에스씨인터내셔널,경력무관,학력무관,서울 금천구,2022-05-10,2022-06-14,프리랜서,신차드림 지역별 장기렌트카 / 리스 인바운드 영업 (정착금지원),"
, 영업직, 영업마케팅, 영업전략, 온라인판매, 자동차영업,  외            ",고객상담·TM
(주)트랜스코스모스코리아,경력,고졸 이상,서울 금천구,2022-05-13,2022-06-16,정규직,쿠팡 고객센터 QA 모집,"
, 교육행정, 직업훈련, 교육기획, 교육컨설턴트, CS강사,  외            ",고객상담·TM
(주)트랜스코스모스코리아,경력,고졸 이상,서울 금천구,2022-05-13,2022-06-16,정규직,쿠팡 고객센터 교육강사 모집,"
, 교육행정, HRD, HRM, 법정의무교육, 인사교육,  외            ",고객상담·TM
상상의원,신입 · 경력,학력무관,서울 강남구,2022-05-14,2022-06-19,정규직,[주 4일제] 상담실장/코디네이터/간호팀/컨시어지 모집,"
, 간호조무사, 병원코디네이터, 비만관리사, 상담실장, 병원관리,  외            ",고객상담·TM
