main,middle,type,career,education,region,title,company,deadline,notice
고객상담·TM,"
, 교육행정, 학습상담, 학원생관리, 교육상담, 영어,  ",정규직,경력무관,"대학(2,3년) 이상",경기 수원시 영통구,초등 영어 전문가를 모십니다.,원어린이영어학원,2022-06-16,2022-06-07
고객상담·TM,"
, 차량도우미, 영업관리, 영업직, 영업마케팅, 영업판촉,  외            ",정규직 · 계약직,경력무관,학력무관,서울 강남구,[연3100만]NPDK 직영주차장 현장사원 채용 /경력무관,"NPD KOREA CO.,LTD.",2022-07-07,2022-06-07
고객상담·TM,"
, 데이터분석가, 자료조사, 조사원, 프로덕트마케팅, 설문조사,  외            ",정규직,경력,대학교(4년) 이상,서울 송파구,"[대명소노그룹] 개발기획, 건축설계, 아웃바운드 경력 인재 채용",(주)소노인터내셔널,채용시,2022-06-02
고객상담·TM,"
, 샵마스터, 매장관리, 매장매니저, 뷰티매니저, GRO(컨시어지),  외            ",정규직 · 계약직,경력무관,"대학(2,3년) 이상",서울 강남구,[아데르] 지점 CS / 운영 매니저 채용,(주)아카이브코퍼레이션,2022-08-02,2022-06-02
고객상담·TM,"
, 솔루션, 기술영업, 영업관리, 영업지원, 솔루션기술영업,  외            ",정규직,경력무관,학력무관,서울 강남구,골프사업 담당 채용(부킹/투어/컨시어지/사업마케팅/솔루션영업),(주)스마트스코어,채용시,2022-05-16
고객상담·TM,"
, 사무직, 문서작성, 비품관리, 사무보조, 사무행정,  외            ",정규직 · 계약직,경력무관,학력무관,서울 구로구,[신도림/정규직] 나이키닷컴 17기 공개채용 (이메일/채팅/상담),에이스휴먼파워(주),2022-06-24,2022-05-21
고객상담·TM,"
, 문서작성, 사무보조, 자료입력, 상담원, 인바운드,  외            ",정규직,경력무관,고졸 이상,광주 서구,[충분한교육/칼퇴근] SK Telecom 인바운드상담 매니저 공채 채용,피플잡(주),2022-07-08,2022-06-08
고객상담·TM,"
, 사무직, 사무보조, 사이트관리, 전화응대, 콘텐츠관리,  외            ",정규직,신입 · 경력,학력무관,서울 동대문구,남자의류쇼핑몰 오까네 CS팀 모집,(주)티디에이치컴퍼니,2022-06-15,2022-02-16
고객상담·TM,"
, 전화응대, 금융상품영업, 상담원, 인바운드, 텔레마케터,  외            ",정규직,신입 · 경력,학력무관,부산 연제구,카드발급 인바운드 상담사 모집[지원금확대/6.16투입 한시혜택],(주)휴넥트,2022-06-15,2022-06-08
고객상담·TM,"
, 자료입력, 전화응대, 특허관리, 정보처리, 서비스기획,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",경기 고양시 덕양구,전산시스템 웹 관리운영(전화상담 등) 및 부동산어플개발기획,(주)에스앤디컴퍼니,2022-06-19,2022-06-08
고객상담·TM,"
, 영업지원, 영업직, 영업마케팅, 영업전략, B2B,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 마포구,B2B전자상거래 영업/영업관리(정규직),(주)이상네트웍스,2022-06-19,2022-06-07
고객상담·TM,"
, 비서, 사무직, 안내데스크, 내방객응대, 간호사,  외            ",정규직,경력무관,"대학(2,3년) 이상",인천 연수구,365송도경희한의원에서 함께하실 실장님을 모십니다.,365송도경희한의원,2022-07-18,2022-05-19
고객상담·TM,"
, 영업관리, 영업지원, 거래처관리, 고객관리, 콜센터/고객센터,  외            ",정규직,2 ~ 15년,"대학(2,3년) 이상",서울 중구,컨택센터 운영및 영업관리 AM(Account Manager)채용,(주)메타엠,2022-07-10,2022-06-10
고객상담·TM,"
, 문서작성, 사무보조, 학습상담, 학원생관리, 논술/글쓰기,  외            ",정규직 · 계약직,경력 1년 이상,대학교(4년) 이상,경기 광명시,"C&A논술학원 [광명점] 초,중등 논술 강사 - 전임 및 파트",차오름학원,2022-06-15,2022-04-16
고객상담·TM,"
, 문서작성, 사무보조, 학습상담, 학원생관리, 논술/글쓰기,  외            ",정규직 · 계약직,경력무관,학력무관,경기 광명시,광명 차오름학원 데스크(상담실) 선생님,차오름학원,2022-07-06,2022-05-07
고객상담·TM,"
, 사무직, 문서작성, 사무보조, 고객안내, 고객응대,  외            ",정규직,경력무관,학력무관,서울 금천구,[ 단골앱 고객센터 ] 야간 4시간 근무 / 인바운드 상담,드림워커,2022-07-07,2022-06-08
고객상담·TM,"
, 교육행정, 직업훈련, 교육기획, 교육컨설턴트, CS강사,  외            ",정규직,경력,고졸 이상,서울 금천구,쿠팡 고객센터 QA 모집,(주)트랜스코스모스코리아,2022-06-16,2022-05-13
고객상담·TM,"
, 데이터엔지니어, 유지보수, SE(시스템엔지니어), 빅데이터, 클라우드,  외            ",정규직,신입 · 경력,학력무관,서울 용산구,[쌍방울그룹 계열사] 각 분야 채용공고,(주)디모아,2022-07-10,2022-04-27
고객상담·TM,"
, 영업직, 영업마케팅, 영업전략, 온라인판매, 자동차영업,  외            ",프리랜서,경력무관,학력무관,서울 금천구,신차드림 지역별 장기렌트카 / 리스 인바운드 영업 (정착금지원),(주)에스씨인터내셔널,2022-06-14,2022-05-09
고객상담·TM,"
, 교육행정, HRD, HRM, 법정의무교육, 인사교육,  외            ",정규직,경력,고졸 이상,서울 금천구,쿠팡 고객센터 교육강사 모집,(주)트랜스코스모스코리아,2022-06-16,2022-05-13
고객상담·TM,"
, 영업관리, 영업직, 자동차딜러, 판매직, 영업마케팅,  외            ",프리랜서,신입 · 경력,고졸 이상,서울 강남구,[GNA 서울센터] 자동차 장기렌트/오토리스 영업사원 채용,(주)지엔에이,2022-06-19,2022-04-28
고객상담·TM,"
, 교육행정, HRD, HRM, 법정의무교육, 인사교육,  외            ",정규직,경력,고졸 이상,부산 중구,쿠팡 부산고객센터 교육강사 모집,(주)트랜스코스모스코리아,2022-06-16,2022-05-14
고객상담·TM,"
, 상담원, 아웃바운드, 텔레마케터, 고객관리,  ",정규직,신입 · 경력,"대학(2,3년) 이상",대전 중구,전자입찰 TM영업 인재채용(사무직),비드코칭연구소(주),2022-06-18,2022-05-19
고객상담·TM,"
, 사무직, 문서작성, 사무행정, 서류관리, 시설관리,  외            ",정규직,경력무관,학력무관,강원 원주시,2022년 상반기 각 부문 신입·경력 사원 모집,(주)푸드플래닛,2022-06-27,2022-06-07
고객상담·TM,"
, 안내데스크, 매장매니저, 벨멘/도어맨, 안내데스크, 호텔리어,  외            ",정규직,신입 · 경력,학력무관,서울 마포구,"에이치 에비뉴 호텔 이대점(신촌점) 2022년 각 부분 신입,경력직 채용",에이치에비뉴 호텔 이대점,2022-07-07,2022-06-07
고객상담·TM,"
, 콘텐츠관리, 영업관리, 영업직, 영업판촉, 학원영업,  외            ",정규직 · 위촉직,신입 · 경력,고졸 이상,전국,[SBS게임아카데미] 전 지점 교육상담 EM 및 마케팅 담당자 채용,(주)에스씨에이게임강남,2022-06-21,2022-06-07
고객상담·TM,"
, 비서, 사무직, 사무보조, 사무행정, 경영지원,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",충남 아산시,(주)삼덕티엘에스 아산거점 행정지원 직무 채용,(주)삼덕티엘에스,2022-06-14,2022-06-07
고객상담·TM,"
, 상담원, 인바운드, CS, 고객관리, 교환/반품,  외            ",정규직,신입 · 경력,학력무관,대구 달서구,EX퍼니처 쇼핑몰 고객상담 정규직 채용,이엑스퍼니처,2022-06-21,2022-06-07
고객상담·TM,"
, 고객관리, 상담원, 인바운드, CS, CX매니저,  외            ",정규직,경력무관,대학교(4년) 이상,서울 용산구,고객상담/CS 매니저 정규직 채용,(주)큐플레이스,2022-06-21,2022-06-07
고객상담·TM,"
, 상담교사, 조교, 교육운영, 평생교육사, 학습상담,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 강남구,2022년 와이제이 교육그룹 신입/경력사원 채용,(주)와이제이에듀케이션,2022-06-14,2022-06-08
고객상담·TM,"
, 사무직, 비품관리, 사무보조, 자료입력, 자료조사,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 강남구,㈜앙블랑 CS 고객상담 신입 및 경력사원 모집,(주)앙블랑,2022-06-30,2022-06-08
고객상담·TM,"
, 더존, 법인결산, 부가세신고, 재무제표, 재무회계,  외            ",정규직,신입 · 경력,학력무관,서울 종로구,"[STUDIOAMT/아모멘토] 경영지원 인사,총무 / 브랜드 CS담당자 모집",(주)스튜디오에이엠티,2022-06-26,2022-06-08
고객상담·TM,"
, 더존, 법인결산, 부가세신고, 회계결산, 사무직,  외            ",정규직 · 전임,신입 · 경력,"대학(2,3년) 이상",서울 광진구,2022 심슨어학원 부문별 인재채용,(주)심슨교육,2022-10-07,2022-06-08
고객상담·TM,"
, 백엔드/서버개발, 웹마스터, 유지보수, 정보보안, CISO,  외            ",정규직 · 계약직,신입 · 경력,학력무관,서울 서초구,"IDC운영팀(운용, OP)/마케팅지원팀/미디어서비스팀 채용",유빈스(주),2022-06-21,2022-06-08
고객상담·TM,"
, 사무보조, 배송기사, 1톤, 영업관리, 영업지원,  외            ",정규직,신입 · 경력,고졸 이상,경기 화성시,"생산부,자재,설치,사무보조,발주,영업 담당 채용",(주)윤씨네,2022-06-21,2022-06-08
고객상담·TM,"
, 사무보조, 콘텐츠관리, Excel, OA, 매장관리,  외            ",정규직,경력무관,"대학(2,3년) 이상",서울 강남구,온라인 쇼핑몰 제품설명 / SNS 광고 계정관리,그랑파리,2022-06-17,2022-06-09
고객상담·TM,"
, 백엔드/서버개발, 정보보안, SE(시스템엔지니어), 네트워크, 경리,  외            ",정규직 · 계약직,신입 · 경력,학력무관,경남전체,"강림중공업, 강림인슈 신입/경력 채용",강림중공업(주),2022-06-17,2022-06-10
고객상담·TM,"
, 보안컨설팅, 앱개발, 웹개발, 웹마스터, 유지보수,  외            ",정규직 · 계약직,신입 · 경력,학력무관,서울 영등포구,[시원스쿨] 각 부문별 신입/경력 채용,(주)에스제이더블유인터내셔널,2022-06-16,2022-06-10
고객상담·TM,"
, 서무, 내방객응대, 사무보조, 사무행정, 자료입력,  외            ",정규직,경력무관,고졸 이상,대전 서구,"SKT 공식 CS매니저 정규채용/대구,대전 본사/최고의 근무환경",(주)에이치알엔,2022-06-17,2022-06-10
고객상담·TM,"
, 서무, 내방객응대, 사무보조, 사무행정, 자료입력,  외            ",정규직,경력무관,고졸 이상,대구 동구,"SK자회사 서비스탑/대전,대구본부 정규 인재 채용/경력무관",(주)에이치알엔,2022-06-20,2022-06-09
고객상담·TM,"
, 서무, 내방객응대, 사무보조, 사무행정, 자료입력,  외            ",정규직,경력무관,고졸 이상,대구 달서구,"SKT/(주)서비스탑 대전,대구 무선사업부문 정규채용/복지최강",(주)에이치알엔,2022-06-20,2022-06-09
고객상담·TM,"
, 사무직, 문서작성, 사무보조, 고객안내, 고객응대,  외            ",정규직,경력무관,학력무관,서울 영등포구,[ 야놀자 고객센터 ] 1차 단순 인바운드 상담원 채용,드림워커,2022-07-11,2022-05-08
고객상담·TM,"
, 사무직, 사무보조, 사무행정, 자료입력, 전화응대,  외            ",정규직,경력무관,고졸 이상,대전 서구,"SK Telecom그룹사 CS상담 정규직 채용/대전,대구 모집",(주)에이치알엔,2022-06-16,2022-05-17
