main,middle,type,career,education,region,title,company,deadline,notice
공공·복지,"
, 데이터엔지니어, QA/테스터, 검색엔진, 데이터라벨링, 스크립트,  외            ",계약직 · 파견직,경력무관,학력무관,서울 종로구,[연합뉴스TV] 방송국 - 아카이브 신입 채용(초보/신입),아산맨파워(주),2022-06-15,2022-06-10
공공·복지,"
, 사무직, 서무, 내방객응대, 문서작성, 사무보조,  외            ",계약직,경력무관,"대학(2,3년) 이상",서울 종로구,대한위암학회 사무국 직원 모집,대한위암학회,2022-06-20,2022-05-20
공공·복지,"
, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 웹개발,  외            ",정규직 · 계약직,신입 · 경력,학력무관,서울 서초구,2022 디타스 정규직 인재채용,(주)디타스,2022-06-21,2022-06-08
공공·복지,"
, 백엔드/서버개발, 정보보안, SE(시스템엔지니어), 네트워크, 경리,  외            ",정규직 · 계약직,신입 · 경력,학력무관,경남전체,"강림중공업, 강림인슈 신입/경력 채용",강림중공업(주),2022-06-17,2022-06-10
공공·복지,"
, 기술지원, 유지보수, SE(시스템엔지니어), SI개발, 알고리즘,  외            ",정규직 · 계약직,신입 · 경력,대학교(4년) 이상,충북 청주시,[CMES]  검사사업부 전 분야 채용 (시리즈B 300억 투자완료),(주)씨메스,2022-06-19,2022-05-30
공공·복지,"
, 경리, 사무직, 총무, 사무보조, 사무행정,  외            ",정규직,경력무관,고졸 이상,인천 남동구,청년창업기업 연봉 2520~ 정규직 만수동 복지용구 사무/매장관리,엠에이치(MH)실버복지용구,2022-07-04,2022-06-05
공공·복지,"
, 사무행정, 사회복지사, 방문요양,  ",정규직,경력무관,"대학(2,3년) 이상",서울 강남구,(주) 케어닥 방문요양팀 센터지원 담당 채용,(주)케어닥,채용시,2022-06-09
공공·복지,"
, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 앱개발,  외            ",정규직,신입 · 경력,학력무관,대구 수성구,"대규모 채용 (국내외 마케터, 개발자, 디자인, 인사, 기획)",(주)헤븐트리,2022-07-31,2022-05-31
공공·복지,"
, 기계조작원, 단순생산직, 품질검사원, 제조가공, 레이저가공,  외            ",정규직 · 병역특례,경력무관,학력무관,경기 안산시 단원구,"생산(기계조작원, 품질검사원) 채용",(주)조은전자,2022-06-26,2022-06-09
공공·복지,"
, 사무직, 총무, 사무보조, 전화응대, 간호조무사,  외            ",정규직 · 계약직,신입 · 경력,학력무관,서울 금천구,[((재택/상담))][(파트)타임((4시간))]쿠팡이츠(독산센터)상담직,좋은일자리센터,채용시,2022-06-07
