main,middle,type,career,education,region,title,company,deadline,notice
교육,"
, 비서, 사무직, 안내데스크, 내방객응대, 간호사,  외            ",정규직,경력무관,"대학(2,3년) 이상",인천 연수구,365송도경희한의원에서 함께하실 실장님을 모십니다.,365송도경희한의원,2022-07-18,2022-05-19
교육,"
, 문서작성, 사무보조, 사무행정, 서류관리, 자료조사,  외            ",계약직,경력무관,학력무관,서울 금천구,정부/공공기관 사업 운영 매니저 채용 (경력 무관),(주)와이즈플래닛컴퍼니,채용시,2022-06-08
교육,"
, 사무직, 사무보조, 교직원,  ",파견직,경력무관,"대학(2,3년) 이상",경기 용인시 기흥구,경희대학교 국제캠퍼스 산학협력단 행정 전담직 모집,(주)유니에스,2022-07-09,2022-06-10
교육,"
, 국제무역사, 무역사무원, 영업관리, 영업직, 식품/음료영업,  외            ",정규직,경력,대학교(4년) 이상,서울 송파구,[CJ제일제당 자회사-삼해상사㈜] 일본 해외영업 경력직 채용,삼해상사(주),2022-06-22,2022-06-10
교육,"
, 문서작성, 사무보조, 학습상담, 학원생관리, 논술/글쓰기,  외            ",정규직 · 계약직,경력 1년 이상,대학교(4년) 이상,경기 광명시,"C&A논술학원 [광명점] 초,중등 논술 강사 - 전임 및 파트",차오름학원,2022-06-15,2022-04-16
교육,"
, 문서작성, 사무보조, 학습상담, 학원생관리, 논술/글쓰기,  외            ",정규직 · 계약직,경력무관,학력무관,경기 광명시,광명 차오름학원 데스크(상담실) 선생님,차오름학원,2022-07-06,2022-05-07
교육,"
, 어학원, 영어,  ",정규직 · 파트,경력무관,대학교(4년) 이상,경기 화성시,헤럴드어학원 영어강사 모집,(주)헤럴드어학원,2022-06-30,2022-06-07
교육,"
, 파트강사, 학원강사, 속셈학원, 수학,  ",정규직,경력무관,"대학(2,3년) 이상",경기 수원시 장안구,이자경수학 정자관에서 중고등선생님 구합니다,주식회사 이자경수학정자학원,2022-06-24,2022-04-25
교육,"
, 교육행정, 직업훈련, 교육기획, 교육컨설턴트, CS강사,  외            ",정규직,경력,고졸 이상,서울 금천구,쿠팡 고객센터 QA 모집,(주)트랜스코스모스코리아,2022-06-16,2022-05-13
교육,"
, 교육행정, HRD, HRM, 법정의무교육, 인사교육,  외            ",정규직,경력,고졸 이상,서울 금천구,쿠팡 고객센터 교육강사 모집,(주)트랜스코스모스코리아,2022-06-16,2022-05-13
교육,"
, 교육행정, HRD, HRM, 법정의무교육, 인사교육,  외            ",정규직,경력,고졸 이상,부산 중구,쿠팡 부산고객센터 교육강사 모집,(주)트랜스코스모스코리아,2022-06-16,2022-05-14
교육,"
, 경리, 교육컨설턴트, 상담교사, 학습매니저, 학원강사,  외            ",정규직,경력무관,"대학(2,3년) 이상",서울 강남구,(주)베스탑교육 삼보어학원 각 부문별 상시 모집,(주)베스탑교육,2022-06-27,2022-04-28
교육,"
, 해외법인, 교육행정, 사무행정, 인사행정, 해외법인관리,  외            ",계약직 · 인턴직,경력무관,학력무관,서울 서대문구,미국국제교육교류기관 CIEE여름학기 교환학생프로그램 인턴 채용,CIEE(Council on International Educatio..,2022-06-14,2022-06-07
교육,"
, 사무직, 교육행정, 문서작성, 사무행정, 교직원,  외            ",정규직,경력무관,대학교(4년) 이상,서울 송파구,[국풀교육] 학원 운영 교육 및 홍보 업무,(주)국풀교육,2022-06-17,2022-06-07
교육,"
, 콘텐츠관리, 영업관리, 영업직, 영업판촉, 학원영업,  외            ",정규직 · 위촉직,신입 · 경력,고졸 이상,전국,[SBS게임아카데미] 전 지점 교육상담 EM 및 마케팅 담당자 채용,(주)에스씨에이게임강남,2022-06-21,2022-06-07
교육,"
, 상담교사, 조교, 교육운영, 평생교육사, 학습상담,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 강남구,2022년 와이제이 교육그룹 신입/경력사원 채용,(주)와이제이에듀케이션,2022-06-14,2022-06-08
교육,"
, 스타일리스트, 방적/방사, 섬유/의류, 기획MD, 바잉MD,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 송파구,㈜지엔코 Thursday Island OULET 디자인팀 사원급 채용,(주)지엔코,2022-06-16,2022-06-08
교육,"
, 더존, 법인결산, 부가세신고, 회계결산, 사무직,  외            ",정규직 · 전임,신입 · 경력,"대학(2,3년) 이상",서울 광진구,2022 심슨어학원 부문별 인재채용,(주)심슨교육,2022-10-07,2022-06-08
교육,"
, 교육컨설턴트, 교수설계, 교육운영, 교육컨텐츠개발, 교육컨텐츠기획,  외            ",정규직,경력무관,대학교(4년) 이상,서울 영등포구,"교재개발, 교육컨텐츠기획外 정규직 채용합니다(경력무관)",(주)삼양문화,2022-07-07,2022-06-07
교육,"
, C#, C++, C언어, iOS, Java,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 금천구,[백호프오토메이션] 영업/엔지니어/마케팅/교육 채용,백호프오토메이션(주),2022-06-25,2022-06-08
교육,"
, 보안컨설팅, 앱개발, 웹개발, 웹마스터, 유지보수,  외            ",정규직 · 계약직,신입 · 경력,학력무관,서울 영등포구,[시원스쿨] 각 부문별 신입/경력 채용,(주)에스제이더블유인터내셔널,2022-06-16,2022-06-10
교육,"
, 게임기획, 게임개발, 기획,  ",정규직 · 계약직,경력무관,학력무관,서울 강서구,미니게임 기획담당자 구인 (신입/경력),(주)롤링씨드,채용시,2022-05-03
교육,"
, 재무기획, 재무제표, 재무회계, 연구원, R&D,  외            ",정규직,경력 2년 이상,박사,서울 중구,보험 분야 박사급 연구직 채용공고,(사)한국금융연구원,채용시,2022-05-09
교육,"
, 교육행정, 직업훈련, 교육기획, 교육컨설턴트, CS강사,  외            ",정규직,경력,고졸 이상,부산 중구,쿠팡 부산고객센터 QA 모집,(주)트랜스코스모스코리아,2022-06-16,2022-05-14
교육,"
, 사무직, 사무보조, 사무행정, 작가, 통/번역,  외            ",정규직,신입,대학교(4년) 이상,서울 송파구,영문논문집 담당자 채용(영어전공/국제협력팀),(사)대한토목학회,2022-06-13,2022-05-18
