company,career,education,region,reg,deadline,type,title,job,tag
에이치엘비에너지(주),신입 · 경력,학력무관,부산 사하구,2022-03-07,2022-08-07,정규직 · 계약직,HLB에너지주식회사 부문별 신입/경력 수시채용,"
, 포크레인(굴삭기), 기계조작원, 안전보건관리자, 에너지관리, 창고관리,  외            ",구매·자재·물류
한국후지공업(주),신입 · 경력,"대학(2,3년) 이상",경기 화성시,2022-05-24,2022-06-19,정규직,2022년 한국후지공업(주) 상반기 각 부문 공개채용,"
, 지게차, 생산관리, QA, QC, 기술엔지니어,  외            ",구매·자재·물류
에쓰와이이앤씨(주),신입 · 경력,학력무관,서울 송파구,2022-06-03,2022-06-16,정규직,2022년 건설분야 신입·경력사원 채용,"
, 경리, 경리사무원, 4대보험, 급여(Payroll), 사무직,  외            ",구매·자재·물류
(주)엘파워텍,경력무관,"대학(2,3년) 이상",경기 화성시,2022-06-08,2022-06-19,정규직,2022년 하반기 각 분야별 신입/경력 채용,"
, 기술영업, 영업관리, 영업MD, 영업마케팅, 영업판촉,  외            ",구매·자재·물류
심로악기(주),경력무관,학력무관,서울 서초구,2022-06-09,2022-06-15,정규직 · 계약직,심로악기(주) 마케팅/영업/쇼핑몰 신입•경력 채용,"
, 유지보수, 솔루션, 웹표준·웹접근성, 그누보드, CSS,  외            ",구매·자재·물류
(주)에어미디어,경력무관,고졸 이상,서울 성동구,2022-05-04,채용시,계약직,사업지원팀 신입/경력 채용,"
, 사무보조, 고객관리, 재고관리, 거래처관리, 수불관리,  ",구매·자재·물류
(주)우인에프씨씨,경력무관,학력무관,경기 안성시,2022-05-31,2022-06-15,정규직,레노마수영복 안성물류센터 신입 및 경력사원 모집,"
, 섬유/의류, 패션잡화, 물류관리, 유통관리, 입고/입하,  외            ",구매·자재·물류
(주)동원파츠,경력 3년↑,"대학(2,3년) 이상",경기 시흥시,2022-06-09,2022-06-22,정규직,(주) 동원파츠 국내외 원소재 구매,"
, 자재구매, 자재관리, 구매, ERP,  ",구매·자재·물류
(주)신우금형,경력무관,학력무관,대전 대덕구,2022-06-07,2022-07-07,정규직,현장 생산관리 및 납품 직원 모집,"
, 생산관리, QC, 자재관리,  ",구매·자재·물류
디아이지에어가스㈜,신입 · 경력,대학교(4년) 이상,경기 안산시,2022-06-09,2022-06-16,정규직,"DIG에어가스㈜(구,대성산업가스) 각 부문별 신입/경력사원 모집","
, 경리, 전산회계, IR/공시, 더존, 4대보험,  외            ",구매·자재·물류
시마로지스(주),경력무관,"대학(2,3년) 이상",서울 양천구,2022-05-18,채용시,정규직,포워딩 해상 경력사원 모집,"
, 항공운송, 해상운송, 포워더, 물류관리, 국제물류,  외            ",구매·자재·물류
시마로지스(주),신입,"대학(2,3년) 이상",서울 양천구,2022-05-18,채용시,정규직,포워딩 신입직원 모십니다.,"
, 포워더, 국제물류, 통관,  ",구매·자재·물류
