main,middle,type,career,education,region,title,company,deadline,notice
구매·자재·물류,"
, 데이터엔지니어, 유지보수, SE(시스템엔지니어), 빅데이터, 클라우드,  외            ",정규직,신입 · 경력,학력무관,서울 용산구,[쌍방울그룹 계열사] 각 분야 채용공고,(주)디모아,2022-07-10,2022-04-27
구매·자재·물류,"
, 관리회계, 기업회계, 법인결산, 자금관리, 회계결산,  외            ",정규직,경력무관,학력무관,경남 김해시,[사업 확장에 따른 충원] 각 분야 신입/경력 채용,바다중공업(주),채용시,2022-01-20
구매·자재·물류,"
, 지게차, 영업직, 해외영업, 연구원, R&D,  외            ",정규직,경력무관,"대학(2,3년) 이상",경기 오산시,2022년 (주)이미인 각 부문 상시채용,(주)이미인,채용시,2022-05-12
구매·자재·물류,"
, 계산서발행, 관리회계, 급여(Payroll), 기업회계, 법인결산,  외            ",정규직,신입 · 경력,대학교(4년) 이상,인천 남동구,2022년 신입 및 경력사원 수시채용 모집,(주)창성,채용시,2022-05-13
구매·자재·물류,"
, 입고/입하, 출고/출하, 시공관리자, 안전관리자, 현장관리자,  외            ",정규직,신입 · 경력,고졸 이상,서울 강남구,건축PC 시공(안전관리/공사관리) 신입/경력사원 채용,(주)태명실업,채용시,2022-05-17
구매·자재·물류,"
, 경리, 경리사무원, 전산회계, 더존, 계산서발행,  외            ",정규직,신입 · 경력,고졸 이상,서울 마포구,"삼영무역㈜ 신입/경력사원 모집 (경영지원, 영업지원)",삼영무역(주),2022-06-14,2022-06-01
구매·자재·물류,"
, 기술영업, 영업관리, 영업지원, 영업직, 광고영업,  외            ",정규직,신입,"대학(2,3년) 이상",경기 성남시 분당구,(주)아이모비 마케팅 및 영업지원 직무 신입 채용,(주)아이모비,2022-06-23,2022-06-03
구매·자재·물류,"
, IR/공시, 더존, 4대보험, 계산서발행, 관리회계,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",경기 안산시 단원구,신양금속공업㈜ SY EV solutions 각 부문 신입/경력사원 채용,신양금속공업(주),2022-06-14,2022-06-07
구매·자재·물류,"
, 판매직, 매장관리, 대형마트, 물류관리, 유통관리,  외            ",정규직,경력,학력무관,경남 김해시,(주)좋은이웃마트 관리자(농산/청과/공산품) 경력사원 채용 공고,(주)좋은이웃마트,2022-06-17,2022-06-07
구매·자재·물류,"
, 기술지원, 앱개발, 퍼블리셔, SE(시스템엔지니어), 임베디드,  외            ",정규직 · 계약직,신입 · 경력,고졸 이상,대전 유성구,(주)제이오텍 2022년 6월 각 부문 수시 채용공고,(주)제이오텍,2022-06-17,2022-06-07
구매·자재·물류,"
, 구매관리, 물류관리, 자재관리, 재고관리, 구매기획,  외            ",정규직,신입,"대학(2,3년) 이상",충남 계룡시,[㈜페리카나] 프랜차이즈 구매팀 사원 모집(정규직),(주)페리카나,2022-06-19,2022-06-07
구매·자재·물류,"
, 매장매니저, 고객응대, 마케팅기획, 마케팅전략, 블로그마케팅,  외            ",정규직,신입 · 경력,학력무관,서울 서초구,[야마하 골프] 마케팅/디자이너/홍보/물류 채용,(주)오리엔트골프,2022-06-19,2022-06-07
구매·자재·물류,"
, 사무직, 문서작성, 사무행정, 서류관리, 시설관리,  외            ",정규직,경력무관,학력무관,강원 원주시,2022년 상반기 각 부문 신입·경력 사원 모집,(주)푸드플래닛,2022-06-27,2022-06-07
구매·자재·물류,"
, SAP, 계산서발행, 세무기장, 세무신고, 세무회계,  외            ",계약직,신입 · 경력,고졸 이상,서울 서초구,센터별 자재/행정직 모집,현대엘리베이터서비스(주),2022-06-21,2022-06-07
구매·자재·물류,"
, 임베디드, 기계조작원, 단순생산직, 생산관리, 외관검사원,  외            ",계약직,경력무관,학력무관,경북 구미시,[구미LG이노텍]스마트폰 생산직 모집(지정등록업체),에스엠솔루션,2022-06-14,2022-06-07
구매·자재·물류,"
, 생산관리, 품질검사원, QC, 회로설계, 전기제어,  외            ",정규직,경력 3년 이상,"대학(2,3년) 이상",경기 부천시,생산관리 및 품질관리 경력자 모집,(주)호서텔넷,2022-06-19,2022-06-07
구매·자재·물류,"
, 비서, 사무직, 사무보조, 사무행정, 경영지원,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",충남 아산시,(주)삼덕티엘에스 아산거점 행정지원 직무 채용,(주)삼덕티엘에스,2022-06-14,2022-06-07
구매·자재·물류,"
, 경리, 경리사무원, 회계사, 무역경리, 유통영업,  외            ",정규직,신입 · 경력,대학교(4년) 이상,대구 달서구,[폴리파크] 경리회계 사무직 신입/경력 사원 모집,(주)포파코,2022-06-14,2022-06-08
구매·자재·물류,"
, 총무, 사무보조, 사무행정, 시설관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,경기 안성시,[엘오티베큠자회사/안성 제1공단] 각 부문별 신입/경력 채용,(주)엘오티티에스,2022-06-19,2022-06-07
구매·자재·물류,"
, 식품/음료영업, 식품/음료판매, 기계조작원, 생산관리, QA,  외            ",정규직,경력무관,학력무관,부산 기장군,"식품제조회사 각 부문 채용 [온라인MD,품질관리,생산관리,생산]",(주)봄날인터내셔널,2022-06-30,2022-06-07
구매·자재·물류,"
, 단순생산직, 외관검사원, 품질검사원, 제조가공, 금속,  외            ",정규직,신입,학력무관,충남 당진시,철강 제품 포장 및 스키드 제작직 채용 공고,건일산업(주),2022-06-30,2022-06-07
구매·자재·물류,"
, 영업관리, 영업지원, 판매직, 가맹점관리, 거래처관리,  외            ",정규직,신입,고졸 이상,경남 함안군,"(주)트라이얼코리아 매장관리 신입사원 채용 (함안,마산,밀양)",(주)트라이얼코리아,2022-06-30,2022-06-07
구매·자재·물류,"
, 물류관리, 구매기획, 물류기획, 구매,  ",정규직,신입 · 경력,고졸 이상,대구전체,[폴리파크] 구매팀 정규직 모집,(주)포파코,2022-06-14,2022-06-08
구매·자재·물류,"
, 경리, 경리사무원, 회계사, 무역경리, 유통영업,  외            ",정규직,신입 · 경력,대학교(4년) 이상,대구 달서구,폴리파크 물류센터 경리/출납/사무 정규직 모집,(주)포파코,2022-06-14,2022-06-08
구매·자재·물류,"
, 더존, 4대보험, 관리회계, 기업회계, 내부감사,  외            ",정규직,경력무관,학력무관,서울 송파구,태형리싸이클링(주) 각 사업소 신입 및 경력사원 모집,태형리싸이클링(주),2022-06-17,2022-06-07
구매·자재·물류,"
, 전동지게차, 지게차, 기계조작원, 단순생산직, 설비OP,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",경기 김포시,자재구매팀/물류운영팀/생산팀 경력•신입 채용,코나아이 주식회사 김포공장,2022-06-14,2022-06-08
구매·자재·물류,"
, 지게차, 단순생산직, 품질검사원, QC, 제조가공,  외            ",계약직,경력무관,고졸 이상,충남 아산시,아산성우하이텍(성우하이텍 계열사) 전문 생산직 채용,㈜아산성우하이텍,2022-06-30,2022-06-08
구매·자재·물류,"
, 품질검사원, 구매관리, 물류관리, 자재관리, 재고관리,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 금천구,(주)한메가 구매팀/품질관리팀 [신입 및 경력] 채용,(주)한메가,2022-06-14,2022-06-07
구매·자재·물류,"
, 문서작성, 사무보조, Excel, OA, 기계조작원,  외            ",정규직,신입 · 경력,학력무관,경기 평택시,[외국계 기업] 생산 부문 신입/경력사원 채용,아지노모도농심푸즈(주),2022-06-17,2022-06-08
구매·자재·물류,"
, 영업관리, 영업직, 영업MD, 거래처관리, 거래처납품,  외            ",정규직,경력무관,"대학(2,3년) 이상",경기 파주시,(주)파미유 영업담당자 사원급 채용,(주)파미유,2022-06-29,2022-06-08
구매·자재·물류,"
, 지게차, 물류관리, 자재관리, 재고관리, 창고관리,  외            ",정규직,경력무관,학력무관,경기 하남시,[하남] 타일 창고 현장 직원 정규직 모집 공고,(주)아주세라믹스,2022-06-17,2022-06-07
구매·자재·물류,"
, 백엔드/서버개발, 웹마스터, 유지보수, 정보보안, CISO,  외            ",정규직 · 계약직,신입 · 경력,학력무관,서울 서초구,"IDC운영팀(운용, OP)/마케팅지원팀/미디어서비스팀 채용",유빈스(주),2022-06-21,2022-06-08
구매·자재·물류,"
, 기술영업, 영업관리, 영업지원, 영업직, 건설영업,  외            ",정규직,경력 3년 이상,학력무관,서울 서초구,"[수시모집] 영업직[건설사영업, 조달시장영업, 대리점영업] 모집",(주)이노블록,2022-06-14,2022-06-08
구매·자재·물류,"
, 사무보조, 배송기사, 1톤, 영업관리, 영업지원,  외            ",정규직,신입 · 경력,고졸 이상,경기 화성시,"생산부,자재,설치,사무보조,발주,영업 담당 채용",(주)윤씨네,2022-06-21,2022-06-08
구매·자재·물류,"
, 백엔드/서버개발, 정보보안, SE(시스템엔지니어), 네트워크, 경리,  외            ",정규직 · 계약직,신입 · 경력,학력무관,경남전체,"강림중공업, 강림인슈 신입/경력 채용",강림중공업(주),2022-06-17,2022-06-10
구매·자재·물류,"
, 재고관리, 수불관리,  ",정규직,경력무관,학력무관,경기 오산시,"브이텐시스템 수불,재고관리,발주 담당 채용(대리급 이상)",(주)브이텐시스템,채용시,2022-05-31
구매·자재·물류,"
, 납품운전원, 물류기사, 배송기사, 육상운송, 적재/하역,  외            ",정규직,경력무관,학력무관,경기 양주시,㈜거성푸드 물류배송직 담당직원 채용,(주)거성푸드,2022-06-17,2022-05-19
구매·자재·물류,"
, 유지보수, 감사, 경리, 공인회계사, 회계사,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",경기 평택시,2022년 상반기 각 부문 신입/경력 채용,(주)예스티,2022-06-20,2022-05-28
구매·자재·물류,"
, IR/공시, 더존, 4대보험, 급여(Payroll), 부가세신고,  외            ",정규직 · 병역특례,신입 · 경력,대학교(4년) 이상,서울 강서구,상반기 각 부문별 신입/경력 채용,아이진(주),채용시,2022-05-30
구매·자재·물류,"
, 물류기사, 배송기사, 택배기사, 1톤, 화물차(카고),  외            ",정규직 · 인턴직,경력무관,학력무관,서울 강남구,CS 운영기획 및 배송물류 신입/경력 채용,(주)프라이빗노트,2022-06-13,2022-06-03
구매·자재·물류,"
, 기술영업, 영업관리, 영업지원, 건설영업, 기업영업,  외            ",정규직,경력,"대학(2,3년) 이상",서울 양천구,"㈜유창 기술영업, 영업/영업관리 경력사원 모집",(주)유창,2022-06-19,2022-06-04
구매·자재·물류,"
, 경리, 전산회계, 자금관리, 재무제표, 재무회계,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 양천구,"㈜유창 영업지원, 재무, 인사총무 경력사원 모집",(주)유창,2022-06-19,2022-06-04
구매·자재·물류,"
, 자동차도장, 자동차튜닝, 단순생산직, 생산관리, 외관검사원,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",충북 진천군,생산기술/품질관리 신입 및 경력 채용,(주)오토닉스,2022-06-17,2022-06-03
