main,middle,type,career,education,region,title,company,deadline,notice
금융·보험,"
, 재무기획, 재무제표, 재무회계, 연구원, R&D,  외            ",정규직,경력 2년 이상,박사,서울 중구,보험 분야 박사급 연구직 채용공고,(사)한국금융연구원,채용시,2022-05-09
금융·보험,"
, IR/공시, 더존, 4대보험, 급여(Payroll), 부가세신고,  외            ",정규직 · 병역특례,신입 · 경력,대학교(4년) 이상,서울 강서구,상반기 각 부문별 신입/경력 채용,아이진(주),채용시,2022-05-30
금융·보험,"
, 사무직, 문서작성, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 강서구,현대자동차 고객센터 긴급출동 인바운드 상담직 모집,티엠파크,채용시,2022-06-01
금융·보험,"
, 사무직, 문서작성, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 강동구,[영업아님]우리은행  지점연결/위치안내 등 단순상담 모집,티엠파크,채용시,2022-06-04
금융·보험,"
, 내방객응대, 문서작성, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 강서구,ASUS 고객센터 제품관련 기술상담직 모집,티엠파크,채용시,2022-05-30
금융·보험,"
, 사무직, 문서작성, 사무보조, 자료입력, 고객안내,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 강서구,카카오뱅크 고객센터 대표번호 인바운드 상담직 모집,티엠파크,채용시,2022-06-08
금융·보험,"
, 사무직, 사무보조, 사이트관리, 자료입력, 전화응대,  외            ",정규직 · 계약직,경력무관,고졸 이상,대전 대덕구,[단순상담/통신비지원]LG유플러스 고객센터 114 정규직 모집,티엠파크,채용시,2022-05-20
금융·보험,"
, 사무직, 내방객응대, 문서작성, 사무보조, 사무행정,  외            ",정규직 · 계약직,경력무관,고졸 이상,부산 남구,[단순상담/주5일]롯데카드 주소/결제일변경 상담직 모집,티엠파크,2022-07-03,2022-06-04
금융·보험,"
, 사무보조, 사이트관리, 자료입력, 전화응대, 콘텐츠관리,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 강북구,기아 커넥트 고객센터 차량 원격 제어 인바운드 상담직 모집,티엠파크,채용시,2022-06-03
금융·보험,"
, PowerPoint, 영업지원, 부동산영업, 학술연구, 부동산투자,  외            ",정규직,경력,고졸 이상,서울 강동구,정비사업전문관리인 경력사원 채용,(주)서우디벨로퍼,2022-06-14,2022-05-26
금융·보험,"
, 영업직, 판매직, 영업마케팅, 영업전략, 영업판촉,  외            ",정규직,경력무관,고졸 이상,대구 서구,홍보팀 정규직 채용 공고,사단법인 한국나눔연맹,2022-06-13,2022-05-31
금융·보험,"
, 사무직, 문서작성, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 강서구,[금천구청역LG유플러스 정보변경/요금안내 상담직 남여모집,티엠파크,채용시,2022-06-01
금융·보험,"
, 사무직, 안내데스크, 내방객응대, 문서작성, 사무보조,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 관악구,[초보가능/단순상담]현대카드 결제금액안내/주소변경 상담직,티엠파크,2022-06-24,2022-05-25
금융·보험,"
, 사무직, 사무보조, 사이트관리, 자료입력, 자료조사,  외            ",정규직 · 계약직,경력무관,고졸 이상,충남 공주시,공주/코웨이 고객센터 정보변경 등 인바운드 상담 모집,티엠파크,채용시,2022-05-27
금융·보험,"
, 사무직, 문서작성, 사무보조, 사이트관리, 전화응대,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 강서구,코웨이 고객센터 정보변경 점검일정 문의 등 상담 모집,티엠파크,채용시,2022-05-28
금융·보험,"
, 사무직, 문서작성, 사무보조, 자료입력, 전화응대,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 강북구,삼성카드 기존고객대상 교체/추가발급 상담직 모집,티엠파크,채용시,2022-06-05
금융·보험,"
, 사무직, 문서작성, 사무보조, 자료입력, 고객안내,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 관악구,티몬 고객센터 주문/배송 관련 인바운드 상딤직 모집,티엠파크,채용시,2022-05-16
금융·보험,"
, 내방객응대, 문서작성, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 강서구,아이파크 고객센터 대표번호 인바운드 상담직 모집,티엠파크,채용시,2022-06-03
금융·보험,"
, 내방객응대, 문서작성, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,부산 금정구,[신입가능/주5일]롯데카드 주소/결제일변경 상담직 모집,티엠파크,채용시,2022-06-06
금융·보험,"
, 사무직, 문서작성, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 강서구,카카오페이 고객센터 어플 이용관련 상담 모집,티엠파크,채용시,2022-05-14
금융·보험,"
, 사무직, 문서작성, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 강서구,푸본현대생명 고객센터 정보변경 등 상담직 모집,티엠파크,채용시,2022-06-04
금융·보험,"
, 기술지원, 네트워크, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 관악구,[셔틀버스운행/면접X]LG헬로비전 모바일 114 문의 안내 모집,티엠파크,채용시,2022-06-03
