main,middle,type,career,education,region,title,company,deadline,notice
기획·전략,"
, 기획MD, 브랜드MD, 온라인MD, 유통MD, 매출관리,  외            ",정규직,경력무관,학력무관,서울 금천구,(주) 씨유기획 온라인 MD 채용,(주)씨유기획,2022-07-15,2022-06-07
기획·전략,"
, 쇼핑몰관리, 광고마케팅, 상품기획, 마케팅, 기획,  ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 서초구,자사 상품 개발 및 온라인 쇼핑몰 사업 함께할  인재를 모십니다,(주)굿바이콤플렉스,2022-06-25,2022-06-10
기획·전략,"
, 사무직, 문서작성, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,대전전체,[정규직/통신비지원]LG U+ 고객센터 모바일 인바운드 상담직,티엠파크,채용시,2022-05-27
기획·전략,"
, 기술지원, 사무직, 문서작성, 사무보조, 사이트관리,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 강남구,[정규직]LG U+ 고객센터 정보변경 등 인바운드 상담직 모집,티엠파크,2022-06-22,2022-05-23
기획·전략,"
, 사무직, 문서작성, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,부산전체,[부산/통근버스운행]엘지유플러스 고객센터 정규직 모집,티엠파크,채용시,2022-05-16
기획·전략,"
, 사무직, 문서작성, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,대구 달서구,[대구/영업X]LG유플러스 고객센터 모바일 114 정규직 모집,티엠파크,채용시,2022-05-16
기획·전략,"
, 사무직, 문서작성, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 강서구,카카오페이 고객센터 어플 이용관련 상담 모집,티엠파크,채용시,2022-05-14
기획·전략,"
, 사무직, 문서작성, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 강서구,푸본현대생명 고객센터 정보변경 등 상담직 모집,티엠파크,채용시,2022-06-04
기획·전략,"
, 사무직, 문서작성, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,광주전체,[정규직/광주]LG유플러스 고객센터 114 인바운드 상담직  모집,티엠파크,채용시,2022-05-20
기획·전략,"
, 기술지원, 네트워크, 사무보조, 사이트관리, 자료입력,  외            ",정규직 · 계약직,경력무관,고졸 이상,서울 관악구,[셔틀버스운행/면접X]LG헬로비전 모바일 114 문의 안내 모집,티엠파크,채용시,2022-06-03
