company,career,education,region,reg,deadline,type,title,job,tag
메가존클라우드(주),경력무관,학력무관,서울 강남구,2021-06-29,2022-06-30,정규직,[메가존클라우드] Developer & Designer 채용,"
, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수,  외            ",디자인
메가존클라우드(주),경력무관,학력무관,서울 강남구,2021-06-29,2022-06-30,정규직 · 인턴직,[메가존클라우드] Sales & Marketing 채용,"
, 보안컨설팅, 정보보안, IT컨설팅, SE(시스템엔지니어), 영상처리,  외            ",디자인
메가존클라우드(주),경력무관,학력무관,서울 강남구,2022-02-25,2022-06-30,정규직,Hybrid & AI 채용(Developer/SA/기획/Sales),"
, 백엔드/서버개발, 프론트엔드, 네트워크, 딥러닝, 아키텍쳐,  외            ",디자인
지앤비패럴랙스교육(주),경력,대학교(4년) 이상,서울 강남구,2022-05-12,채용시,정규직,2022 GnB패럴랙스교육 경력 공개채용,"
, 웹개발, 웹마스터, API, Git, PHP,  외            ",디자인
이지지아이에스(주),경력,대학교(4년) 이상,서울 금천구,2022-05-27,2022-06-12,정규직 · 계약직,빅데이터 분석 및 컨설팅/PM/Python/JAVA 개발/웹디자인 채용,"
, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 웹개발, 퍼블리셔,  외            ",디자인
(주)원트리즈뮤직,경력무관,학력무관,서울 강남구,2022-05-28,2022-06-16,인턴직,꿀 인턴(주4일 출근 / 1일 6시간)(서울),"
, 빅데이터, 편집디자인, 데이터분석, CS, C++,  ",디자인
(주)원트리즈뮤직,경력무관,학력무관,경기 양평군,2022-05-28,2022-07-26,인턴직,꿀 인턴(주4일 출근 / 1일 6시간)(양평군),"
, 빅데이터, 편집디자인, 데이터분석, CS,  ",디자인
(주)원트리즈뮤직,경력무관,학력무관,경기 연천군,2022-05-28,2022-06-30,인턴직,꿀 인턴(주4일 출근 / 1일 6시간)(연천군),"
, 빅데이터, 편집디자인, 데이터분석, CS,  ",디자인
(주)스피드썬,신입 · 경력,학력무관,서울 용산구,2022-06-02,2022-06-14,정규직,[삼성전자 공식파트너] 유튜브 영상 제작/촬영/편집 채용,"
, PD/AD/FD, 영상제작, 영상편집, 촬영, 촬영보조,  외            ",디자인
(주)올포애드,경력무관,학력무관,경기 화성시,2022-06-03,2022-06-20,정규직 · 계약직,일반사무행정 / 디자인기획팀 / 영업직 채용,"
, 사무직, 사무보조, 사무행정, 서류관리, 자료입력,  외            ",디자인
(주)인터비앤에프,신입 · 경력,학력무관,서울 송파구,2022-06-03,2022-06-12,정규직,영업팀/마케팅팀/경영지원 신입 및 경력 채용,"
, 경리, 경리사무원, 전표입력, 사무직, 총무,  외            ",디자인
(주)엑사이엔씨,경력 1년↑,"대학(2,3년) 이상",서울 구로구,2022-06-03,2022-06-30,정규직,건설부문 수시 채용 (설계/공사관리),"
, 감사, 기업회계, 법인결산, 외부감사, 원가회계,  외            ",디자인
(주)경일게임아카데미,경력무관,학력무관,서울 강동구,2022-06-03,2022-06-19,교육생,(정부지원) 게임회사 취업캠프 36기 수강생 모집!,"
, 게임개발, 데이터분석가, 백엔드/서버개발, 앱개발, 웹개발,  외            ",디자인
(주)마더케이,신입 · 경력,"대학(2,3년) 이상",경기 성남시 분당구,2022-06-03,2022-06-30,정규직,각 부문 신입 및 경력사원 모집,"
, 더존, 관리회계, 법인결산, 법인세신고, 부가세신고,  외            ",디자인
(주)마티인,경력무관,"대학(2,3년) 이상",서울 성북구,2022-06-04,2022-06-30,정규직,마케팅팀 웹/시각 디자이너 신입/경력사원 채용,"
, 콘텐츠관리, 채널관리, SNS, 인플루언서, 마케팅기획,  외            ",디자인
(주)마티인,신입 · 경력,"대학(2,3년) 이상",서울 성북구,2022-06-04,2022-06-30,정규직,2022년 마티인 브랜드 마케터 신입/경력사원 채용,"
, Javascript, XML, 사무직, 문서작성, 사무보조,  외            ",디자인
(주)창신아이엔씨,신입 · 경력,대학교(4년) 이상,부산전체,2022-06-04,2022-06-22,인턴직,창신Inc. 2022년 채용형 인턴 6월 수시채용,"
, 데이터엔지니어, 정보보안, QA/테스터, 모델링, DLP,  외            ",디자인
(주)브리지테일,경력,학력무관,서울 강남구,2022-06-07,2022-06-20,정규직,[반려동물스타트업]경영지원/디자인/마케팅/상품기획 경력 채용,"
, CSS, 더존, 세무회계, 재무회계, 경영지원,  외            ",디자인
(주)온리스타일,신입 · 경력,학력무관,경기 부천시 원미구,2022-06-08,2022-06-30,정규직,여성의류쇼핑몰[갠소] 스타일리스트 MD 신입/경력 모집,"
, 스타일리스트, 기획MD, 리테일MD, 패션잡화, 의상디자인,  외            ",디자인
한국미디어마케팅그룹(주),신입 · 경력,"대학(2,3년) 이상",서울 금천구,2022-06-08,2022-06-21,정규직,상반기 부문별 채용 (마케팅솔루션/뉴스팀총괄),"
, 인재발굴, 채용대행, 영업관리, 영업지원, 영업직,  외            ",디자인
(주)CMG제약,경력,대학교(4년) 이상,경기 성남시,2022-06-08,2022-06-21,정규직,2022 경력채용 (웹디자이너/퍼포먼스마케터),"
, 건강식품판매, 온라인판매, 화장품영업, 화장품판매, 온라인영업,  외            ",디자인
(주)제이류,3 ~ 12년,학력무관,서울 중구,2022-06-08,2022-07-03,정규직,디자이너브랜드 J RYU  서브 디자이너 (경력직) 채용공고,"
, 의상디자인, 여성의류, 우븐, 가방, 신발,  ",디자인
어디스플레이,경력 5년↑,"대학(2,3년) 이상",서울 영등포구,2022-05-30,2022-06-29,정규직,[옥쇼] 옥외광고 디자인팀 팀장 채용,"
, 광고디자인, 그래픽디자인, 영상디자인, 전시디자인, 옥외광고,  외            ",디자인
행복쇼핑(주),경력 1년↑,"대학(2,3년) 이상",서울 영등포구,2022-06-02,2022-08-01,정규직,UI 기획.디자이너/플랫폼 기획자/프로모션디자이너 경력자 채용,"
, 광고디자인, 그래픽디자인, 모바일디자인, 시각디자인, 웹디자인,  외            ",디자인
로지브라더스,신입 · 경력,학력무관,서울 강남구,2022-06-08,2022-07-07,정규직,[에듀테크 기업] UX/UI 디자이너 채용,"
, 앱디자인, 일러스트레이터, 콘텐츠디자인, UI/UX디자인, 일러스트,  외            ",디자인
(주)모스터일렉,신입 · 경력,"대학(2,3년) 이상",전북 전주시 완산구,2022-06-03,2022-07-15,정규직,"전자 제품 디자인/설계 인재(Rhino, 키샷, 3D설계 등) 모집","
, 기계설계, 기구설계, 3D설계, 산업디자인,  ",디자인
(주)뮤트스튜디오,2 ~ 7년,"대학(2,3년) 이상",서울 서초구,2022-05-12,2022-06-30,정규직,"[경력] 시각디자인, 편집디자인, 그래픽 -호텔사업부디자인관련","
, 광고디자인, 그래픽디자인, 로고디자인, 문구디자인, 브랜드디자인,  외            ",디자인
피엠지인티그레이티드커뮤니케이션즈(주),신입 · 경력,학력무관,서울 강남구,2022-05-11,2022-06-30,정규직 · 인턴직,PMG KOREA 인턴/경력직 공채,"
, 앱개발, 웹개발, 웹마스터, 퍼블리셔, 반응형웹,  외            ",디자인
(주)디케이비엠시,신입,학력무관,서울 강남구,2022-05-27,2022-06-30,정규직,2022년 상반기 DKBMC 신입사원 채용 공고,"
, 데이터분석가, 웹개발, 웹마스터, 유지보수, 프론트엔드,  외            ",디자인
(주)디케이비엠시,경력,학력무관,서울 강남구,2022-05-27,2022-06-30,정규직,2022년 상반기 DKBMC 경력사원 채용 공고,"
, 데이터분석가, 웹개발, 웹마스터, 유지보수, 프론트엔드,  외            ",디자인
(주)캐스트프로,신입 · 경력,"대학(2,3년) 이상",경기 성남시 중원구,2022-05-27,채용시,정규직,2022년 추가 모집(하드웨어/소프트웨어app개발/웹디자인),"
, 앱개발, 펌웨어, APM, H/W, S/W,  외            ",디자인
만전식품(주),1 ~ 3년,학력무관,서울 송파구,2022-05-28,2022-06-26,정규직,[만전김] 해외영업/이커머스/마케팅/패키지디자인 채용,"
, 해외시장개척, 해외영업, 무역거래, 무역영어, 바이어발굴/관리,  외            ",디자인
(재)차세대융합기술연구원,신입 · 경력,박사,경기 시흥시,2022-05-31,2022-06-23,정규직,차세대융합기술연구원 정규직 연구원 채용 공고,"
, 데이터분석가, 데이터엔지니어, 앱개발, 웹개발, 웹마스터,  외            ",디자인
(주)안트로젠,신입 · 경력,고졸 이상,서울 금천구,2022-05-31,2022-06-17,정규직 · 계약직,[(주)안트로젠] 각 분야 직원 채용공고,"
, 4대보험, 급여(Payroll), 부가세신고, 원천세신고, 서무,  외            ",디자인
(주)노랑푸드,신입 · 경력,학력무관,서울 강남구,2022-06-01,2022-06-15,정규직,노랑통닭 정규직 신입 및 경력 채용,"
, 채용담당자, ER(노무관리), HR컨설팅, HRD, HRM,  외            ",디자인
(사)부산벤처기업협회,신입 · 경력,학력무관,부산 사상구,2022-06-03,2022-06-30,정규직,2022 부산/경남 벤처기업 공동채용 공고,"
, 백엔드/서버개발, 웹개발, 프론트엔드, C#, C++,  외            ",디자인
(주)에스피앤파트너,신입 · 경력,학력무관,서울 강남구,2022-06-09,2022-07-10,정규직,브랜드 공간 공사. 공사 부서 건축.인테리어 채용(신입&경력),"
, 공간디자인, 실내디자인, 공무, 시공관리자, 실내건축시공,  외            ",디자인
(주)엘메드,1 ~ 5년,학력무관,경기 안양시 동안구,2022-05-28,채용시,정규직,디자인(웹디자인&배너디자인外 1개 부문) 채용,"
, 배너디자인, 웹디자인, 상세페이지,  ",디자인
주식회사 정인에프엔씨,신입 · 경력,학력무관,대구 수성구,2022-05-30,2022-06-29,정규직 · 계약직,(주)정인FNC (퍼플리아) 코디/사입 전문MD 경력자 모집,"
, 스타일리스트, 기획MD, VMD, 쇼핑몰, 시장조사,  외            ",디자인
주식회사 정인에프엔씨,신입 · 경력,학력무관,대구 수성구,2022-05-30,2022-06-29,정규직 · 계약직,(주)정인FNC (퍼플리아) 촬영연출 및 디렉팅 담당자 모집,"
, 기획MD, 브랜드MD, 온라인MD, 브랜드관리, 브랜드기획,  외            ",디자인
주식회사 정인에프엔씨,경력무관,"대학(2,3년) 이상",대구 수성구,2022-05-20,2022-07-09,정규직,주)정인F&C (쇼핑몰:퍼플) 웹디자이너 + 프리랜서 웹디 채용공고,"
, 퍼블리셔, 웹표준·웹접근성, 액션스크립트, CSS, HTML,  외            ",디자인
