main,middle,type,career,education,region,title,company,deadline,notice
디자인,"
, 여성의류, 패션디자인,  ",계약직,경력 1년 이상,학력무관,서울 강남구,[블랑앤에클레어] 패션 디자이너 경력직 채용 공고(계약직),블랑앤에클레어코리아(주),2022-08-06,2022-06-08
디자인,"
, 광고디자인, 시각디자인, 콘텐츠디자인,  ",정규직,경력 2년 이상,"대학(2,3년) 이상",서울 강남구,원트리즈뮤직 정규직 디자이너 채용 - 경력사원,(주)원트리즈뮤직,2022-06-17,2022-06-08
디자인,"
, 영상디자이너, 촬영감독, 포토그래퍼, 미디어플래너, 영상자막,  외            ",계약직,경력무관,고졸 이상,서울 강서구,대한항공 컨텐츠 디자이너 모집/주5일/온라인 교육컨텐츠,(주)에이치알엔,2022-06-23,2022-06-07
디자인,"
, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발,  외            ",교육생,신입 · 경력,학력무관,서울전체,[국비지원 취업]빅데이터·웹앱개발/웹/광고편집/영상/건축,(주)이젠아카데미,2022-07-31,2021-02-23
디자인,"
, 포토그래퍼, 웹디자인, 일러스트레이터, PhotoShop, 프로토타이핑,  ",정규직,경력,학력무관,서울 강남구,"[(주)캉카스백화점] 이미지 보정 ,누끼, 전문 경력자 채용",(주)캉카스백화점,2022-06-30,2021-04-08
디자인,"
, Ajax, AWS, HTML, HTML5, Java,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,[직영] DYB최선어학원 각 부문 STAFF 모집,(주)DYB최선어학원,2022-07-21,2022-05-19
디자인,"
, IT컨설팅, 세무사, 전산회계, 회계사, 관리회계,  외            ",정규직 · 계약직,신입 · 경력,학력무관,서울 강남구,알피바이오 신입/경력 채용,(주)알피바이오,2022-06-21,2022-05-21
디자인,"
, HTML, Javascript, XML, 문서작성, OA,  외            ",정규직 · 인턴직,신입 · 경력,대학교(4년) 이상,서울 강남구,MOSS CREATIVE 디자인팀/광고기획팀 채용공고,(주)모스크리에이티브,채용시,2022-06-03
디자인,"
, 그래픽디자인, 상세페이지, 일러스트, 프리미어,  ",정규직 · 계약직,신입 · 경력,고졸 이상,서울 구로구,2022년 하반기 그래픽디자인 신입&경력 모집합니다(상세페이지),(주)아이소라이프,2022-07-09,2022-06-09
디자인,"
, 마케팅기획, 마케팅전략, 블로그마케팅, 인플루언서마케팅, SNS마케팅,  외            ",정규직,경력무관,학력무관,서울 강남구,중고폰1위 하이폰마켓 자사몰확장으로추가  마케팅&디자인 구인,(주)오케이모바일,2022-08-06,2022-06-08
디자인,"
, 병원마케팅, 마케팅기획, 마케팅전략, 블로그마케팅, 콘텐츠기획,  외            ",정규직,신입 · 경력,학력무관,서울 강서구,그래픽 / 웹디자이너님 정규직 모집 - 미용병원 네트워크,(주)살루멘,2022-07-09,2022-06-09
디자인,"
, 영상디자이너, 영상제작, 영상편집, 촬영, 유튜브,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 강서구,[교직원 파트별 채용] 입학상담 / 영상촬영편집,(재)서울호서직업전문학교,2022-07-07,2022-06-08
디자인,"
, SNS, 모바일디자인, 배너디자인, 웹디자인, 일러스트레이터,  외            ",정규직,경력무관,학력무관,서울 성동구,트렌디한 디지털 컨텐츠 디자이너 신입및 경력 채용 모집,어썸피플(주),2022-06-30,2022-05-31
디자인,"
, 퍼블리셔, 웹표준·웹접근성, CSS, HTML, 콘텐츠에디터,  외            ",정규직,경력무관,학력무관,서울 중구,사람인HR 채용공고 디자인팀  관리자 채용,(주)메타엠,2022-06-30,2022-06-01
디자인,"
, 콘텐츠관리, SNS마케팅, 온라인마케팅, 콘텐츠마케팅, 웹디자인,  외            ",정규직 · 인턴직,경력무관,"대학(2,3년) 이상",서울 서초구,"화장품 마케팅, 브랜드 컨텐츠기획,  SNS 컨텐츠마케팅, 인턴",(주)엔비커뮤니티,2022-06-30,2022-05-14
디자인,"
, 기획MD, VMD, 패션잡화, 의상디자인, 잡화디자인,  외            ",정규직,신입,고졸 이상,서울 동대문구,남자의류쇼핑몰 오까네 MD(스타일리스트) 채용,(주)티디에이치컴퍼니,2022-06-15,2022-03-25
