main,middle,type,career,education,region,title,company,deadline,notice
마케팅·홍보·조사,"
, 자금관리, 총무, 내방객응대, 문서작성, 비품관리,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,2022년 경영지원/MD/콘텐츠 부문 공개채용 (한국지사 사세확장),에빈코리아(유),2022-06-25,2022-04-29
마케팅·홍보·조사,"
, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 웹개발,  외            ",정규직 · 계약직,신입 · 경력,학력무관,서울 구로구,㈜딥노이드 각 부문 신입 / 경력 채용,(주)딥노이드,2022-07-31,2022-05-14
마케팅·홍보·조사,"
, 마케팅기획, 기업홍보, 언론홍보, IMC, 홍보,  ",정규직,3 ~ 10년,대학교(4년) 이상,서울 마포구,[홍보/PR/언론홍보] 홍보팀 팀장급 채용,(주)인터커뮤니케이션즈,2022-06-15,2022-05-17
마케팅·홍보·조사,"
, 경리, 세무사, 회계사, 법인결산, 재무기획,  외            ",교육생,경력무관,고졸 이상,서울 서초구,[종합반] 법률사무 취업과정 교육생 모집(6월 29일 개강),(주)중앙법률사무교육원,2022-06-28,2022-05-31
마케팅·홍보·조사,"
, 사무직, 사무보조, 사무행정, 사이트관리, 서류관리,  외            ",정규직,신입 · 경력,학력무관,서울 영등포구,기업 및 공공기관 디지털마케팅 담당자(신입/경력) 및 캐릭터산업 경력자 채용,(주)브랜드마치,2022-06-14,2022-06-10
마케팅·홍보·조사,"
, 사무직, 문서작성, 사이트관리, 기획MD, 브랜드관리,  외            ",정규직,경력무관,학력무관,인천 연수구,생활용품 상품기획 BM 모집,주식회사 쇼엠커머스,2022-07-10,2022-06-10
마케팅·홍보·조사,"
, AE(광고기획자), 마케팅기획, 마케팅전략, 콘텐츠기획, AE(광고기획자),  외            ",정규직 · 계약직,신입 · 경력,대학교(4년) 이상,서울 강서구,브랜드 전략기획 신입/경력 채용,(주)매스씨앤지,2022-06-30,2022-06-08
마케팅·홍보·조사,"
, 마케팅, 기획, 홍보,  ",정규직,경력무관,학력무관,서울 서초구,"(경력무관 연봉 2800~) 페이지성형외과, 마케팅 정규직 채용",페이지성형외과의원,채용시,2022-05-28
마케팅·홍보·조사,"
, 데이터분석가, DBA, 데이터마이닝, 데이터시각화, 딥러닝,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 금천구,통계 분석 및 GIS 분석 경험자 모십니다.,(주)더원테크,2022-06-30,2022-06-01
마케팅·홍보·조사,"
, 마케팅기획, 광고마케팅, 기업홍보, 온라인마케팅, AE(광고기획자),  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 용산구,디지털 마케팅/콘텐츠 기획 AE 신입/경력자 모집,커뮤니크(주),2022-06-24,2022-05-26
마케팅·홍보·조사,"
, 앱개발, 웹개발, .NET, ASP, HTML,  외            ",정규직 · 계약직,신입 · 경력,"대학(2,3년) 이상",서울 강남구,[트립토파즈] 하반기 채용 - 호텔예약 & 여행메타 플랫폼,(주)트립토파즈,2022-07-03,2022-06-03
마케팅·홍보·조사,"
, 약사, 배송기사, QA, 제약/바이오, 출고/출하,  외            ",정규직,경력무관,학력무관,경기 시흥시,(주)코미팜 각분야 신입/경력 인재를 모집합니다.,(주)코미팜,2022-06-30,2022-06-08
