main,middle,type,career,education,region,title,company,deadline,notice
상품기획·MD,"
, 온라인MD, AMD, 상품관리, 쇼핑몰, 오픈마켓,  외            ",계약직,경력무관,학력무관,경기 성남시 분당구,가비아CNS 온라인 쇼핑몰 AMD 및 CS 모집,(주)가비아씨엔에스,채용시,2022-05-19
상품기획·MD,"
, 전산총무, 무역사무원, 영업관리, 영업지원, 영업MD,  외            ",정규직 · 계약직,경력무관,학력무관,전북 익산시,"영업, 생산, 공무, 전산 부문 外 신입/경력 채용",오성첨단소재(주),2022-07-09,2022-05-11
상품기획·MD,"
, 영상처리, 전산회계, IR/공시, 4대보험, 급여(Payroll),  외            ",정규직,경력,고졸 이상,전남 강진군,2022년 각 부문별 상반기 채용,(주)로우카본,2022-06-13,2022-05-11
상품기획·MD,"
, 기술지원, 백엔드/서버개발, 앱개발, 웹개발, 유지보수,  외            ",정규직,경력무관,학력무관,서울 강남구,비브스튜디오스 NFT 및 신사업 정규채용,(주)비브스튜디오스,2022-06-19,2022-05-26
상품기획·MD,"
, 거래처관리, 고객관리, 매장매니저, CS관리, 지점관리자,  외            ",정규직,신입 · 경력,학력무관,서울 관악구,코리빙하우스 지점 운영 및 관리 정규직 채용공고,로카101(주),2022-06-16,2022-06-07
상품기획·MD,"
, MSSQL, MySQL, NoSQL, PL/SQL, SQL,  외            ",정규직 · 계약직,신입 · 경력,"대학(2,3년) 이상",서울 마포구,각 부문별 신입/경력사원 채용,(주)신지모루,2022-06-20,2022-06-07
상품기획·MD,"
, 물류기사, 전동지게차, 지게차, 생산관리, 설비OP,  외            ",정규직,신입 · 경력,고졸 이상,충북 음성군,㈜한국화장품제조 음성공장 정규직 신입/경력 사원 채용,(주)한국화장품제조음성공장,2022-06-14,2022-06-08
상품기획·MD,"
, 총무, 내방객응대, 비품관리, 사내행사, 시설관리,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 강남구,"각 부문 신입, 경력 모집 (광고기획, 디자이너, 총무)",(주)석정애드써밋,2022-06-19,2022-06-10
상품기획·MD,"
, 인사교육, 인사기획, 인사행정, 영업관리, 영업지원,  외            ",정규직 · 계약직,경력 2년 이상,대학교(4년) 이상,경기 성남시 분당구,고운세상코스메틱(Dr.G) 채용/홍보/경영기획/수퍼바이저 경력채용,(주)고운세상코스메틱,채용시,2022-06-10
상품기획·MD,"
, 기획MD, 브랜드MD, 영업MD, 오프라인MD, 온라인MD,  외            ",정규직,경력 3년 이상,학력무관,서울 성동구,패션브랜드 파사드패턴 온/오프라인 MD 경력직 모집,(주)파사드패턴,채용시,2022-06-10
상품기획·MD,"
, 생산관리, QC, 기획MD, 유통MD, 남성의류,  외            ",정규직,경력 8년 이상,학력무관,서울 성동구,패션브랜드 파사드패턴 생산 MD 경력직 모집,(주)파사드패턴,채용시,2022-06-10
상품기획·MD,"
, 온라인MD, 소셜커머스, 식품, 오픈마켓, AMD,  외            ",정규직,경력 1년 이상,학력무관,서울 성동구,[건강식품] 쇼핑몰 온라인MD 식품MD AMD 이커머스 경력 모집,(주)비앤에프,2022-06-14,2022-06-07
상품기획·MD,"
, 콘텐츠관리, 브랜드기획, 콘텐츠기획, 디지털마케팅, 온라인마케팅,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 구로구,[사람인NX팀] 디지털 콘텐츠 기획자,(주)사람인에이치알,2022-07-03,2022-06-10
상품기획·MD,"
, 쇼핑몰관리, 자사몰관리, 웹디자인, 상세페이지, 쇼핑몰,  ",정규직,경력 3년 이상,학력무관,서울 금천구,P-31 스니커즈 쇼핑몰 웹디자이너(경력) 정규직 채용,(주)피31코리아,2022-07-08,2022-06-09
상품기획·MD,"
, 아웃소싱, 인력관리, 채용대행, 영업관리, 판매직,  외            ",정규직,경력무관,"대학(2,3년) 이상",서울 서초구,[연봉 3400 ~] 공유오피스 공간관리 담당자 모집,(주)홈마스터,채용시,2022-05-21
상품기획·MD,"
, 4대보험, 급여(Payroll), 내부감사, 부가세신고, 손익관리,  외            ",정규직,경력 1년 이상,대학교(4년) 이상,서울 강남구,경력직(MD/디자인/마케팅/고객만족/재무회계)채용,(주)아르케인터내셔날,2022-06-23,2022-05-31
상품기획·MD,"
, 안내데스크, 영업관리, 캐셔, 판매직, 식품/음료판매,  외            ",정규직,신입 · 경력,학력무관,서울 강남구,빌즈(bills) 잠실/강남점 홀서비스/바리스타/주방조리 정규직 채용,(주)써니사이드업코리아,2022-06-30,2022-05-31
상품기획·MD,"
, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 앱개발,  외            ",정규직,신입 · 경력,학력무관,대구 수성구,"대규모 채용 (국내외 마케터, 개발자, 디자인, 인사, 기획)",(주)헤븐트리,2022-07-31,2022-05-31
