main,middle,type,career,education,region,title,company,deadline,notice
연구·R&D,"
, 데이터엔지니어, 앱개발, 웹마스터, 유지보수, IT컨설팅,  외            ",정규직,신입 · 경력,대학교(4년) 이상,경기 화성시,2022년도 비오니어 상반기 신입/경력직 공개채용,비오니어코리아(유),2022-07-28,2022-04-30
연구·R&D,"
, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발,  외            ",정규직,신입 · 경력,학력무관,경기 성남시,2022년도 상반기 신입/경력 정기채용,(주)모아데이타,2022-06-26,2022-05-25
연구·R&D,"
, 연구원, 기술연구, 신소재,  ",정규직,경력무관,대학교(4년) 이상,경기 안산시 단원구,연구소 Metal Mask 및 Photo-Etching 기술개발 직원모집,풍원정밀(주),채용시,2022-06-01
연구·R&D,"
, HR컨설팅, HRD, HRM, 학술연구, 교육기획,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 구로구,,(주)인키움,채용시,2022-06-08
연구·R&D,"
, 임상병리사, CRA(임상연구원), 임상시험, 채혈, 조직병리,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",경기 성남시 중원구,바이오&연구·실험·기술&의약품&영업外 정규직 채용 - 각 부문,(주)제니아,2022-07-05,2022-06-09
연구·R&D,"
, 유지보수, 머신러닝, 알고리즘, 영상처리, 임베디드,  외            ",정규직,신입 · 경력,고졸 이상,경기 화성시,PLC/전장설계/배선/SW개발자/머신 비전·영상처리/사무보조 채용,피씨엔오티(주),2022-06-21,2022-02-15
연구·R&D,"
, SE(시스템엔지니어), DevOps, H/W, S/W, .NET,  외            ",정규직,신입 · 경력,학력무관,경기 용인시,㈜하나기술 2022년 상반기 각 부문별 직원 채용 공고,(주)하나기술,2022-07-24,2022-05-24
연구·R&D,"
, 연구원, R&D, R&D기획, 정책연구, 학술연구,  ",계약직,신입,대학교(4년) 이상,서울 금천구,한국우주기술진흥협회 공개채용 공고,(사)한국우주기술진흥협회,채용시,2022-05-25
연구·R&D,"
, 기술지원, 기술영업, 영업직, 영업MD, 영업전략,  외            ",정규직,신입 · 경력,학력무관,서울 송파구,"기술영업 신입,경력사원 모집",썬덴코리아(주),채용시,2022-05-31
연구·R&D,"
, 생명과학, 세포실험, 실험보조, 유전자, 임상시험,  외            ",정규직 · 파트,신입 · 경력,고졸 이상,대전 유성구,생산관리/검사직 담당자 채용,(주)지노믹트리,2022-06-17,2022-05-31
