main,middle,type,career,education,region,title,company,deadline,notice
운전·운송·배송,"
, 물류기사, 탑차, 지게차, 물류관리, 자재관리,  외            ",정규직,경력무관,학력무관,경기 김포시,물류팀 상/하차 및 제품 입/출고 사원 모집,(주)델키,2022-06-17,2022-06-08
운전·운송·배송,"
, 경리, 경리사무원, 더존, 관리회계, 급여(Payroll),  외            ",정규직,신입 · 경력,고졸 이상,경기 안산시 단원구,귀뚜라미보일러 경리/배송기사 모집,(주)지비조아,2022-07-10,2022-05-19
운전·운송·배송,"
, 적재/하역, 2.5톤, 전동지게차, 지게차, 단순생산직,  외            ",정규직 · 계약직,경력무관,학력무관,충남 아산시,[현대1차.상여400]수출용부품 물류 관련 각 부서 신입/경력 채용,주식회사 위드웍스,채용시,2022-05-03
운전·운송·배송,"
, 납품운전원, 단순생산직, 포장, 자동차, 조립,  ",정규직,경력무관,학력무관,경기 평택시,자동차부품 조립 서열직 사원 모집,(주)찬솔모듈,2022-06-25,2022-04-26
운전·운송·배송,"
, 경리, 수산물관련업, 수산물관련업,  ",정규직 · 계약직,경력무관,학력무관,부산 서구,"(정규직, 계약직) 경리직/현장직 모집 경력무관 채용",산수산,2022-07-08,2022-06-08
운전·운송·배송,"
, 납품운전원, 거래처납품, 기계조작원, 단순생산직, 금형설계,  외            ",정규직,신입 · 경력,고졸 이상,경기 화성시,동해산업(주) 부문별 정규직 채용,동해산업(주),2022-06-30,2022-05-21
운전·운송·배송,"
, 납품운전원, 적재/하역, 4.5톤, 윙바디, 화물차(카고),  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울전체,해외영업 / 국내영업 / R&D개발 / 물류이송 – 경력 모집,(주)씨앤디옵틱스,2022-07-07,2022-05-25
운전·운송·배송,"
, 전산회계, 급여(Payroll), 전표입력, 사무직, 총무,  외            ",정규직,신입 · 경력,고졸 이상,경기 광주시,[식품가공]제조업 생산/운영/출하/사무 신규채용,(주)삼구에프에스,2022-06-13,2022-05-25
운전·운송·배송,"
, ER(노무관리), 납품운전원, 배송기사, 1톤, 2.5톤,  외            ",정규직,신입 · 경력,고졸 이상,대구 달서구,[삼성1차 협력사-휴대폰] 품질보증팀/제조팀/자재 납품기사 모집,(주)윈텍통신,2022-06-20,2022-05-31
운전·운송·배송,"
, 납품운전원, 배송기사, 영업관리, 영업지원, 영업직,  외            ",정규직,경력무관,고졸 이상,서울 금천구,"[빔프로젝터,LDE전광판,음향] 영업직 / 영업지원 / 웹디자이너",(주)신우에스앤씨,2022-06-17,2022-06-02
운전·운송·배송,"
, 원가관리, 원가회계, 해상운송, 연구원, 단순생산직,  외            ",정규직,신입 · 경력,고졸 이상,대구전체,2022년 상반기 각 부문별 직원 채용,(주)엠스코,2022-06-20,2022-06-03
운전·운송·배송,"
, 조종사, 토목기술자, 토목설계, 측량/계측, 토목공학,  외            ",정규직,경력무관,학력무관,서울 강서구,해양조사 및 육상측량분야 정규직 채용,(주)지오스토리,2022-08-02,2022-06-03
운전·운송·배송,"
, 웹개발, ERP, SQL, 감사, 경리,  외            ",정규직,신입 · 경력,학력무관,서울 강남구,기흥그룹 사업부별 각 부문 신입/경력 사원 모집,(유)기흥모터스,채용시,2022-06-01
운전·운송·배송,"
, 적재/하역, 1톤, 트럭, 단순생산직, 외관검사원,  외            ",정규직,경력무관,고졸 이상,대구 달성군,"대구 DNP 생산직, 운반직 신입/경력 모집",(주)디엔피코퍼레이션,2022-07-03,2022-06-03
운전·운송·배송,"
, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발,  외            ",정규직 · 계약직,신입 · 경력,"대학(2,3년) 이상",서울 중구,샘표식품㈜ 6월 각 부문 수시 채용,샘표(주),채용시,2022-06-03
운전·운송·배송,"
, 전산회계, 급여(Payroll), 전표입력, 사무직, 총무,  외            ",정규직,신입 · 경력,고졸 이상,경기 이천시,[식품가공-제조업]사무직/생산직 모집,(주)삼구에프에스,2022-06-30,2022-05-21
운전·운송·배송,"
, 전동지게차, 지게차, 단순생산직, 생산관리, 설비OP,  외            ",정규직,신입 · 경력,학력무관,충남 아산시,[기숙사제공/주야고정가능] 아산공장 직원 대모집/상여금지급,(주)휴넥트,2022-06-13,2022-05-24
운전·운송·배송,"
, 사무보조, 배송기사, 1톤, 영업관리, 영업지원,  외            ",정규직,신입 · 경력,고졸 이상,경기 화성시,"생산부,자재,설치,사무보조,발주,영업 담당 채용",(주)윤씨네,2022-06-21,2022-06-08
운전·운송·배송,"
, 육상운송, 거래처관리, 거래처납품, 고객관리, 구매관리,  외            ",정규직,경력무관,고졸 이상,경기 광주시,㈜아린엠에이치씨 자재관리 담당 채용,(주)아린엠에이치씨,2022-06-19,2022-05-23
운전·운송·배송,"
, SE(시스템엔지니어), H/W, S/W, SAP, ABAP,  외            ",정규직,신입 · 경력,고졸 이상,충남 아산시,2022년 ㈜드림텍 신입/경력 공개채용,(주)드림텍,2022-06-17,2022-05-19
운전·운송·배송,"
, 전동지게차, 지게차, 물류관리, 물류사무원, 자재관리,  외            ",정규직,신입,고졸 이상,경기 군포시,[JW생활건강] 물류관리담당 고졸 정규직 채용,JW홀딩스,2022-06-16,2022-05-23
운전·운송·배송,"
, 사무직, 사무보조, 전산총무, 전동지게차, 지게차,  외            ",정규직,신입 · 경력,고졸 이상,세종 세종특별자치시,"LG생활건강 청주,세종물류센터 정규직사원채용",(주)삼구엘에스,2022-06-26,2022-06-07
운전·운송·배송,"
, 세무사, 회계사, 더존, 계산서발행, 관리회계,  외            ",정규직,신입 · 경력,학력무관,서울 강남구,2022년 ㈜그레이스인터내셔날 각 부문 신입/경력 채용,(주)그레이스인터내셔날,2022-06-17,2022-05-26
운전·운송·배송,"
, 지게차, 자재관리, 재고관리, 창고관리, 유통관리,  외            ",정규직,경력무관,학력무관,경기 이천시,[이천] 군량센터 현장정규직 모집,(주)삼진지에스,2022-06-20,2022-05-23
운전·운송·배송,"
, 백엔드/서버개발, 퍼블리셔, AWS, CSS, Java,  외            ",정규직,경력무관,학력무관,서울 성동구,[오더히어로] 딜리버리랩 부문별 대규모 채용(신입/경력),(주)딜리버리랩,2022-07-02,2022-05-31
운전·운송·배송,"
, 전산회계, 회계사, IR/공시, 더존, ERP,  외            ",정규직 · 계약직,신입 · 경력,고졸 이상,서울 강남구,㈜노바렉스 경력사원 및 신입사원 모집 공고,(주)노바렉스,2022-06-19,2022-06-10
운전·운송·배송,"
, 납품운전원, 물류기사, 배송기사, 택배기사, 육상운송,  외            ",파견직,경력무관,고졸 이상,경기 군포시,[주5/워라밸/군포]글로벌 기업 페덱스 배송직 채용(정규직검토),(주)맨파워코리아,2022-07-10,2022-05-22
운전·운송·배송,"
, 공인회계사, 전산회계, KICPA, 관리회계, 기업회계,  외            ",정규직,5 ~ 10년,대학교(4년) 이상,서울 강남구,"성보화학, 회계담당자 채용",성보화학(주),2022-06-20,2022-06-08
운전·운송·배송,"
, 대리운전, 물류기사, 수행기사, 영업관리, 영업지원,  외            ",정규직,경력무관,고졸 이상,경기 성남시,"[성남] 차량관리, 고객관리, 영업관리 정규직 사원 모집",(주)토마토렌트카,2022-06-30,2022-05-20
운전·운송·배송,"
, 비서, 수행기사, 수행비서, 임원비서, 총무,  외            ",계약직,신입 · 경력,고졸 이상,대전 서구,임원 수행비서 채용,(주)맥키스컴퍼니,2022-06-14,2022-06-07
