main,middle,type,career,education,region,title,company,deadline,notice
의료,"
, 외래, 원무, 정형외과,  ",정규직 · 계약직,경력무관,학력무관,경기 성남시 중원구,"주5일근무 정형외과   원무행정, 접수,",엘에스정형외과의원,2022-07-01,2022-06-02
의료,"
, 병원코디네이터, 접수/예약, 치과,  ",정규직,경력무관,학력무관,부산 중구,(주5일)부산 남포인플란트치과 데스크접수/수납 코디선생님 충원,인플란트치과,2022-06-26,2022-05-27
의료,"
, 총무, 문서작성, 사무행정, 서류관리, 전화응대,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 강서구,원무팀 신입 및 경력 채용,(의)실로암안과병원,2022-06-16,2022-06-02
의료,"
, 교육행정, 사무행정, 간호사, 산업간호사, 상담간호사,  외            ",정규직,신입 · 경력,대학교(4년) 이상,제주 서귀포시,제인스(SJA Jeju) 행정직원(간호사) 채용 공고,세인트존스베리아카데미 제주,2022-06-14,2022-06-02
의료,"
, 간호사, 간호조무사, 병원관리, 수술보조, 외래,  외            ",정규직 · 계약직,신입 · 경력,"대학(2,3년) 이상",서울 강서구,간호사/외래간호조무사 신입 및 경력 채용,(의)실로암안과병원,2022-06-30,2022-06-02
의료,"
, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발,  외            ",정규직 · 계약직,신입 · 경력,"대학(2,3년) 이상",서울 중구,샘표식품㈜ 6월 각 부문 수시 채용,샘표(주),채용시,2022-06-03
의료,"
, 세무사, 회계사, CFO, 내부감사, 법인결산,  외            ",정규직,경력,대학교(4년) 이상,경기 성남시,(주)리스큐어바이오사이언시스 연구원 및 사업개발 전문가 채용,(주)리스큐어바이오사이언시스,2022-06-21,2022-06-08
의료,"
, 병원코디네이터, 상담실장, 영업관리, 영업직, 거래처관리,  외            ",정규직,경력무관,학력무관,서울 강남구,[글로비성형외과] 성형외과 코디네이터 모집합니다,글로비성형외과,2022-06-29,2022-05-20
의료,"
, 치과위생사,  ",정규직,신입 · 경력,"대학(2,3년) 이상",부산 서구,(주4.5일 근무) 치과위생사 추가모집 내일채움가능,대신스마일 치과의원,채용시,2022-05-04
의료,"
, 사무직, 총무, CRA(임상연구원), 임상시험, RA,  외            ",정규직,신입 · 경력,대학교(4년) 이상,경기 성남시,체외진단의료기기 연구원 신입/경력직 채용,(주)켈스,2022-06-20,2022-05-21
의료,"
, SAP, ABAP, 세무사, 전산회계, 회계사,  외            ",정규직 · 계약직,신입 · 경력,대학교(4년) 이상,충북 청주시,㈜셀트리온제약 신입/경력 수시채용,(주)셀트리온제약,2022-06-19,2022-05-23
의료,"
, 약사, CRA(임상연구원), CRM(임상연구전문가), 의약사무, 임상시험,  외            ",정규직,신입 · 경력,고졸 이상,서울 금천구,"마더스제약그룹 품질, 연구, 생산, 영업부문 채용",(주)마더스제약,2022-06-19,2022-05-20
의료,"
, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 웹개발,  외            ",정규직 · 계약직,신입 · 경력,학력무관,서울 구로구,㈜딥노이드 각 부문 신입 / 경력 채용,(주)딥노이드,2022-07-31,2022-05-14
의료,"
, SE(시스템엔지니어), H/W, S/W, SAP, ABAP,  외            ",정규직,신입 · 경력,고졸 이상,충남 아산시,2022년 ㈜드림텍 신입/경력 공개채용,(주)드림텍,2022-06-17,2022-05-19
의료,"
, 간호사, 간호조무사, 병원코디네이터, 진료보조, 피부과,  외            ",정규직 · 계약직,경력무관,학력무관,서울 중구,"[명동] 간호,피부,코디(영어, 일본어,일반) 파트 직원모집",아비쥬의원,2022-06-25,2022-05-26
의료,"
, 안경사, 기술영업, 영업관리, 영업직, 해외영업,  외            ",정규직,신입 · 경력,고졸 이상,서울 금천구,2022년 상반기 부문별 직원 채용,(주)오토스윙,2022-06-20,2022-04-08
의료,"
, 간호사, 산업간호사, 보건관리자, 보건의료정보관리사, 보건진단,  외            ",정규직,경력,"대학(2,3년) 이상",경기 안양시 동안구,2022년 한국마사회시설관리㈜ 관리직 채용 공고,한국마사회시설관리(주),2022-06-20,2022-05-21
의료,"
, 문서작성, 인/허가, 약사, MR, 임상시험,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 서초구,삼일제약㈜ 각 부문별 신입/경력사원 모집,삼일제약(주),2022-06-19,2022-06-09
의료,"
, 예산관리, 사무직, 총무, 문서작성, 사무보조,  외            ",정규직 · 계약직,신입 · 경력,고졸 이상,경기 안성시,환인제약(주) 6월 수시채용,환인제약(주),2022-06-20,2022-05-23
의료,"
, 사무직, 문서작성, Excel, 경영지원, 위생사,  외            ",정규직,신입 · 경력,대학교(4년) 이상,경기 화성시,2022년 상반기 신입 및 경력직원 채용,(주)지에프씨생명과학,2022-06-20,2022-06-09
의료,"
, 동물병원, 매장관리, 매장매니저, 매표/검표, 카페매니저,  외            ",정규직 · 계약직,경력무관,"대학(2,3년) 이상",충북 충주시,[2022 상반기] 반려동물 케어 및 상담사 경력무관 채용,아이조아펫파크충주점,2022-06-30,2022-05-22
의료,"
, 유지보수, 임베디드, 펌웨어, MCU, C++,  외            ",정규직,신입 · 경력,고졸 이상,경기 안양시 동안구,(주)오상헬스케어 각 분야 채용,(주)오상헬스케어,2022-06-30,2022-06-10
의료,"
, 문서작성, 임상시험, 연구원, 임상DM, CRA(임상연구원),  외            ",정규직,경력,대학교(4년) 이상,서울 영등포구,신약개발본부 경력사원 채용,진원생명과학(주),2022-06-30,2022-06-08
의료,"
, 산업간호사, 보건관리자, 기술영업, 영업직, 대기측정분석사,  외            ",정규직 · 계약직,경력,"대학(2,3년) 이상",부산 영도구,HJ중공업 2022년 상반기 부문별 경력사원 채용,(주)에이치제이중공업,2022-06-24,2022-06-09
의료,"
, 문서작성, 사무보조, 영양사, 급식소, 식당,  외            ",파견직,경력무관,학력무관,전남 여수시,[여수] GS칼텍스 여수공장 사무보조(구내식당 관리) 파견채용,(주)에스앤비휴먼,2022-06-16,2022-05-21
의료,"
, MCU, C언어, 총무, 채용담당자, 인사교육,  외            ",정규직,신입 · 경력,고졸 이상,충북 청주시 청원구,자화전자㈜ 22년 제3차 대규모 채용,자화전자(주),2022-06-20,2022-05-19
의료,"
, 병원코디네이터, 영업지원, 의류판매, 고객관리, 매장관리,  외            ",정규직,경력무관,학력무관,경기 안산시 상록구,[평일/정시퇴근]국민건강보험공단 안산콜센터 신규 상담원 채용,(주)제이앤비컨설팅,2022-07-09,2022-06-09
의료,"
, 정보보안, 정보통신, 클라우드, 재무기획, 보건관리자,  외            ",정규직,경력,학력무관,전국,[DL이앤씨] 경력사원 채용 (정규직),디엘이앤씨(주),2022-06-26,2022-06-09
의료,"
, 빅데이터, AI(인공지능), 경리, 경리사무원, 더존,  외            ",정규직,신입 · 경력,대학교(4년) 이상,경남 창원시 성산구,2022년 신입/경력 부문별 정규직 채용 (대졸),삼성발레오써멀시스템스(주),2022-06-16,2022-06-10
의료,"
, 인사교육, 두피관리사, 영업관리, 영업지원, 영업마케팅,  외            ",정규직,경력,학력무관,서울 강남구,[닥터포헤어] 이커머스/가맹점/홈쇼핑/CS 채용,(주)와이어트,2022-06-16,2022-06-10
의료,"
, 원무, 접수/예약, 환자안내, 리서치, CS강사,  외            ",정규직,신입 · 경력,학력무관,서울 구로구,[척추전문병원] 콜센터 상담사/관리자 채용(센터 확장 충원),(주)유앤알컴퍼니,2022-06-24,2022-06-10
의료,"
, 위생사, R&D, R&D기획, 식품연구, 의약외품연구,  외            ",교육생,경력무관,학력무관,충북 청주시 청원구,바이오·식품 산업 인력양성 및 취업연계 과정 교육생 모집,청주대학교산학협력단,2022-06-20,2022-05-31
의료,"
, 위생사, 식품/음료영업, 식품/음료판매, 미생물, 식품연구,  외            ",교육생,경력무관,학력무관,충북전체,[취업연계]국비무료 채용예정자 양성과정 교육생 모집,충북대학교산학협력단,2022-06-25,2022-06-03
의료,"
, 간호조무사, 수술보조,  ",정규직,경력무관,학력무관,서울 영등포구,[주5일] 여의도 간호조무사 / 연봉 3600,글로웰의원,2022-06-28,2022-04-30
의료,"
, CRA(임상연구원), CRM(임상연구전문가), 의약사무, 임상시험, 제약QA,  외            ",정규직,신입,대학교(4년) 이상,경기 수원시 영통구,㈜팬젠 신입사원 채용(세포배양/정제/QC/QA/임상),(주)팬젠,2022-06-23,2022-06-09
의료,"
, 유지보수, 정보보안, 네트워크, 임베디드, 펌웨어,  외            ",정규직 · 계약직,신입 · 경력,학력무관,경기 성남시 수정구,휴온스 그룹 수시채용,휴온스그룹,채용시,2022-02-04
의료,"
, CRA(임상연구원), CRC(연구간호사), CRM(임상연구전문가), 연구원, 임상PM,  외            ",정규직,경력무관,대학교(4년) 이상,서울 성동구,임상의학팀(CRA) 정규직 채용,(주)아스트로젠,2022-07-10,2022-06-09
의료,"
, 임상병리사, 임상심리사, CRA(임상연구원), CRC(연구간호사), CRM(임상연구전문가),  외            ",정규직,경력 3년 이상,대학교(4년) 이상,경기 김포시,[제약바이오 듀오락] 각 부문 신입/경력 인재 채용,(주)쎌바이오텍,2022-06-23,2022-06-10
