company,career,education,region,reg,deadline,type,title,job,tag
(주)광주글로벌모터스,신입 · 경력,학력무관,광주 광산구,2022-05-17,2022-06-12,정규직,일반직/기술직 상시인재POOL 모집,"
, 기술지원, 데이터분석가, 데이터엔지니어, 유지보수, 정보보안,  외            ",인사·노무·HRD
한국이콜랩(유),신입 · 경력,학력무관,서울 송파구,2022-05-27,2022-06-12,정규직 · 계약직,[외국계 화학] 각 부문 신입/경력 채용,"
, 백엔드/서버개발, 보안컨설팅, 유지보수, 정보보안, 네트워크,  외            ",인사·노무·HRD
(의)녹십자의료재단,신입 · 경력,학력무관,서울 서초구,2022-05-28,2022-06-26,계약직,녹십자I-MED 강남/북 의원 직군별 신입/경력 채용,"
, 사무직, 총무, 사무보조, 경영지원, 간호사,  외            ",인사·노무·HRD
(주)일군토건,신입 · 경력,학력무관,전국,2022-05-28,2022-06-12,정규직,"신입/경력 채용(건축,안전,C/S,견적,개발,경영)","
, 경리, 전산회계, 더존, 4대보험, 계산서발행,  외            ",인사·노무·HRD
(주)TCC스틸,신입 · 경력,대학교(4년) 이상,서울 중구,2022-06-08,2022-06-19,정규직 · 인턴직,TCC스틸 각 부문별 채용연계형 인턴모집,"
, IR/공시, ER(노무관리), 인사기획, 영업관리, 영업마케팅,  외            ",인사·노무·HRD
(주)동구바이오제약,신입 · 경력,학력무관,서울 송파구,2022-06-09,2022-06-19,정규직,동구바이오제약 부문별 수시채용 (신입/경력),"
, 사무직, 컴플라이언스, 특허명세사, 문서작성, 사무행정,  외            ",인사·노무·HRD
(주)겟앤쇼,신입 · 경력,학력무관,서울 마포구,2022-06-09,2022-07-08,정규직,"겟앤쇼 세무회계, 법무행정, 대표이사 비서, 총무인사 채용","
, 비서, 총무, 회계, 인사, 법무,  외            ",인사·노무·HRD
(주)큐어팜텍,경력무관,"대학(2,3년) 이상",경기 파주시,2022-05-25,2022-06-30,정규직,임상연구원 / 의료기기 생산 / 회계재무 / 인사총무 / 웹디자인,"
, 경리, 총무, 비품관리, 전산총무, 경영지원,  외            ",인사·노무·HRD
우지막코리아(주),경력무관,학력무관,충북 음성군,2022-06-08,2022-07-07,정규직,우지막코리아(주) 인사·총무 채용,"
, 경리, 총무, 인사,  ",인사·노무·HRD
(주)트랜스코스모스코리아,신입 · 경력,학력무관,서울 중구,2022-06-04,2022-06-13,정규직,[관리자] 네이버부동산 매물검증센터 운영팀장 채용 Md2C,"
, 채용담당자, ER(노무관리), HR컨설팅, HRD, 면접/인터뷰,  외            ",인사·노무·HRD
(주)트랜스코스모스코리아,경력무관,학력무관,서울 영등포구,2022-05-17,2022-06-13,정규직,[여의도/채용부] 트랜스코스모스코리아 채용담당자 모집 Mg9S,"
, 채용담당자, 잡매니저, 직업상담사, 헤드헌터, ER(노무관리),  외            ",인사·노무·HRD
(주)더브릿지,신입 · 경력,학력무관,서울 강서구,2022-06-08,2022-06-24,정규직,"[KIA360/기아 강서플래그십스토어]운영매니저&도슨트,인스트럭터","
, 총무, 문서작성, 비품관리, 사내행사, 시설관리,  외            ",인사·노무·HRD
삼해상사(주),신입 · 경력,대학교(4년) 이상,서울 송파구,2022-06-09,2022-06-21,정규직,[CJ제일제당 자회사-삼해상사㈜] 경영기획담당 신입/경력 채용,"
, 부가세신고, 손익관리, 외환관리, 원가관리, 자금관리,  외            ",인사·노무·HRD
(주)트랜스코스모스코리아,경력무관,학력무관,부산 중구,2022-05-21,2022-06-13,정규직,트랜스코스모스 부산 채용담당(신입/경력) 채용 MJe4,"
, 채용담당자, 잡매니저, 직업상담사, 헤드헌터, ER(노무관리),  외            ",인사·노무·HRD
(주)리치건영,신입 · 경력,학력무관,서울 영등포구,2022-05-24,2022-07-09,정규직,리치건영 인사 정규직 모집합니다.,"
, 인사,  ",인사·노무·HRD
(주)인터브리드,경력 3년↑,학력무관,경기 성남시 분당구,2022-06-01,2022-07-30,정규직,'22년 인터브리드 부문별 경력 모집,"
, 총무, 비품관리, 경영지원, ER(노무관리), HRM,  외            ",인사·노무·HRD
(주)디와이엠솔루션,1 ~ 5년,대학교(4년) 이상,충남 천안시 서북구,2022-06-07,채용시,정규직,[외국계] 인사/총무 경력자 정규직 채용,"
, 사무직, 총무, 비품관리, 인/허가, 자산관리,  외            ",인사·노무·HRD
