main,middle,type,career,education,region,title,company,deadline,notice
고객상담·TM,"
, CS관리, CS, 콜센터/고객센터,  ",정규직,1 ~ 5년,학력무관,경기 성남시 분당구,[국내소프트웨어기업] 고객지원  CS 경력 1년이상 채용,(주)유니코써치,2022-06-22,2022-06-07
고객상담·TM,"
, 계산서발행, 무역중개인, 영업관리, 영업지원, 포워더,  외            ",정규직,경력 2년 이상,학력무관,서울 강남구,[외국계-반도체] 영업 담당자- Fluent English (재택 근무),에이치알넷원(주),2022-07-10,2022-06-04
고객상담·TM,"
, 보험설계사, 생명보험사, 상담원, 아웃바운드, 텔레마케터,  외            ",위촉직,경력무관,학력무관,서울 종로구,외국계생명보험사 상담원 아웃바운드00명 종로,(주)블루스타에이치알,2022-07-01,2022-06-01
고객상담·TM,"
, 상담원, 인바운드, 콜센터/고객센터, CS,  ",정규직,경력무관,학력무관,서울 강남구,채용대행.인바운드 상담원 00명.강남 통신사 고객센터,(주)블루스타에이치알,2022-07-01,2022-06-01
고객상담·TM,"
, 상담원, 인바운드, 콜센터/고객센터, CS,  ",정규직,경력무관,학력무관,대전 중구,정규직.대전.엘지유플러스고객센터 채용대행.인바운드 상담원 00,(주)블루스타에이치알,2022-07-08,2022-06-08
고객상담·TM,"
, 미생물, 광학/렌즈, 제약/바이오, 상담원,  ",정규직,5 ~ 12년,대학교(4년) 이상,서울 금천구,[유망바이오벤처기업] 체외진단의료기기 고객지원 및 학술 담당,휴먼인써치,채용시,2022-05-27
고객상담·TM,"
, GRO(컨시어지), 전화상담, 채팅상담, 여행사, 항공사,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 송파구,[외국계 기업] VIP 컨시어지 (신입/경력 1년 이상),퍼솔켈리코리아(유),채용시,2022-06-09
고객상담·TM,"
, 무역영어, 통/번역, 지점관리자, 콜센터/고객센터, 영어,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,서울 종로구,[글로벌 아웃소싱기업] 글로벌 프로젝트 운영 매니저,커리어커넥트(주),채용시,2022-05-31
고객상담·TM,"
, 학습상담, 학원생관리, 유학원, 영어, 교육상담,  ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 강남구,[서울/유학컨설팅/교육중견기업] 조기유학/일반유학 컨설팅,(주)탑앤스카우트,2022-07-07,2022-06-07
고객상담·TM,"
, 영업관리, 고객관리, 매장관리, 매출관리, 주문관리,  외            ",정규직,신입 · 경력,고졸 이상,서울 성동구,와인수입유통사 - 와인샵 판매 신입 또는 사원급,에버브레인 컨설팅(주),채용시,2022-06-03
고객상담·TM,"
, 매출관리, 리테일MD, 매출관리, 프로모션기획, 매장관리,  외            ",정규직,경력무관,"대학(2,3년) 이상",서울 강남구,[유명와인수입사] 리테일 운영관리 직원 채용(신입/경력),(주)커리어라이즈,2022-07-10,2022-06-02
고객상담·TM,"
, 연구원, 기술연구, QC, 제품설계, 부품설계,  외            ",정규직,경력 3년 이상,"대학(2,3년) 이상",서울 강남구,(상장사) FPCB 개발 PM(대리과장),터닝포인트HR,2022-06-19,2022-06-03
고객상담·TM,"
, CS관리, 인바운드, 쇼핑몰, 식품, CS,  외            ",정규직,2 ~ 5년,"대학(2,3년) 이상",서울 서초구,인바운드 CS관리 경력자  모집 (간편 대용식 제조/주임/정규직),(주)라온서치,2022-06-15,2022-06-02
고객상담·TM,"
, 인/허가, 임상시험, 제약QA, RA, 의료기기영업,  외            ",정규직,경력무관,학력무관,경기 고양시 일산동구,[스타메드]유명 의료기기 제조사 수시채용(경력무관),(주)밸류링크코리아,2022-06-17,2022-06-02
고객상담·TM,"
, 가맹점관리, 거래처관리, 거래처납품, 정비기사, 기술엔지니어,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,[해외전기차배터리/서울] 전기차 Aftermarket 서비스 엔지니어,(주)아데코코리아,2022-07-10,2022-05-29
고객상담·TM,"
, 고객응대, 발권, 접수/예약, 여행사, 호텔,  외            ",계약직,1 ~ 5년,"대학(2,3년) 이상",서울 강남구,호텔 예약 담당 사원주임대리급 ..상용 여행사,(주)글로벌스카우트,채용시,2022-06-07
고객상담·TM,"
, 영업관리, 영업지원, 영업직, 영업판촉, 호텔영업,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,1.회원관리 사원(대기업 리조트),(주)휴먼디지탈,2022-07-10,2022-05-28
고객상담·TM,"
, 비서, 사무직, 안내데스크, 사무보조, 사무행정,  외            ",계약직,경력무관,고졸 이상,서울 서초구,[ 한국전자인증 ] 인증서 신청/발급 관련 안내업무 (인바운드),(주)핀커스코리아,2022-06-13,2022-05-30
고객상담·TM,"
, CS관리, CS, 게시판관리, 교환/반품, 채팅상담,  ",정규직,1 ~ 10년,학력무관,서울 용산구,서초소재 기프트콘 유통 모바일커머스기업 CS 매니저,파워에이치알,2022-07-09,2022-06-09
