main,middle,type,career,education,region,title,company,deadline,notice
교육,"
, 정보통신, HRD, 인사교육, 직업훈련, 교육기획,  외            ",정규직,5 ~ 20년,대학교(4년) 이상,서울 강남구,중견 에듀테크 리딩기업 IT교육사업팀장 모집,커리어커넥트(주),채용시,2022-06-07
교육,"
, 학습상담, 학원생관리, 유학원, 영어, 교육상담,  ",정규직,신입 · 경력,"대학(2,3년) 이상",서울 강남구,[서울/유학컨설팅/교육중견기업] 조기유학/일반유학 컨설팅,(주)탑앤스카우트,2022-07-07,2022-06-07
교육,"
, 서점, 상품관리, 쇼핑몰, 오픈마켓, SNS,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 서초구,온라인 출판 마케팅 경험자-종합 어학 교육 대형기업,(주)에이치알원 컨설팅,채용시,2022-06-02
교육,"
, 기획MD, 프로모션기획, 서비스기획, 앱기획, 사업제휴,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 서초구,전화/화상 서비스기획 경험자-종합 어학 교육 대형기업,(주)에이치알원 컨설팅,채용시,2022-06-02
교육,"
, 어학원, 기업교육, 영어,  ",정규직,신입 · 경력,학력무관,서울 강남구,[서울/영어인증시험기관] 시험운영 신입/경력,(주)탑앤스카우트,2022-06-25,2022-06-01
교육,"
, HRD, HRM, 법정의무교육, 인사교육, 인사기획,  외            ",정규직,2 ~ 6년,대학교(4년) 이상,경기 성남시 분당구,[일하기 좋은 게임기업]   교육(HRD) 담당   채용(2년~5년),(주)베스트에치알 (Best HR),2022-07-04,2022-06-04
교육,"
, 교육컨설턴트, 학습매니저, 교육운영, 기업교육, 영어,  외            ",정규직,신입 · 경력,학력무관,서울 강남구,[서울/영어인증교육기관] 시험감독 정규직 채용,(주)탑앤스카우트,2022-07-10,2022-06-01
교육,"
, 교육컨설턴트, 학습매니저, 훈련교사, 교육운영, 기업교육,  ",정규직,신입 · 경력,학력무관,서울 강남구,[서울/어학교육] 기업 어학교육관리 매니저,(주)탑앤스카우트,2022-07-10,2022-06-01
교육,"
, 학습상담, 어학원, 기업교육, 영어,  ",정규직,경력무관,학력무관,서울 강남구,[글로벌교육전문기업] 어학원 상담직 신입/경력,(주)탑앤스카우트,2022-07-10,2022-06-01
교육,"
, VR(가상현실), Unity, Unreal, 브랜딩, BX디자인,  외            ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 마포구,커머스&문화플랫폼 기업 오픈월드 메타버스 시스템 기획자 채용,(주)엔엠에스컨설팅,채용시,2022-06-01
교육,"
, HRD, 교육기획, 교육운영, 기획, 제2외국어,  ",정규직,3 ~ 8년,대학교(4년) 이상,서울 강남구,[HRD]HRD교육기획 우수인재 채용,(주)갤리언컨설팅그룹,2022-07-10,2022-06-01
교육,"
, 게임디자인, 게임기획, 게임개발, Unreal, 기획,  ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,[국내IT중견기업]게임기획 경력직 채용,휴먼인써치,2022-07-10,2022-05-31
교육,"
, 시각디자인, 디자인, 홍보물,  ",정규직,5 ~ 12년,대학교(4년) 이상,서울 금천구,"[수제맥주 플랫폼 전문회사] 디자이너, 대리에서 과장급",(주)HR컨설팅그룹,채용시,2022-06-09
교육,"
, 총무, 비품관리, 사내행사, HRD, 법정의무교육,  외            ",정규직,3 ~ 5년,대학교(4년) 이상,서울 송파구,유명  친환경 식품 유통회사 총무인사 담당,커리어커넥트(주),2022-07-08,2022-06-08
교육,"
, 교육컨텐츠개발, 교육컨텐츠기획, 교재개발, 한국어, 한국어교육,  ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,[국제교육재단] 한국어 교육 교재 및 콘텐츠 개발,(주)스카우트,채용시,2022-05-29
교육,"
, HRD, 교육기획, 교육운영, 교육컨텐츠개발, 교육컨텐츠기획,  외            ",정규직,8 ~ 12년,대학교(4년) 이상,서울 강남구,"[중견기업] 교육기획팀 (과,차장)",(주)더라이징스타헤딩,2022-06-30,2022-05-31
교육,"
, HRD, 교육기획, 교육운영, 교육컨텐츠개발, 교육컨텐츠기획,  외            ",정규직,5 ~ 10년,대학교(4년) 이상,서울 강남구,[중견기업] 교육팀 강사 경력직 채용,(주)더라이징스타헤딩,2022-06-30,2022-05-31
교육,"
, 보건강사, 보건관리자, 안전보건관리자, 보건관리,  ",정규직,2 ~ 8년,"대학(2,3년) 이상",서울 영등포구,영등포소재 중견기업 보건관리자 채용,(주)글로벌에이치알코리아,2022-07-04,2022-06-04
교육,"
, 총무, ER(노무관리), HRM, 복리후생, 인사교육,  외            ",정규직,3 ~ 7년,대학교(4년) 이상,서울 강남구,"구미근무, 기숙사제공) 인사, 총무, 채용, 노무, 교육 대리급",(주)헬로서치,2022-07-10,2022-05-28
교육,"
, 통/번역, 영어, 영어, 대학원, 번역,  외            ",계약직,경력 3년 이상,석사 이상,서울 영등포구,"한국거래소(여의도)  영문 에디터(통,번역) 전문가 채용",(주)핀커스코리아,2022-06-16,2022-05-27
교육,"
, AD(아트디렉터), 가구디자인, 건축디자인, 공간디자인, 공공디자인,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,서울 강남구,[디자인 기획] 대기업 디자인 기획  채용,브랜드미,2022-07-02,2022-06-02
교육,"
, HR컨설팅, HRD, 인력관리, 인사교육, 영업직,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,[B2B 기업교육 영업] 교육기업 B2B 영업 채용,브랜드미,2022-07-03,2022-06-03
교육,"
, 이커머스, 교육컨설턴트, 교육컨텐츠개발, 교육컨텐츠기획, 기업교육,  외            ",정규직,3 ~ 8년,학력무관,서울 성동구,이커머스기업- 교육 담당자( 입점 판매자 대상 온라인 교육),(주)인써어치컨설팅,2022-07-10,2022-05-26
교육,"
, 기업홍보, 브랜드마케팅, BM(브랜드매니저), 언론홍보, 영어,  외            ",정규직,경력 15년 이상,대학교(4년) 이상,서울 강남구,부산 PR그룹장 임원(대내외 언론홍보.영어) 채용 중견기업,(주)스카우트파트너스,2022-07-10,2022-05-26
교육,"
, 사이트관리, 콘텐츠관리, 콘텐츠기획, 경영기획, 사업기획,  외            ",정규직,3 ~ 12년,대학교(4년) 이상,서울 강남구,"유명 그룹계열 쇼핑몰 검색 서비스 기획 대리,과장급",라인서치,2022-07-09,2022-06-09
