main,middle,type,career,education,region,title,company,deadline,notice
구매·자재·물류,"
, 관리회계, 기업회계, 법인결산, 세무신고, 세무조정,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,광주 광산구,"[ 물류 사업기획, 이천 - 유명 물류회사 ]",(주)피너클써치,2022-06-13,2022-06-03
구매·자재·물류,"
, 구매관리, 구매,  ",정규직,신입 · 경력,대학교(4년) 이상,경기 수원시 영통구,구매 경력자,(주)에임즈인터내셔널코리아,2022-07-10,2022-06-07
구매·자재·물류,"
, 구매관리, 물류관리, 자재관리, 구매기획, 개발구매,  외            ",정규직,경력 8년 이상,"대학(2,3년) 이상",충북 보은군,[가스제조사]구매팀장(과장-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-05-26
구매·자재·물류,"
, 구매관리, 자재관리, 재고관리, 구매기획, 국제물류,  외            ",정규직,경력 3년 이상,"대학(2,3년) 이상",충남 서산시,[특수강제조사]구매담당(주임-과장급),(주)비에이블컨설팅그룹,2022-06-17,2022-05-30
구매·자재·물류,"
, 구매관리, 물류관리, 자재관리, 재고관리, 구매기획,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,아시아·중동 일본,[일본철강기업]일본근무 구매담당(대리-과장급),(주)비에이블컨설팅그룹,2022-06-17,2022-05-27
구매·자재·물류,"
, SRM, SCM,  ",정규직,2 ~ 7년,대학교(4년) 이상,서울 금천구,[화장품 중견 기업 ] SCM,에이치알포유(주),2022-06-23,2022-06-07
구매·자재·물류,"
, 영업관리, 판매직, 식품/음료판매, 가맹점관리, 가맹점영업,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 중구,가맹 영업관리 경력자-국내 대형 프랜차이즈 기업,(주)에이치알원 컨설팅,채용시,2022-06-06
구매·자재·물류,"
, 물류관리, 물류기획, 선적, 로지스틱스,  ",정규직,5 ~ 10년,대학교(4년) 이상,충남 천안시 서북구,[외국계/천안] 반도체장비 Logistics Coordinator(대리~과장급),(주)휴먼서치,2022-06-17,2022-06-09
구매·자재·물류,"
, 가공식품, 건강기능식품, 구매총괄, 시장조사, 식품,  외            ",정규직,신입 · 경력,학력무관,서울 구로구,"[식품, 중소기업] 구매 담당(과장급)",(주)비에이블컨설팅그룹,채용시,2022-06-08
구매·자재·물류,"
, 물류관리, 자재관리, 물류기획,  ",정규직,5 ~ 9년,대학교(4년) 이상,서울 강남구,[외국계유명수입차] Inventory Planning (5년차 이상),퍼솔켈리코리아(유),채용시,2022-05-27
