main,middle,type,career,education,region,title,company,deadline,notice
서비스,"
, 영업전략, 화장품영업, B2B, 거래처영업, 마트영업,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,서울 마포구,물티슈 영업 경험자-바이오 물티슈 전문기업,(주)에이치알원 컨설팅,채용시,2022-06-06
서비스,"
, 시설관리, 자산관리, 정비기사, 기계수리, 설비점검,  외            ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 중구,[대기업] 기계설비 (정규직),(주)비에이블컨설팅그룹,2022-06-12,2022-06-02
서비스,"
, 시설관리, 자산관리, 기계수리, 전기설계, 자동제어,  외            ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 중구,[대기업] 전기설비 (정규직),(주)비에이블컨설팅그룹,2022-06-12,2022-06-02
서비스,"
, 정비기사, A/S기사, 기계조작원, 전기제어, 전기기사,  ",정규직,신입 · 경력,"대학(2,3년) 이상",경기 평택시,"평택.창원.부산.대구.사출기 AS 엔지니어 .전졸.,대졸 .",(주)블루스타에이치알,2022-07-10,2022-06-04
서비스,"
, GRO(컨시어지), 전화상담, 채팅상담, 여행사, 항공사,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 송파구,[외국계 기업] VIP 컨시어지 (신입/경력 1년 이상),퍼솔켈리코리아(유),채용시,2022-06-09
서비스,"
, 예산관리, 매장관리, 매출관리, 예산관리, 매장관리,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,글로벌 럭셔리 브랜드 - Retail Executive,HeNny & McCoy,채용시,2022-06-03
서비스,"
, 의료기기영업, 무역영어, 해외영업지원, 정비기사, A/S기사,  외            ",정규직,경력 3년 이상,"대학(2,3년) 이상",경기 안양시 동안구,[초음파 진단기 전문기업] 해외 서비스,커리어커넥트(주),채용시,2022-06-09
서비스,"
, 판매직, 의류판매, 매장관리, 고객응대, 백화점,  외            ",정규직,경력 2년 이상,고졸 이상,서울 강남구,글로벌 유망패션기업 백화점 매장판매직원 채용(H백화점),굿커리어,2022-06-30,2022-05-31
서비스,"
, 매장매니저, 지배인, 홀매니저, 매장관리,  ",정규직,경력 6년 이상,"대학(2,3년) 이상",서울 서초구,한식프랜차이즈 직영점 (강남) 점장 채용,(주)조인스에이치알코리아,2022-06-13,2022-06-08
서비스,"
, 설비점검,  ",정규직,경력 3년 이상,대학교(4년) 이상,전북 김제시,외국계 설비 보전 엔지니어(대리 과장),(주)스탠튼체이스코리아,2022-07-10,2022-06-02
서비스,"
, 정비기사,  ",정규직,3 ~ 12년,학력무관,서울 강남구,외국계 기계 장치 대리점 -서비스엔지니어,(주)스탠튼체이스코리아,2022-07-10,2022-06-02
서비스,"
, 매출관리, 리테일MD, 매출관리, 프로모션기획, 매장관리,  외            ",정규직,경력무관,"대학(2,3년) 이상",서울 강남구,[유명와인수입사] 리테일 운영관리 직원 채용(신입/경력),(주)커리어라이즈,2022-07-10,2022-06-02
서비스,"
, 식단관리, 영양사,  ",정규직,4 ~ 10년,"대학(2,3년) 이상",서울 서초구,영양사 채용 ( 위탁단체급식 대기업 ),(주)라온서치,2022-06-15,2022-06-02
서비스,"
, 조리사, 식단관리, 주방,  ",정규직,8 ~ 20년,학력무관,서울 서초구,"조리사 채용 ( 식품제조 기업 / 본사 소속, 정규직 )",(주)라온서치,2022-06-15,2022-06-02
서비스,"
, 조리사, 영양사,  ",정규직,10 ~ 15년,"대학(2,3년) 이상",서울 서초구,"위탁 단체급식 운영팀장 채용( 단체급식 전문기업/과,차장급 )",(주)라온서치,2022-06-15,2022-06-02
서비스,"
, 식단관리, 영양사,  ",정규직,8 ~ 15년,대학교(4년) 이상,서울 서초구,위탁 단체급식 점장 채용 ( 영양사 / 과장급 ),(주)라온서치,2022-06-15,2022-06-02
서비스,"
, 조리사, 영양사,  ",정규직,6 ~ 12년,"대학(2,3년) 이상",서울 서초구,단체위탁급식 운영업무 경력자 모집( 단체급식 전문기업/과장급),(주)라온서치,2022-06-15,2022-06-02
서비스,"
, 서점, 상품관리, 쇼핑몰, 오픈마켓, SNS,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 서초구,온라인 출판 마케팅 경험자-종합 어학 교육 대형기업,(주)에이치알원 컨설팅,채용시,2022-06-02
서비스,"
, 조리사,  ",정규직,8 ~ 15년,대학교(4년) 이상,서울 서초구,단체급식 개발업무 경력자 모집 ( FS 전문기업/과장급 ),(주)라온서치,2022-06-15,2022-06-02
서비스,"
, 영양사, 고객응대,  ",정규직,8 ~ 15년,대학교(4년) 이상,서울 서초구,영양사 채용 ( 단체위탁급식 전문기업 / 과장급 ),(주)라온서치,2022-06-15,2022-06-02
서비스,"
, A/S기사,  ",정규직,경력 1년 이상,"대학(2,3년) 이상",서울 중구,대기업가구사  AS기사(서울경기지역)구함,굿커리어,2022-06-29,2022-06-02
서비스,"
, 제과/제빵사, 카페, 슈퍼바이저, 베이커리,  ",정규직,경력 10년 이상,학력무관,서울 강남구,[서울/업계4위F&B베이커리] 베이커리 운영 매니저,(주)탑앤스카우트,2022-07-07,2022-06-07
