main,middle,type,career,education,region,title,company,deadline,notice
영업·판매·무역,"
, 솔루션기술영업, 기술영업,  ",정규직,경력 3년 이상,대학교(4년) 이상,서울 마포구,중견 그룹사 IT전문기업 IT솔루션 기술영업,에이치피아이,2022-06-19,2022-05-20
영업·판매·무역,"
, 광고영업, 인플루언서, AE(광고기획자), 뉴미디어, 미디어플래너,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,[ 퍼포먼스마케터 2-7년 - 유명 미디어랩사 ],(주)피너클써치,2022-06-17,2022-06-08
영업·판매·무역,"
, 광고영업, AE(광고기획자), 뉴미디어, 미디어플래너, 스토리텔링,  외            ",정규직,경력 1년 이상,대학교(4년) 이상,서울 강남구,"[미디어 플래너 팀장, 팀원 - 유명 미디어렙사 ]",(주)피너클써치,2022-06-13,2022-06-01
영업·판매·무역,"
, 영업마케팅, SNS, 병원마케팅, 마케팅기획, 마케팅전략,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,"[  퍼포먼스 마케팅 3-7년, 유명 미용 의료기]",(주)피너클써치,2022-06-17,2022-06-07
영업·판매·무역,"
, 기술영업, project,  ",정규직,8 ~ 16년,대학교(4년) 이상,서울 강남구,Project Manager (전자),㈜벤처피플,2022-07-10,2022-06-08
영업·판매·무역,"
, 백화점영업, 아울렛영업,  ",정규직,3 ~ 7년,대학교(4년) 이상,서울 강남구,[패션중견기업] 백화점영업 대리급,토니서치,2022-06-23,2022-06-08
영업·판매·무역,"
, 해외시장개척, 해외영업, 바이어발굴/관리, 해외영업관리, 해외영업지원,  ",정규직,경력 8년 이상,대학교(4년) 이상,충북 보은군,[가스제조사]해외영업팀장(과장-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-05-26
영업·판매·무역,"
, 유통영업, 영업,  ",정규직,경력 14년 이상,대학교(4년) 이상,서울 용산구,[식품용기제조사]영업팀장(차장급 이상),(주)비에이블컨설팅그룹,2022-06-17,2022-05-29
영업·판매·무역,"
, 영업직, 해외영업, 기업영업, 바이어발굴/관리, 해외영업관리,  외            ",정규직,4 ~ 14년,대학교(4년) 이상,서울 용산구,[전선제조사]전력선 중국 해외영업(대리-과장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-03
영업·판매·무역,"
, 영업직, 해외영업, 기업영업, 바이어발굴/관리, 해외영업관리,  외            ",정규직,2 ~ 9년,대학교(4년) 이상,서울 용산구,[전선제조사]전력선 미주 해외영업(사원-대리급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-03
영업·판매·무역,"
, 해외영업, 글로벌마케팅, 영업,  ",정규직,9 ~ 16년,대학교(4년) 이상,서울 금천구,[화장품 중견 기업]  해외 영업 팀장,에이치알포유(주),2022-06-23,2022-06-07
영업·판매·무역,"
, 해외시장개척, 해외영업, B2B, B2C, 해외영업관리,  외            ",정규직,경력 8년 이상,대학교(4년) 이상,서울 성동구,이커머스 해외사업 총괄-모바일 플랫폼 전문기업,(주)에이치알원 컨설팅,채용시,2022-06-07
영업·판매·무역,"
, 영업관리, 판매직, 식품/음료판매, 가맹점관리, 가맹점영업,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 중구,가맹 영업관리 경력자-국내 대형 프랜차이즈 기업,(주)에이치알원 컨설팅,채용시,2022-06-07
영업·판매·무역,"
, 쇼핑몰관리, 온라인영업, 온라인MD, 상품관리, 오픈마켓,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,서울 강남구,온라인마케팅 경력자-생활용품 전문 중견기업,(주)에이치알원 컨설팅,채용시,2022-06-07
영업·판매·무역,"
, 해외시장개척, 해외영업, 화장품영업, 마트영업, 바이어발굴/관리,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,서울 마포구,뷰티 해외영업 경력자 (미국)-바이오 뷰티 전문기업,(주)에이치알원 컨설팅,채용시,2022-06-06
영업·판매·무역,"
, 영업관리, 영업지원,  ",정규직,경력 3년 이상,대학교(4년) 이상,경기 용인시 기흥구,[대기업 계열사] 영업지원,(주)인큐브시스템,2022-07-10,2022-06-06
영업·판매·무역,"
, 영업전략, 화장품영업, B2B, 거래처영업, 마트영업,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,서울 마포구,물티슈 영업 경험자-바이오 물티슈 전문기업,(주)에이치알원 컨설팅,채용시,2022-06-06
영업·판매·무역,"
, 기술영업, 솔루션기술영업, B2B, 영업, 기술지원,  ",정규직,6 ~ 11년,대학교(4년) 이상,서울 종로구,B2B 대형 유통사 배터리사업부 기술영업,(주)파인에이치알,2022-06-20,2022-06-06
영업·판매·무역,"
, 아울렛영업, 온라인영업, 리테일MD, 브랜드MD, 영업MD,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,서울 마포구,생활건강 온/오프라인 총괄 팀장급-뷰티 전문기업,(주)에이치알원 컨설팅,채용시,2022-06-06
영업·판매·무역,"
, 시설관리, 자산관리, 부동산영업, 점포개발, 부동산투자,  외            ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 중구,[대기업] 부동산 PM(임대관리) (정규직),(주)비에이블컨설팅그룹,2022-06-12,2022-06-02
영업·판매·무역,"
, 영업MD, 식품/음료영업, 온라인판매, 잡화판매, B2C,  외            ",정규직,3 ~ 10년,대학교(4년) 이상,서울 동작구,[중견기업] 소비재(FMCG) 온라인영업 (대리~과장),(주)비에이블컨설팅그룹,2022-06-12,2022-06-02
영업·판매·무역,"
, 영업마케팅, B2C, 매출관리, 바이어발굴/관리, 온라인영업,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 동작구,[중견기업] 소비재(FMCG) 브랜드매니저(BM/PM) (대리급),(주)비에이블컨설팅그룹,2022-06-12,2022-06-02
영업·판매·무역,"
, 영업기획, 영업,  ",정규직,경력 3년 이상,"대학(2,3년) 이상",서울전체,[ICT] 영업기획(주임-과장급),(주)베스트에치알 (Best HR),2022-07-10,2022-06-05
영업·판매·무역,"
, 채용담당자, 헤드헌터, ER(노무관리), HR컨설팅, HRD,  외            ",계약직,경력 3년 이상,학력무관,서울 강남구,[외국계] 유명 브랜드 Retail HR Manager,(주)맨파워그룹코리아,2022-06-14,2022-06-07
