main,middle,type,career,education,region,title,company,deadline,notice
운전·운송·배송,"
, 포워더, 통관, 물류관리, 재고관리, 창고관리,  외            ",정규직,5 ~ 8년,대학교(4년) 이상,서울 강남구,외국계 식품회사  SCM Logistics Manager (과장급),(주)스카우트,2022-07-01,2022-06-01
운전·운송·배송,"
, 지게차, 입고/입하, 출고/출하, 운전, 창고관리,  ",정규직,신입 · 경력,학력무관,경기 평택시,평택외국기업. 창고관리.지게차 운전.입출고관리.,(주)블루스타에이치알,2022-06-30,2022-05-31
운전·운송·배송,"
, 항공운송, 포워더, 영업, 포워딩, 사업총괄,  ",정규직,15 ~ 20년,대학교(4년) 이상,서울 서초구,포워딩 사업 총괄 책임자 모집(복합운송 외국계 합작기업/부장급,(주)라온서치,2022-06-15,2022-06-02
운전·운송·배송,"
, 항공운송, 포워더, 영업,  ",정규직,5 ~ 12년,대학교(4년) 이상,서울 서초구,"포워딩 영업 경력직  모집 ( 복합운송 외국계 합작기업/과,차장)",(주)라온서치,2022-06-15,2022-06-02
운전·운송·배송,"
, 관세사, 포워더, 육상운송, 통관, 항공운송,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강동구,"[ 해운 수출입 포워딩 경력 2-10년, 중견 물류회사 ]",(주)피너클써치,2022-06-17,2022-06-02
운전·운송·배송,"
, 지게차, 물류관리, 물류사무원, 자재관리, 재고관리,  외            ",정규직,경력무관,고졸 이상,서울 강남구,상품 입출고 담당자 (정규직)-수입과일 전문 유통기업,(주)에이치알원 컨설팅,채용시,2022-06-02
운전·운송·배송,"
, 지게차, 물류관리, 물류사무원, 재고관리, 창고관리,  외            ",정규직,경력무관,고졸 이상,서울 마포구,물류유통 (정규직)-글로벌 식품 유통 전문기업,(주)에이치알원 컨설팅,채용시,2022-06-02
운전·운송·배송,"
, 재무회계, 육상운송, 물류관리, 적재/하역, 회계,  외            ",정규직,4 ~ 8년,"대학(2,3년) 이상",서울 송파구,코스닥 상장 물류회사 회계담당,피플투피플,2022-07-10,2022-06-01
운전·운송·배송,"
, 지상조업, 공항, 운전, 탑재,  ",계약직,경력무관,고졸 이상,인천 중구,탑재팀 및 로더 / 교대근무 ( 계약직 2년 ) / 인천 공항,탑커리어인사이트,채용시,2022-06-07
운전·운송·배송,"
, 적재/하역, 지게차, 배합, 물류관리, 패킹(포장),  외            ",정규직,1 ~ 7년,고졸 이상,부산 강서구,정규직- 설비오퍼레이터-외국계 안정적 히든기업-부산경남,잡코디골드(주),채용시,2022-05-30
운전·운송·배송,"
, 지게차, 부품수출, 수출입, 물류관리, 창고관리,  외            ",정규직,3 ~ 8년,"대학(2,3년) 이상",경기 화성시,[중견그룹 계열사]  전자재료사업부 사업지원팀 (주임~대리급),에이치알포유(주),2022-07-10,2022-05-28
운전·운송·배송,"
, 포워더, 육상운송, 적재/하역, 통관, 항공운송,  외            ",정규직 · 해외취업,5 ~ 13년,대학교(4년) 이상,아시아·중동 중국.홍콩,대기업 중국법인 물류운영 대리말과장급,HR컨설팅(주),2022-07-09,2022-06-09
운전·운송·배송,"
, 포워더, 항공운송, 해상운송, 포워더, 항공무역,  외            ",정규직 · 해외취업,5 ~ 15년,대학교(4년) 이상,아시아·중동 아랍에미레이트연합국,대기업 두바이법인 물류 운영 대리말차장초,HR컨설팅(주),2022-07-09,2022-06-09
운전·운송·배송,"
, 항공운송, 해상운송, 포워더, 항공무역, 해상무역,  외            ",정규직 · 해외취업,3 ~ 13년,대학교(4년) 이상,아시아·중동 베트남,대기업 베트남법인 물류운영 사원말과장급,HR컨설팅(주),2022-07-09,2022-06-09
운전·운송·배송,"
, 항공운송, 해상운송, 항공무역, 해상무역, 수/발주,  외            ",정규직 · 해외취업,14 ~ 19년,대학교(4년) 이상,유럽 이탈리아,대기업 이탈리아법인 물류운영 팀장급 차장급,HR컨설팅(주),2022-07-09,2022-06-09
운전·운송·배송,"
, 항공운송, 해상운송, 항공무역, 해상무역, 수/발주,  외            ",정규직 · 해외취업,14 ~ 20년,대학교(4년) 이상,유럽 영국,대기업 영국법인 물류운영 팀장급 차장부장초,HR컨설팅(주),2022-07-09,2022-06-09
운전·운송·배송,"
, 포워더, 육상운송, 항공운송, 해상운송, 통관,  외            ",정규직 · 해외취업,8 ~ 18년,대학교(4년) 이상,남미 브라질,대기업 브라질법인 물류운영 과장차장급,HR컨설팅(주),2022-07-09,2022-06-09
운전·운송·배송,"
, 항공운송, 해상운송, 항공무역, 해상무역, 수/발주,  외            ",정규직 · 해외취업,5 ~ 13년,대학교(4년) 이상,유럽 폴란드,대기업 폴란드법인 물류운영 대리과장급,HR컨설팅(주),2022-07-09,2022-06-09
운전·운송·배송,"
, 포워더, 항공운송, 해상운송, 포워더, 항공무역,  외            ",정규직 · 해외취업,4 ~ 13년,대학교(4년) 이상,아프리카 이집트,대기업 이집트법인 물류 운영 대리과장급,HR컨설팅(주),2022-07-09,2022-06-09
운전·운송·배송,"
, 육상운송, 항공운송, 해상운송, 항공무역, 해상무역,  외            ",정규직 · 해외취업,4 ~ 13년,대학교(4년) 이상,유럽 네덜란드,대기업 네덜란드법인 물류운영 대리과장급,HR컨설팅(주),2022-07-09,2022-06-09
운전·운송·배송,"
, 육상운송, 적재/하역, 항공운송, 포워더, 해외영업,  외            ",정규직 · 해외취업,4 ~ 17년,대학교(4년) 이상,아시아·중동 말레이시아,대기업 말레이시아법인 이커머스 사업 리더급 대리차장급,HR컨설팅(주),2022-07-09,2022-06-09
운전·운송·배송,"
, 육상운송, 적재/하역, 항공운송, 화물차(카고), 포워더,  외            ",정규직 · 해외취업,4 ~ 17년,대학교(4년) 이상,아시아·중동 말레이시아,대기업 말레이시아법인 물류관리 대리차장급,HR컨설팅(주),2022-07-09,2022-06-09
