main,middle,type,career,education,region,title,company,deadline,notice
총무·법무·사무,"
, 총무, 자산관리, OA,  ",정규직,신입 · 경력,대학교(4년) 이상,경기 수원시 영통구,총무 경력자,(주)에임즈인터내셔널코리아,2022-07-10,2022-06-08
총무·법무·사무,"
, 임원비서, 채용담당자, 인재발굴, 비서, OA,  ",정규직,1 ~ 3년,"대학(2,3년) 이상",인천 연수구,[외국계 기업] 비서 및 경영지원전반 운영담당 모집,(주)맨파워코리아,2022-07-10,2022-06-07
총무·법무·사무,"
, 문서작성, 통/번역, AE(광고기획자), CW(카피라이터), 영어,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,(신입/경력) 광고기획/AE(영어). 아트디렉터 -아시아권/디지털-,(주)프로매치코리아,2022-06-24,2022-06-06
총무·법무·사무,"
, 기술사업화, 인/허가, R&D기획, 신재생에너지, 기술기획,  외            ",정규직,3 ~ 6년,대학교(4년) 이상,서울 종로구,사업개발 및 관리 경력자-글로벌 에너지그룹 지주사,(주)에이치알원 컨설팅,채용시,2022-06-05
총무·법무·사무,"
, 시설관리, 자산관리, 부동산영업, 점포개발, 부동산투자,  외            ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 중구,[대기업] 부동산 PM(임대관리) (정규직),(주)비에이블컨설팅그룹,2022-06-12,2022-06-02
총무·법무·사무,"
, 시설관리, 자산관리, 정비기사, 기계수리, 설비점검,  외            ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 중구,[대기업] 기계설비 (정규직),(주)비에이블컨설팅그룹,2022-06-12,2022-06-02
총무·법무·사무,"
, 시설관리, 자산관리, 기계수리, 전기설계, 자동제어,  외            ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 중구,[대기업] 전기설비 (정규직),(주)비에이블컨설팅그룹,2022-06-12,2022-06-02
총무·법무·사무,"
, 총무, 경영지원, 인사기획, 회계, 인사,  ",정규직,경력 13년 이상,대학교(4년) 이상,서울 서초구,경영지원팀장/차-부장급/국내유명식품회사,(주)에임즈인터내셔널코리아,2022-06-24,2022-06-09
총무·법무·사무,"
, 4대보험, 급여(Payroll), 연말정산, 총무, 경영지원,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,서울 강남구,[강남구/연8000] 유명브랜드 본사 인사팀장,(주)키스템프그룹,2022-06-15,2022-06-04
총무·법무·사무,"
, 변호사, 사내변호사, 법무,  ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,[1군종합건설 중견기업] 변호사 (추가)채용,온리원파트너스(주),2022-07-03,2022-06-03
총무·법무·사무,"
, 총무, 문서작성, 비품관리, 사무행정, 경영지원,  외            ",정규직,경력무관,대학교(4년) 이상,서울 송파구,[송파/연3200~4100만/정규직]유명기업 인사총무팀 채용,(주)키스템프그룹,2022-06-21,2022-06-04
총무·법무·사무,"
, 사내변호사, 법무, 변호사,  ",정규직,4 ~ 10년,대학교(4년) 이상,경기 성남시 분당구,중견그룹 지주회사 변호사채용,커리어커넥트(주),2022-06-28,2022-05-29
총무·법무·사무,"
, 법무, 컴플라이언스,  ",정규직,2 ~ 6년,대학교(4년) 이상,서울 강남구,[일본계대기업] 법무 경력직 채용,(주)더라이징스타에스,채용시,2022-06-04
총무·법무·사무,"
, 경영지원, 지속가능경영, 법무,  ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,[우량 캐피탈] 기업법무 및 지배구조 관련 경력자 채용,(주)서치브레인,채용시,2022-06-04
총무·법무·사무,"
, 지속가능경영, 대외업무, 대외협력, 정부규제조사,  ",정규직,5 ~ 15년,대학교(4년) 이상,서울 강남구,외국계 대외협력 담당자 채용 (ENGAGEMENT MANAGER),(주)피플케어코리아,채용시,2022-05-26
총무·법무·사무,"
, 더존, 경영지원, 해외법인, 총무,  ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,[판교/글로벌 중소 제약사] 경영지원 주임대리급 채용,(주)탑앤스카우트,채용시,2022-05-27
총무·법무·사무,"
, 비서, 임원비서,  ",정규직,4 ~ 7년,"대학(2,3년) 이상",경기 성남시 분당구,[국내대기업계열사] 임원 비서 채용(정규직),휴먼인써치,2022-06-23,2022-06-08
총무·법무·사무,"
, 변호사, 사내변호사,  ",정규직,2 ~ 5년,대학교(4년) 이상,인천 미추홀구,[국내금융기업] 사내변호사 채용,휴먼인써치,채용시,2022-05-27
총무·법무·사무,"
, 변호사, 사내변호사, 법무,  ",정규직,3 ~ 10년,대학교(4년) 이상,서울 성동구,환경전문기업 - 법무 과장급,에버브레인 컨설팅(주),채용시,2022-06-03
총무·법무·사무,"
, 비서, 수행비서, 문서작성, 사무보조, 자료조사,  ",정규직,경력 2년 이상,"대학(2,3년) 이상",경기 용인시 기흥구,[헤드헌팅사] 경영지원(Admin) 채용,휴먼인써치,채용시,2022-05-27
총무·법무·사무,"
, 총무, 인사기획, 인사행정, 평가/보상, 인사,  외            ",계약직,경력 3년 이상,대학교(4년) 이상,서울 중구,[대기업 금융지주사 자회사] 보상&복리후생 담당자,퍼솔켈리코리아(유),채용시,2022-06-02
총무·법무·사무,"
, 인/허가, RA, QA, ISO13485, QMS,  외            ",정규직,경력 7년 이상,대학교(4년) 이상,경기 안양시 동안구,[초음파 진단기 전문기업] QA/RA,커리어커넥트(주),채용시,2022-06-09
총무·법무·사무,"
, 법무사, 변호사, 사내변호사, 법률사무원, 컴플라이언스,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,경기 성남시 분당구,[디지털 옥외광고 플랫폼 기업] 노무 & 법무,커리어커넥트(주),채용시,2022-05-30
총무·법무·사무,"
, 경리, 사무직, 서무, 총무, 비품관리,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 종로구,[외국계 컨설팅/중구] Office Manager 정규직 채용(영어가능자),(주)아데코코리아,2022-06-25,2022-06-03
총무·법무·사무,"
, 공인회계사, 전산회계, 회계사, AICPA, KICPA,  외            ",정규직,경력 3년 이상,학력무관,서울 강남구,긴급) 업계 최고 대기업 - 재무기획 (FP&A) - 최우대,휴머레인컨설팅,2022-07-10,2022-06-03
총무·법무·사무,"
, 법무, 컴플라이언스,  ",정규직,4 ~ 11년,대학교(4년) 이상,서울 서초구,준법경영팀 - 법무 (대리-과장급),(주)조인스에이치알코리아,2022-06-13,2022-06-08
총무·법무·사무,"
, 세무회계, 재무회계, 회계결산, 총무, 경영지원,  외            ",정규직,8 ~ 15년,대학교(4년) 이상,서울 강남구,[국내기업] 경영지원 팀장급 경력채용,(주)핀커스코리아,2022-06-18,2022-06-05
총무·법무·사무,"
, 법무,  ",정규직,경력 5년 이상,대학교(4년) 이상,서울 강남구,[서울/HMR제조기업] 법무팀 5년 이상,(주)탑앤스카우트,2022-07-10,2022-06-02
총무·법무·사무,"
, 인/허가, 자산관리, 특허관리, 의약사무, R&D,  외            ",정규직,경력 4년 이상,"대학(2,3년) 이상",서울 송파구,[유명 우량 바이오기업] 의료기기 RA,굿커리어,2022-07-03,2022-06-03
총무·법무·사무,"
, 사이트관리, 브랜드MD, 오프라인MD, 브랜드확장, 브랜딩,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,경기 성남시 분당구,[디지털 육아용품 기업] 온사이트 마케터(대리- 과장) 정규직,에이치알포유(주),채용시,2022-06-02
총무·법무·사무,"
, 사이트관리, 브랜드MD, 오프라인MD, 브랜드확장, 브랜딩,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,경기 성남시 분당구,[디지털 육아용품 기업]신규 서비스 기획(대리 - 과장) 정규직,에이치알포유(주),채용시,2022-06-02
총무·법무·사무,"
, 총무, HRM, 평가/보상, 인사,  ",정규직,4 ~ 6년,대학교(4년) 이상,서울 중구,1. 국내 Top 임상시험수탁기관 (CRO) -인사담당 (긴급),그레이스앤파트너스(주),2022-06-30,2022-05-31
총무·법무·사무,"
, 인/허가, 제약QA, RA, 임상개발,  ",정규직,3 ~ 12년,대학교(4년) 이상,서울 강남구,1. [바이오 제약사]해외 RA / 경력 3년 ~ 12년,그레이스앤파트너스(주),채용시,2022-06-03
총무·법무·사무,"
, 사이트관리, 브랜드MD, 오프라인MD, 브랜드확장, 브랜딩,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,경기 성남시 분당구,[디지털 육아용품 기업] 브랜드 마케터(대리- 과장) 정규직,에이치알포유(주),채용시,2022-06-02
총무·법무·사무,"
, 감사, 컴플라이언스, 지속가능경영, 재무분석, 투자분석,  ",정규직,경력 10년 이상,대학교(4년) 이상,경기 성남시 분당구,"[유명 코스닥 기업] 경영진단, 개선 / 내부회계 과차장급",굿커리어,채용시,2022-05-26
총무·법무·사무,"
, 사이트관리, 브랜드MD, 오프라인MD, 브랜드확장, 브랜딩,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,경기 성남시 분당구,[디지털 육아용품 기업] 퍼포먼스 마케터(정규직),에이치알포유(주),채용시,2022-06-02
총무·법무·사무,"
, 법무, Compliance,  ",정규직,경력 5년 이상,대학교(4년) 이상,서울 강남구,Compliance Officer,피플워크(주),2022-06-20,2022-06-02
총무·법무·사무,"
, 사이트관리, 브랜드MD, 오프라인MD, 브랜드확장, 브랜딩,  외            ",정규직,경력 7년 이상,대학교(4년) 이상,경기 성남시 분당구,[디지털 육아용품 기업] 브랜드 디지털 마케팅(팀장급),에이치알포유(주),채용시,2022-06-02
총무·법무·사무,"
, 사무직, 총무, 문서작성, 사무보조, 경영지원,  ",정규직,1 ~ 5년,학력무관,서울 서초구,유명 주식투자 컨설팅 기업 사업지원팀 사무보조 담당 (강남),인파트너스,2022-06-27,2022-05-28
총무·법무·사무,"
, 총무, 시설관리, 자산관리,  ",정규직,3 ~ 7년,대학교(4년) 이상,서울 서초구,중견그룹 지주사 자산관리팀 대리급 채용 (강남),인파트너스,채용시,2022-05-27
