main,middle,type,career,education,region,title,company,deadline,notice
회계·세무·재무,"
, 관리회계, 기업회계, 법인결산, 세무신고, 세무조정,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,광주 광산구,"[ 물류 사업기획, 이천 - 유명 물류회사 ]",(주)피너클써치,2022-06-13,2022-06-03
회계·세무·재무,"
, 전산회계, 관리회계, 기업회계, 법인결산, 법인세신고,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,서울 강동구,"[ 재무관리 팀장급, 광주 - 유명 물류회사 ]",(주)피너클써치,2022-06-17,2022-06-09
회계·세무·재무,"
, 전산회계, 회계사, AICPA, 법인결산, 부가세신고,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,충남 아산시,[배터리장비제조사]재무회계(과장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
회계·세무·재무,"
, 전산회계, 관리회계, 급여(Payroll), 기업회계, 재무,  외            ",정규직,경력 8년 이상,대학교(4년) 이상,서울 용산구,[종합건설사]재경담당(과장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
회계·세무·재무,"
, 관리회계, 법인결산, 세무신고, 세무조정, 세무회계,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,서울 마포구,재무회계 팀장급-화장품 소재 전문기업,(주)에이치알원 컨설팅,채용시,2022-06-07
회계·세무·재무,"
, 관리회계, 기업회계, 내부감사, 연결회계, 외부감사,  외            ",정규직,경력 6년 이상,대학교(4년) 이상,서울 송파구,내부회계관리제도 운영 경력자-그룹 계열 상장 제약사,(주)에이치알원 컨설팅,채용시,2022-06-07
회계·세무·재무,"
, 원가회계, 회계, IPO,  ",정규직,경력 10년 이상,학력무관,경기 이천시,[이차전지 전문기업] IPO 실무 IR 공시 경력 회계 담당(과~차장),파워에이치알,2022-06-30,2022-05-31
회계·세무·재무,"
, 감사, 관리회계, 내부감사, 재무기획, 재무회계,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,서울 중구,경영진단 경력자-국내 대형 F&B 기업,(주)에이치알원 컨설팅,채용시,2022-06-07
회계·세무·재무,"
, 전산회계, 관리회계, 기업회계, 내부감사, 법인결산,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,서울 강남구,재무회계 경력자-생활용품 제조 중견기업,(주)에이치알원 컨설팅,채용시,2022-06-07
회계·세무·재무,"
, 공인회계사, CFA, 기업회계, 내부감사, 재무제표,  외            ",정규직,5 ~ 10년,대학교(4년) 이상,서울 강남구,사업기획/전략기획 (팀장급) -수평조직/디지털마케팅사-,(주)프로매치코리아,2022-06-24,2022-06-06
회계·세무·재무,"
, 자금관리, 재무회계, 재무,  ",정규직,5 ~ 11년,대학교(4년) 이상,경기 성남시 분당구,[콘텐츠플랫폼중견기업] 재무팀 자금 담당 (대리/과장),HR컨설팅(주),2022-07-10,2022-06-06
회계·세무·재무,"
, 관리회계, 손익관리, 예산관리, 외부감사, 자금관리,  외            ",정규직,15 ~ 20년,대학교(4년) 이상,경기 성남시 분당구,유명 교육 콘텐츠기업 재경팀장 (IPO 진행 경험자),(주)파인에이치알,2022-06-20,2022-06-06
