company,career,education,region,reg,deadline,type,title,job,tag
비타민하우스(주),경력무관,학력무관,서울 강남구,2022-05-21,2022-07-09,정규직,[비타민하우스] 상품기획팀/신상품운영팀/온라인 MD 경력 모집,"
, 상품분석, 마케팅기획, 마케팅전략, 블로그마케팅, SNS마케팅,  외            ",마케팅·홍보·조사
도깨비 트래블,경력무관,학력무관,서울 종로구,2022-06-09,2022-06-19,정규직,"도깨비트래블 바이럴 마케팅 및 기획 (블로그,SNS,카페) 경력","
, 여행사, 인플루언서, 마케팅기획, 마케팅전략, 블로그마케팅,  외            ",마케팅·홍보·조사
(주)에스앤제이스페이스,경력 1년↑,대학교(4년) 이상,서울 강남구,2022-05-27,2022-06-25,정규직 · 계약직,"매장매니저, 카페매니저 외 정규직/계약직 채용 - 경력사원","
, 매장매니저, 카페매니저, 홀매니저, BM(브랜드매니저), 카페,  ",마케팅·홍보·조사
(주)코인통,신입 · 경력,학력무관,서울 마포구,2022-04-07,2022-06-17,정규직,[토마토그룹] 개발자 /암호화폐/NFT 사업전략/서비스/마케팅기획,"
, 백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, API,  외            ",마케팅·홍보·조사
(주)코코스랩,경력무관,학력무관,경기 파주시,2022-05-05,채용시,정규직 · 계약직,해외 이커머스 경력자 아마존 큐텐 소피 온라운쇼핑몰/기본급외,"
, 해외시장개척, 해외영업, B2B, B2C, 바이어발굴/관리,  외            ",마케팅·홍보·조사
(주)코코스랩,경력무관,학력무관,경기 파주시,2022-05-05,채용시,정규직 · 계약직,온라인MD 네어버쇼핑 오픈마켓 폐쇄물 등/기본급 외 성과급 지급,"
, 기획MD, 리테일MD, 바잉MD, 브랜드MD, 슈퍼바이저,  외            ",마케팅·홍보·조사
(주)위더스애드,신입 · 경력,학력무관,서울 구로구,2022-05-13,2022-06-13,정규직,"[디지털종합광고대행사] AE, PD, 모션GD, GD, AD, CW","
, 광고영업, 매체영업, 브랜드관리, 브랜드기획, 프로모션기획,  외            ",마케팅·홍보·조사
(주)예스티,신입 · 경력,"대학(2,3년) 이상",경기 평택시,2022-05-28,2022-06-20,정규직,2022년 상반기 각 부문 신입/경력 채용,"
, 유지보수, 감사, 경리, 공인회계사, 회계사,  외            ",마케팅·홍보·조사
아이진(주),신입 · 경력,대학교(4년) 이상,서울 강서구,2022-05-31,2022-06-12,정규직 · 병역특례,상반기 각 부문별 신입/경력 채용,"
, IR/공시, 더존, 4대보험, 급여(Payroll), 부가세신고,  외            ",마케팅·홍보·조사
(주)제이펀,신입 · 경력,"대학(2,3년) 이상",서울 금천구,2022-06-04,2022-06-13,정규직,각 부문별 신입 및 경력 채용,"
, 사이트관리, 콘텐츠관리, 해외시장개척, 해외영업, 해외영업관리,  외            ",마케팅·홍보·조사
