company,career,education,region,reg,deadline,type,title,job,tag
(주)핸더바이오닉스,신입 · 경력,학력무관,서울 영등포구,2022-06-01,2022-06-30,정규직 · 계약직,반려동물 재활보조기구 온/오프라인 CS 업무,"
, 고객관리, CS관리, SNS, CS, 채팅상담,  ",상품기획·MD
나를미디어,경력무관,학력무관,서울 금천구,2022-04-22,채용시,정규직,관리본부 인스타팀 SNS관리 경력무관 채용,"
, 비품관리, 사무보조, 사무행정, 사이트관리, 서류관리,  외            ",상품기획·MD
에이스휴먼파워(주),경력무관,"대학(2,3년) 이상",서울 강남구,2022-06-04,2022-07-03,계약직 · 파견직,[강남/정규직가능] 명품쇼핑몰 발란 본사 패션AMD 사무직 채용,"
, 사무직, 문서작성, 사무보조, 사무행정, 사이트관리,  외            ",상품기획·MD
감성코퍼레이션(주),경력,고졸 이상,서울 서초구,2022-05-27,2022-06-12,정규직,SNOWPEAK어패럴 각 부문 경력직원 모집,"
, 경리, 경리사무원, 전산회계, 더존, 계산서발행,  외            ",상품기획·MD
(주)일군토건,신입 · 경력,학력무관,전국,2022-05-27,2022-06-12,정규직,"신입/경력 채용(건축,안전,C/S,견적,개발,경영)","
, 경리, 전산회계, 더존, 4대보험, 계산서발행,  외            ",상품기획·MD
(주)유니에스,경력무관,"대학(2,3년) 이상",서울 강서구,2022-06-04,2022-06-29,정규직,[급여인상/어학무관] 대한항공 예약발권 주·야간 상담사 채용,"
, 사무직, 사무보조, 전화응대, 호텔영업, 여행사영업,  외            ",상품기획·MD
(주)뮬라,경력 2년↑,학력무관,인천 부평구,2022-06-07,2022-07-07,정규직,[뮬라웨어] 자사몰 온라인MD(경력직) 채용 / 주4일,"
, 영업MD, 온라인판매, 의류판매, 온라인영업, 영업MD,  외            ",상품기획·MD
케이티커머스(주),신입 · 경력,대학교(4년) 이상,서울 강남구,2022-06-08,2022-06-19,정규직,2022년 정보보안/IT기획/구매영업/서비스기획 및 운영 신입 및 경력사원 수시채용,"
, 백엔드/서버개발, 보안컨설팅, 정보보안, IT컨설팅, SE(시스템엔지니어),  외            ",상품기획·MD
(주)씨유기획,경력무관,학력무관,서울 금천구,2022-06-07,2022-07-15,정규직,(주) 씨유기획 온라인 MD 채용,"
, 기획MD, 브랜드MD, 온라인MD, 유통MD, 매출관리,  외            ",상품기획·MD
(주)케이앤웍스,신입 · 경력,학력무관,제주 제주시,2022-05-31,2022-06-17,계약직,[신입/경력] Daum/카카오 통합신고센터 안내 담당자 모집,"
, 사이트관리, 고객관리, 고객안내, 고객응대, CS관리,  외            ",상품기획·MD
(주)케이디알기업서비스,경력무관,학력무관,서울 중구,2022-06-03,2022-07-03,계약직,B2B 온라인몰(폐쇄몰) 운영 담당 채용(팀원),"
, 쇼핑몰관리, 수/발주, 상품관리, 상품분석, 쇼핑몰,  외            ",상품기획·MD
(주)면사랑,신입 · 경력,학력무관,서울 강남구,2022-05-26,2022-06-17,정규직,22년 전역장교/부사관 신입/경력 공개채용,"
, 보안컨설팅, 정보보안, 네트워크, 전산회계, 법인결산,  외            ",상품기획·MD
(주)시샘,경력 1년↑,학력무관,부산 강서구,2022-06-03,2022-07-03,정규직,쇼핑몰 관리자 정규직 구합니다. (4시반퇴근),"
, 쇼핑몰관리, 쇼핑몰, 상품관리,  ",상품기획·MD
(주)폴레드,신입 · 경력,학력무관,서울 강남구,2022-05-04,2022-06-30,정규직 · 아르바이트,POLED 2022년 상반기 정규직 채용,"
, 온라인영업, 온라인MD, AMD, 매출관리, 소셜커머스,  외            ",상품기획·MD
루베라(주),경력무관,학력무관,서울 마포구,2022-04-28,2022-06-27,정규직 · 계약직,SHALAJ 2022년 디자이너 모집,"
, 방적/방사, 섬유/의류, 패션잡화, SNS, 브랜드디자인,  외            ",상품기획·MD
(주)비엠스마일,신입 · 경력,"대학(2,3년) 이상",서울 강남구,2022-05-13,2022-06-30,정규직 · 계약직,글로벌 펫 브랜드 PETHROOM 2022년 상반기 신입/경력사원 채용,"
, 유지보수, 퍼블리셔, CSS, HTML, Javascript,  외            ",상품기획·MD
(주)모다이노칩,신입,대학교(4년) 이상,충북 충주시,2022-05-22,2022-06-30,정규직,[충주점]모다아울렛 영업관리(정규직)신입사원 모집,"
, 영업관리, 매장관리, 기획MD, 영업,  ",상품기획·MD
