company,career,education,region,reg,deadline,type,title,job,tag
삼해상사(주),신입 · 경력,"대학(2,3년) 이상",전북 부안군,2022-06-08,2022-06-20,정규직,[CJ제일제당 자회사-삼해상사㈜] 품질 공정관리 및 입고검사 담당 신입/경력 채용,"
, 전동지게차, 지게차, 단순생산직, 생산관리, 품질검사원,  외            ",운전·운송·배송
(주)영유진,경력무관,고졸 이상,경북 포항시 남구,2022-06-04,2022-07-10,정규직 · 계약직,물류센터 직원 (정규직/계약직) 모집,"
, 지게차, 물류관리, 재고관리, 창고관리, 상하차,  외            ",운전·운송·배송
㈜운영,경력무관,고졸 이상,충남 천안시 서북구,2022-05-28,2022-06-26,정규직,영업 물류 입출고관리/배송기사 채용(경력무관),"
, 납품운전원, 배송기사, 물류관리, 재고관리, 창고관리,  ",운전·운송·배송
(주)막스만로지스틱스,신입 · 경력,"대학(2,3년) 이상",서울 영등포구,2022-06-02,채용시,정규직,포워딩 항공팀 신입 및 경력,"
, 항공운송,  ",운전·운송·배송
(주)프린트베이커리,신입 · 경력,대학교(4년) 이상,경기 고양시,2022-05-20,2022-06-24,정규직,[프린트베이커리] 작품관리팀 팀원 모집 (신입/경력),"
, 사무직, 사무보조, 사무행정, 육상운송, 배차관리,  외            ",운전·운송·배송
동해산업(주),신입 · 경력,고졸 이상,경기 화성시,2022-05-20,2022-06-30,정규직,동해산업(주) 부문별 정규직 채용,"
, 납품운전원, 거래처납품, 기계조작원, 단순생산직, 금형설계,  외            ",운전·운송·배송
(주)삼구에프에스,신입 · 경력,고졸 이상,경기 광주시,2022-05-24,2022-06-13,정규직,[식품가공]제조업 생산/운영/출하/사무 신규채용,"
, 전산회계, 급여(Payroll), 전표입력, 사무직, 총무,  외            ",운전·운송·배송
(주)씨앤디옵틱스,신입 · 경력,대학교(4년) 이상,서울전체,2022-05-24,2022-07-07,정규직,해외영업 / 국내영업 / R&D개발 / 물류이송 – 경력 모집,"
, 납품운전원, 적재/하역, 4.5톤, 윙바디, 화물차(카고),  외            ",운전·운송·배송
(주)진성티이씨,신입 · 경력,고졸 이상,경기 평택시,2022-05-26,2022-06-26,정규직 · 계약직,"재무회계(신입)/생산기술(경력,해외)/생산직/자재출하 모집","
, 관리회계, 기업회계, 법인결산, 연결회계, 예산관리,  외            ",운전·운송·배송
(주)윈텍통신,신입 · 경력,고졸 이상,대구 달서구,2022-05-31,2022-06-20,정규직,[삼성1차 협력사-휴대폰] 품질보증팀/제조팀/자재 납품기사 모집,"
, ER(노무관리), 납품운전원, 배송기사, 1톤, 2.5톤,  외            ",운전·운송·배송
(주)신우에스앤씨,경력무관,고졸 이상,서울 금천구,2022-06-02,2022-06-17,정규직,"[빔프로젝터,LDE전광판,음향] 영업직 / 영업지원 / 웹디자이너","
, 납품운전원, 배송기사, 영업관리, 영업지원, 영업직,  외            ",운전·운송·배송
(주)엠스코,신입 · 경력,고졸 이상,대구전체,2022-06-02,2022-06-20,정규직,2022년 상반기 각 부문별 직원 채용,"
, 원가관리, 원가회계, 해상운송, 연구원, 단순생산직,  외            ",운전·운송·배송
(주)에이아이에프,경력,대학교(4년) 이상,서울 성동구,2022-06-03,2022-06-29,정규직 · 계약직,A.I.F. 독일/프랑스/이태리 근무 가능한 포워딩 경력직,"
, 항공운송, 해상운송, 무역경리, 무역사무원, 포워더,  외            ",운전·운송·배송
(주)지오스토리,경력무관,학력무관,서울 강서구,2022-06-03,2022-08-02,정규직,해양조사 및 육상측량분야 정규직 채용,"
, 조종사, 토목기술자, 토목설계, 측량/계측, 토목공학,  외            ",운전·운송·배송
토월 소나무향기태권도장,경력무관,학력무관,경남 창원시,2022-05-25,2022-06-24,아르바이트,셔틀버스기사 아르바이트 채용 - 경력무관,"
, 셔틀버스기사,  ",운전·운송·배송
(주)에이치알엔,경력무관,고졸 이상,강원 춘천시,2022-05-22,2022-06-15,계약직,"(SK그룹)SK오앤에스 운전원 모집/강원도,포항/통신비 지원","
, 납품운전원, 대리운전, 라이더(배달원), 물류기사, 배송기사,  외            ",운전·운송·배송
㈜한익스프레스,경력무관,학력무관,울산 남구,2022-05-14,채용시,계약직,한익스프레스 차량안전관리 운영담당(근무지 울산)  계약직 모집,"
, 육상운송, 물류관리, 배차관리, 입고/입하, 출고/출하,  ",운전·운송·배송
