main,middle,type,career,education,region,title,company,deadline,notice
IT개발·데이터,"
, 데이터분석가, 데이터마이닝, 데이터시각화, 머신러닝, AE(광고기획자),  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,[ 데이터 분석 담당자 2-7년 - 유명 미디어랩사 ],(주)피너클써치,2022-06-20,2022-06-08
IT개발·데이터,"
, SAP, ABAP,  ",정규직,6 ~ 15년,대학교(4년) 이상,서울 강남구,"[대기업계열사] SAP FI, PP, CO 운영 경력직",토니서치,2022-06-23,2022-06-08
IT개발·데이터,"
, 유지보수, 정보보안, 검색엔진, 네트워크, 모의해킹,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,경기 안양시 만안구,[가전부품제조사]IT기획(대리-과장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
IT개발·데이터,"
, 게임개발, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터,  외            ",정규직,경력 7년 이상,"대학(2,3년) 이상",서울 강서구,[모바일게임개발회사]프론트엔드/백엔드/풀스택(과장-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
IT개발·데이터,"
, 게임개발, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터,  외            ",정규직,경력 3년 이상,"대학(2,3년) 이상",서울 강서구,[모바일게임개발회사]UI/UX/게임 디자이너(대리-과장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
IT개발·데이터,"
, DBMS, project,  ",정규직,7 ~ 15년,대학교(4년) 이상,서울 강남구,Project Manager,㈜벤처피플,2022-06-30,2022-06-08
IT개발·데이터,"
, 정보통신, HRD, 인사교육, 직업훈련, 교육기획,  외            ",정규직,5 ~ 20년,대학교(4년) 이상,서울 강남구,중견 에듀테크 리딩기업 IT교육사업팀장 모집,커리어커넥트(주),채용시,2022-06-07
IT개발·데이터,"
, S/W, 디스플레이, 반도체, C#, C++,  외            ",정규직,5 ~ 11년,대학교(4년) 이상,대전 대덕구,[외국계/대전연구소] 디스플레이장비 SW엔지니어,(주)휴먼서치,2022-06-16,2022-06-09
IT개발·데이터,"
, 백엔드/서버개발, 앱개발, 웹개발, 정보보안, 프론트엔드,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,서울 중구,"[대기업] VMS 서버, 어플리케이션 개발 (대리, 과장급)",(주)비에이블컨설팅그룹,채용시,2022-05-27
IT개발·데이터,"
, 앱개발, 웹개발, 유지보수, Java, PHP,  외            ",정규직,5 ~ 15년,대학교(4년) 이상,서울 강남구,유명일본계 - 웹플랫폼 SW개발 및 사이트 유지보수 (대리-차장),(주)프로매치코리아,2022-06-25,2022-06-05
IT개발·데이터,"
, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 웹개발, 딥러닝,  외            ",정규직,신입 · 경력,석사 이상,서울 중구,"[대기업] 딥러닝 (AI, 영상인식) 전문가 (석박사급)",(주)비에이블컨설팅그룹,2022-06-12,2022-06-02
IT개발·데이터,"
, 백엔드/서버개발, 앱개발, 웹개발, 유지보수, 프론트엔드,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,경기 안성시,[대기업] 델파이(Delphi) 개발자 (대리급),(주)비에이블컨설팅그룹,2022-06-12,2022-06-02
IT개발·데이터,"
, 서비스기획, 웹기획, 기획, 스토리보드, UI/UX,  외            ",정규직,경력 8년 이상,"대학(2,3년) 이상",서울 강남구,[FnB] (온라인) 플랫폼기획(PM) (과장/차장급),(주)베스트에치알 (Best HR),2022-07-10,2022-06-05
IT개발·데이터,"
, QA/테스터, 정보보안, SQA, 솔루션,  ",정규직,경력 3년 이상,"대학(2,3년) 이상",서울 강남구,[ICT] QA / 솔루션 전반(주임-과장급),(주)베스트에치알 (Best HR),2022-07-10,2022-06-05
IT개발·데이터,"
, DBA, MySQL,  ",정규직,경력 5년 이상,대학교(4년) 이상,서울 강남구,[업계 1위 유명 온라인 플랫폼 기업] MySQL DBA,굿커리어,2022-06-29,2022-05-30
IT개발·데이터,"
, 딥러닝, 알고리즘, 영상처리, 이미지프로세싱, 임베디드,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,경기 안양시 동안구,[유명 디스플레이 솔루션 기업] 제어시스템 개발,굿커리어,2022-07-04,2022-06-04
IT개발·데이터,"
, 딥러닝, 알고리즘, 영상처리, 이미지프로세싱, 임베디드,  외            ",정규직,경력무관,대학교(4년) 이상,경기 안양시 동안구,[유명 디스플레이 솔루션 기업] 딥러닝AI 알고리즘 개발,굿커리어,2022-07-04,2022-06-04
