main,middle,type,career,education,region,title,company,deadline,notice
건설·건축,"
, 연구원, 가스기능사, 가스설비, R&D, 가스,  ",정규직,경력 8년 이상,대학교(4년) 이상,충북 보은군,[가스제조사]연구소/팀장(과장-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-05-26
건설·건축,"
, 유해화학물질, PSM, 안전보건관리자, 가스기능사, 대기환경기사,  외            ",정규직,경력 4년 이상,"대학(2,3년) 이상",서울 마포구,환경안전 담당자-반도체 신규공장 외투기업,(주)에이치알원 컨설팅,채용시,2022-06-07
건설·건축,"
, PSM, 안전관리자, 안전보건관리자, 위험성평가, 식품,  외            ",정규직,4 ~ 11년,대학교(4년) 이상,서울 강남구,우량 식품 대기업 전사 안전기획 담당,커리어커넥트(주),채용시,2022-06-06
건설·건축,"
, 안전관리자, 환경관리자, 안전보건관리자, 안전관리, 중대재해처벌법,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,서울 종로구,안전관리 기획 경력자-글로벌 에너지 그룹사,(주)에이치알원 컨설팅,채용시,2022-06-05
건설·건축,"
, 기계조작원, 용접원, 공정엔지니어, 기술엔지니어, 설계엔지니어,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",충북 증평군,"[식품, 중소기업] 기계설비유지관리자 (사원~대리급)",(주)비에이블컨설팅그룹,채용시,2022-06-08
건설·건축,"
, 시설관리, 자산관리, 부동산영업, 점포개발, 부동산투자,  외            ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 중구,[대기업] 부동산 PM(임대관리) (정규직),(주)비에이블컨설팅그룹,채용시,2022-06-02
건설·건축,"
, 시설관리, 자산관리, 정비기사, 기계수리, 설비점검,  외            ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 중구,[대기업] 기계설비 (정규직),(주)비에이블컨설팅그룹,채용시,2022-06-02
건설·건축,"
, 시설관리, 자산관리, 기계수리, 전기설계, 자동제어,  외            ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 중구,[대기업] 전기설비 (정규직),(주)비에이블컨설팅그룹,채용시,2022-06-02
건설·건축,"
, 기술영업, 영업관리, 영업지원, 영업직, 건설영업,  외            ",정규직,2 ~ 8년,대학교(4년) 이상,서울 강남구,[1군 종합건설기업] 개발영업 채용,온리원파트너스(주),2022-07-10,2022-06-04
건설·건축,"
, 안전관리자, 안전보건관리자,  ",계약직,경력무관,대학교(4년) 이상,인천 서구,[인천/경력별협의/자체직]외국계기업 안전관리자 채용,(주)키스템프그룹,2022-07-10,2022-06-04
건설·건축,"
, 기술영업, 영업관리, 영업지원, 영업직, 건설영업,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,[1군 종합건설기업] 업무기획(공사수주) 채용,온리원파트너스(주),2022-07-10,2022-06-04
건설·건축,"
, 안전관리자,  ",계약직,신입 · 경력,학력무관,경기 화성시,화성 동탄.석우동 안전관리 .신입.경력.1년자체 계약직.주부가능,(주)블루스타에이치알,2022-07-10,2022-06-04
건설·건축,"
, 정비기사, A/S기사, 기계조작원, 전기제어, 전기기사,  ",정규직,신입 · 경력,"대학(2,3년) 이상",경기 평택시,"평택.창원.부산.대구.사출기 AS 엔지니어 .전졸.,대졸 .",(주)블루스타에이치알,2022-07-10,2022-06-04
건설·건축,"
, 기계조작원, 생산자동화, 전기기사, 전기설비,  ",정규직,신입,대학교(4년) 이상,경기 평택시,평택외국기업.생산기술엔지니어. 신입 .기계공학,(주)블루스타에이치알,2022-07-10,2022-06-04
건설·건축,"
, 구조해석/설계, 기계설계, 플랜트설계, 배관용접, 배관설계,  외            ",정규직,5 ~ 20년,대학교(4년) 이상,충남 천안시 서북구,기계설계/플랜트 기자재 설계,커리어앤컴퍼니,채용시,2022-05-31
건설·건축,"
, 구조해석/설계, 기계설계, 플랜트설계, 배관용접, 배관설계,  외            ",정규직,5 ~ 20년,대학교(4년) 이상,충남 천안시 서북구,품질 / 플랜트 기자재,커리어앤컴퍼니,채용시,2022-06-03
건설·건축,"
, 감리원, 시공관리자, CAD,  ",정규직,경력 8년 이상,대학교(4년) 이상,서울 송파구,유명 식품가공/판매 프랜차이즈사.시공감리,(주)블루스타에이치알,2022-06-30,2022-05-31
건설·건축,"
, 부동산, 감정평가사, 공인중개사,  ",정규직,5 ~ 10년,대학교(4년) 이상,서울 강남구,초우량 중견기업 부동산개발 및 또는 부동산관리 대리에서 과장,(주)서치브레인,채용시,2022-06-04
건설·건축,"
, 대기환경기사, 안전관리자, 환경관리자, 안전보건관리자,  ",정규직,4 ~ 10년,대학교(4년) 이상,서울 서초구,환경안전(대리~과장.경력4~10년)-유명상장유통서비스대기업,(주)블루스타에이치알,2022-07-10,2022-06-03
건설·건축,"
, 기계조작원, 생산관리, PSM, 기계설계, 석유화학,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,경기 평택시,[글로벌 반도체소재 외국계기업] Project Engineer,굿커리어,2022-07-10,2022-06-03
건설·건축,"
, 도시개발, 부동산개발, 정비사업,  ",정규직,5 ~ 13년,대학교(4년) 이상,서울 영등포구,[10대 그룹 1군 건설사] 정비사업 경력직 채용,(주)마이더스에이치알,채용시,2022-06-03
건설·건축,"
, 부동산투자, 부동산,  ",정규직,5 ~ 13년,대학교(4년) 이상,서울 영등포구,[1군 건설사] 전략사업팀 부동산 개발 경력직 채용,(주)마이더스에이치알,채용시,2022-06-03
건설·건축,"
, 시공관리자, QA, QC, CS, AS,  외            ",정규직,경력 15년 이상,"대학(2,3년) 이상",서울 영등포구,[대기업 그룹 코스피 상장 1군건설사] 품질팀장 채용,(주)마이더스에이치알,채용시,2022-06-03
건설·건축,"
, 도시개발, 부동산개발,  ",정규직,6 ~ 13년,대학교(4년) 이상,서울 영등포구,[10대 그룹 1군 건설사] 사업관리(리스크관리) 부문 채용,(주)마이더스에이치알,채용시,2022-06-03
건설·건축,"
, 공무, 현장관리자, 건설관리,  ",정규직,경력 10년 이상,"대학(2,3년) 이상",서울 영등포구,"[1군 건설사] 현장소장 채용 (물류센터, 지식산업센터, 리조트)",(주)마이더스에이치알,채용시,2022-06-03
건설·건축,"
, 토목설계, 토목건축, 토목공사,  ",정규직,경력무관,대학교(4년) 이상,서울 강남구,[경기분당/골프코스 디자인 전문] 골프장 설계 신입/경력 모집,(주)탑앤스카우트,2022-07-09,2022-06-09
건설·건축,"
, 기술영업, 영업관리, 영업지원, 영업직, 건설영업,  외            ",정규직,8 ~ 16년,대학교(4년) 이상,서울 강남구,[1군 종합건설기업] 물류센터개발 채용,온리원파트너스(주),2022-07-10,2022-06-03
건설·건축,"
, 도시개발, 부동산,  ",정규직,4 ~ 15년,대학교(4년) 이상,서울 금천구,[국내건설시행사] 부동산 개발업무(대리~부장급),(주)유니코써치,2022-06-25,2022-06-02
건설·건축,"
, 실내건축시공, CAD,  ",정규직,경력 6년 이상,대학교(4년) 이상,서울 서초구,F&B 시공감리 경력자 (대리-과장급),(주)조인스에이치알코리아,2022-06-13,2022-06-08
건설·건축,"
, 전기설비, 설비관리,  ",정규직,3 ~ 7년,대학교(4년) 이상,대전 대덕구,대기업 - [ 설비관리(전기) ] 3년이상 경력모집,주) 석세스코리아컨설팅,2022-06-16,2022-06-02
건설·건축,"
, 건축구조설계, 건축기사,  ",정규직,10 ~ 15년,대학교(4년) 이상,서울 서초구,"건축 구조설계 경력자 모집(건축자재 제조 전문기업 /과,차장급)",(주)라온서치,2022-06-15,2022-06-02
건설·건축,"
, 안전보건관리자, 위험성평가, 산업위생,  ",정규직,6 ~ 12년,대학교(4년) 이상,서울 서초구,소방방재/산업위생 담당자 모집( 반도체소자 제조대기업/대리급),(주)라온서치,2022-06-15,2022-06-02
건설·건축,"
, CM(건설사업관리), 건설관리,  ",정규직,경력 8년 이상,대학교(4년) 이상,경기 성남시 분당구,[ 대기업] LNG 사업개발 (과장-차장),파워에이치알,채용시,2022-05-31
건설·건축,"
, 시설관리,  ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,반도체 공정 엔지니어,그레이스앤파트너스(주),채용시,2022-06-02
건설·건축,"
, 시설관리, 자동제어, HVAC,  ",정규직,경력 2년 이상,"대학(2,3년) 이상",서울 강남구,제조공장 시설 유지보수 정규직,그레이스앤파트너스(주),채용시,2022-06-01
건설·건축,"
, 신재생에너지, 전기제어, 전기기사, 전기설비, 전기시공,  외            ",정규직,2 ~ 12년,"대학(2,3년) 이상",서울 서초구,발전소 전기 설비 운영 전기기사 채용 (안전관리자 )지방근무,인파트너스,2022-06-30,2022-05-31
건설·건축,"
, 임베디드, 로봇엔지니어, 자동제어, C++,  ",정규직,경력 2년 이상,대학교(4년) 이상,경기 군포시,[로봇자동화] 자동제어 시스템 개발(경력),(주)맨파워코리아,2022-07-07,2022-06-07
건설·건축,"
, 백엔드/서버개발, 웹개발, 프론트엔드, 알고리즘, 로봇엔지니어,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,경기 군포시,[로봇 자동화] 웹 개발(경력),(주)맨파워코리아,2022-07-07,2022-06-07
건설·건축,"
, 알고리즘, 로봇엔지니어, 알고리즘개발, 자동제어, 솔루션,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,경기 군포시,[로봇 자동화] 윈도우  프로그램 개발(경력),(주)맨파워코리아,2022-07-07,2022-06-07
건설·건축,"
, 알고리즘, 로봇엔지니어, 알고리즘개발, 자동제어, 솔루션,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,경기 군포시,[로봇 자동화] 응용 소프트웨어 개발(경력),(주)맨파워코리아,2022-07-07,2022-06-07
건설·건축,"
, 유해화학물질, 대기환경기사, 수질환경기사, 폐기물처리기사, 환경관리자,  외            ",정규직,5 ~ 15년,대학교(4년) 이상,서울 서초구,전자산업 소재 대기업 환경관리 전문가 채용(지방근무),인파트너스,2022-06-15,2022-05-31
건설·건축,"
, 총무, 시설관리, 자산관리, 경영지원, 영업MD,  외            ",정규직,8 ~ 15년,대학교(4년) 이상,서울 서초구,대형 복합 상업시설 부동산 관리팀장 채용,(주)헬로서치,2022-06-25,2022-06-01
