main,middle,type,career,education,region,title,company,deadline,notice
디자인,"
, 기계설계, 기구설계, 조선설계, CAD, CATIA,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,경기 수원시 영통구,[자동차부품사]자동차 전장품 S/W 설계(사원-과장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
디자인,"
, 기계설계, 기구설계, 조선설계, CAD, CATIA,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,경기 수원시 영통구,[자동차부품사]전기차부품 S/W설계(사원-과장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
디자인,"
, 기계설계, 기구설계, 조선설계, CAD, CATIA,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,경기 수원시 영통구,[자동차부품사]자동차 전장품 기능안전(주임-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
디자인,"
, 광고마케팅, 브랜드마케팅, 광고디자인, 그래픽디자인, 로고디자인,  외            ",정규직,1 ~ 15년,대학교(4년) 이상,서울 강남구,[2사/브랜딩- BI/BX/CI] 브랜드기획(컨설팅). 브랜드디자이너,(주)프로매치코리아,2022-06-24,2022-06-06
디자인,"
, 브랜드기획, 마케팅기획, 블로그마케팅, SNS마케팅, 콘텐츠기획,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,(급) 온라인 광고마케팅기획/AE -화장품/건기식제조&디지털대행,(주)프로매치코리아,2022-06-24,2022-06-06
디자인,"
, 문서작성, 통/번역, AE(광고기획자), CW(카피라이터), 영어,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,(신입/경력) 광고기획/AE(영어). 아트디렉터 -아시아권/디지털-,(주)프로매치코리아,2022-06-24,2022-06-06
디자인,"
, 브랜드기획, 마케팅기획, 블로그마케팅, SNS마케팅, 콘텐츠기획,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,(톱10) 온라인마케팅/퍼포먼스마케팅/AE-팀/협의. BX/BI/브랜딩.,(주)프로매치코리아,2022-06-24,2022-06-06
디자인,"
, SNS마케팅, 콘텐츠기획, 광고마케팅, 광고PD, 디지털마케팅,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,광고기획/AE. 퍼포먼스. 아트/카피/PD. 매체. 브랜딩. 전시기획,(주)프로매치코리아,2022-06-24,2022-06-06
디자인,"
, 행사기획, 이벤트프로모션, BTL, 건축디자인, 경관디자인,  외            ",정규직,7 ~ 16년,대학교(4년) 이상,서울 강남구,[대기업] 인테리어(주거/Interior). 익스테리어(공동주택),(주)프로매치코리아,2022-06-24,2022-06-06
디자인,"
, 그래픽디자인, 브랜드디자인,  ",정규직,경력 5년 이상,대학교(4년) 이상,서울 강남구,15. Communication Designer [ 대기업],베스트네트워크㈜,2022-07-07,2022-06-07
