main,middle,type,career,education,region,title,company,deadline,notice
모두,"
, 솔루션기술영업, 기술영업,  ",정규직,경력 3년 이상,대학교(4년) 이상,서울 마포구,중견 그룹사 IT전문기업 IT솔루션 기술영업,에이치피아이,2022-06-19,2022-05-20
모두,"
, 데이터분석가, 데이터마이닝, 데이터시각화, 머신러닝, AE(광고기획자),  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,[ 데이터 분석 담당자 2-7년 - 유명 미디어랩사 ],(주)피너클써치,2022-06-20,2022-06-08
모두,"
, 광고영업, 인플루언서, AE(광고기획자), 뉴미디어, 미디어플래너,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,[ 퍼포먼스마케터 2-7년 - 유명 미디어랩사 ],(주)피너클써치,2022-06-17,2022-06-08
모두,"
, AE(광고기획자), 미디어플래너, 마케팅기획, 마케팅전략, 광고마케팅,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,"[ 미디어 플래너 팀장, 팀원 - 유명 디지털 광고대행사]",(주)피너클써치,2022-06-20,2022-06-08
모두,"
, 광고영업, AE(광고기획자), 뉴미디어, 미디어플래너, 스토리텔링,  외            ",정규직,경력 1년 이상,대학교(4년) 이상,서울 강남구,"[미디어 플래너 팀장, 팀원 - 유명 미디어렙사 ]",(주)피너클써치,2022-06-13,2022-06-01
모두,"
, 영업마케팅, SNS, 병원마케팅, 마케팅기획, 마케팅전략,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,"[  퍼포먼스 마케팅 3-7년, 유명 미용 의료기]",(주)피너클써치,2022-06-17,2022-06-07
모두,"
, 기술영업, project,  ",정규직,8 ~ 16년,대학교(4년) 이상,서울 강남구,Project Manager (전자),㈜벤처피플,2022-07-10,2022-06-08
모두,"
, 마케팅기획, 광고마케팅, 글로벌마케팅, 기업홍보, 디지털마케팅,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 종로구,[ 언론홍보/ IMC / 디지털 PR - 1위 홍보대행사 ],(주)피너클써치,2022-06-13,2022-06-03
모두,"
, SNS, AE(광고기획자), 마케팅기획, 마케팅전략, 체험마케팅,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,"[퍼포먼스 마케팅 팀장, 팀원 - 유명 광고대행사]",(주)피너클써치,2022-06-13,2022-06-03
모두,"
, SNS, AE(광고기획자), 미디어플래너, 유튜브, CF광고,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,"[  IMC 마케팅, 경력 2-7년 - 유명 광고대행사 ]",(주)피너클써치,2022-06-20,2022-06-08
모두,"
, 소셜커머스, 오픈마켓, 이커머스, SNS, AE(광고기획자),  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,"[ 이커머스 캠페인 경력 2-12년, 유명 광고대행사 ]",(주)피너클써치,2022-06-17,2022-06-08
