main,middle,type,career,education,region,title,company,deadline,notice
상품기획·MD,"
, 영업마케팅, SNS, 병원마케팅, 마케팅기획, 마케팅전략,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,"[  퍼포먼스 마케팅 3-7년, 유명 미용 의료기]",(주)피너클써치,2022-06-17,2022-06-07
상품기획·MD,"
, SNS, AE(광고기획자), 마케팅기획, 마케팅전략, 체험마케팅,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,"[퍼포먼스 마케팅 팀장, 팀원 - 유명 광고대행사]",(주)피너클써치,2022-06-13,2022-06-03
상품기획·MD,"
, SNS, AE(광고기획자), 미디어플래너, 유튜브, CF광고,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,"[  IMC 마케팅, 경력 2-7년 - 유명 광고대행사 ]",(주)피너클써치,2022-06-20,2022-06-08
상품기획·MD,"
, 소셜커머스, 오픈마켓, 이커머스, SNS, AE(광고기획자),  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,"[ 이커머스 캠페인 경력 2-12년, 유명 광고대행사 ]",(주)피너클써치,2022-06-17,2022-06-08
상품기획·MD,"
, SNS, AE(광고기획자), 마케팅기획, 마케팅전략, 블로그마케팅,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 종로구,"[ 제약 헬스케어 PR  신입 및 경력직, 홍보대행사 ]",(주)피너클써치,2022-06-17,2022-06-09
상품기획·MD,"
, 온라인MD, 화장품, CS관리, SNS,  ",정규직,3 ~ 10년,"대학(2,3년) 이상",서울 금천구,[화장품 및 건식 중견 기업]   일본 온라인 MD,에이치알포유(주),2022-06-23,2022-06-07
상품기획·MD,"
, 식품연구, 가공식품, 건강기능식품, 브랜드런칭, 상품분석,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,가공 식품 상품개발 경력자-글로벌 식품 소비재 기업,(주)에이치알원 컨설팅,채용시,2022-06-07
상품기획·MD,"
, 해외시장개척, 해외영업, B2B, B2C, 해외영업관리,  외            ",정규직,경력 8년 이상,대학교(4년) 이상,서울 성동구,이커머스 해외사업 총괄-모바일 플랫폼 전문기업,(주)에이치알원 컨설팅,채용시,2022-06-07
상품기획·MD,"
, 영업관리, 판매직, 식품/음료판매, 가맹점관리, 가맹점영업,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 중구,가맹 영업관리 경력자-국내 대형 프랜차이즈 기업,(주)에이치알원 컨설팅,채용시,2022-06-06
상품기획·MD,"
, 쇼핑몰관리, 온라인영업, 온라인MD, 상품관리, 오픈마켓,  외            ",정규직,경력 4년 이상,대학교(4년) 이상,서울 강남구,온라인마케팅 경력자-생활용품 전문 중견기업,(주)에이치알원 컨설팅,채용시,2022-06-06
상품기획·MD,"
, 브랜드MD, 온라인MD, 유통MD, AMD, VMD,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 마포구,VMD 경력자-화장품&생활용품 신생기업,(주)에이치알원 컨설팅,채용시,2022-06-06
