main,middle,type,career,education,region,title,company,deadline,notice
생산,"
, 기계조작원, 설비OP, 기술엔지니어, 설계엔지니어, 기계설계,  외            ",정규직,6 ~ 12년,대학교(4년) 이상,경기 화성시,Global Gas Company-Machinery Engineer,(주)모건앤뱅스컨설팅,2022-06-16,2022-06-08
생산,"
, 기계설계, 기구설계, 조선설계, CAD, CATIA,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,경기 수원시 영통구,[자동차부품사]자동차 전장품 S/W 설계(사원-과장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
생산,"
, 석유화학, 화공약품, 제조, CAD, CAM,  ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 영등포구,[소화기제조사]가스계소화설비 개발(대리-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
생산,"
, 기계설계, 기구설계, 조선설계, CAD, CATIA,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,경기 수원시 영통구,[자동차부품사]전기차부품 S/W설계(사원-과장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
생산,"
, 안전보건관리자, PSM,  ",정규직,경력 8년 이상,"대학(2,3년) 이상",충북 보은군,[가스제조사]안전관리팀장(과장-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-01
생산,"
, QC, 품질분석, 품질관리,  ",정규직,경력 8년 이상,"대학(2,3년) 이상",충북 보은군,[가스제조사]품질관리팀장(과장-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-05-26
생산,"
, QC, 품질분석, 품질관리, 품질보증,  ",정규직,경력 8년 이상,"대학(2,3년) 이상",충북 보은군,[가스제조사]품질보증팀장(과장-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-05-26
생산,"
, 생산관리, 생산자동화, 제조, 공장장, 생산,  ",정규직,경력 8년 이상,"대학(2,3년) 이상",충북 보은군,[가스제조사]생산관리팀장(과장-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-05-26
생산,"
, 공정엔지니어, 기술엔지니어, 공정설계, 계장설계, 생산자동화,  외            ",정규직,경력 8년 이상,"대학(2,3년) 이상",충북 보은군,[가스제조사]공정기술팀장(과장-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-05-29
생산,"
, 기계설계, 기구설계, 조선설계, CAD, CATIA,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,경기 수원시 영통구,[자동차부품사]자동차 전장품 기능안전(주임-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
생산,"
, 생산관리, 생산, 공정관리, 공장장, 포장,  ",정규직,경력 4년 이상,대학교(4년) 이상,아시아·중동 일본,[일본철강기업]일본근무 생산관리담당(대리-과장급),(주)비에이블컨설팅그룹,2022-06-17,2022-05-27
생산,"
, 유해화학물질, PSM, 안전보건관리자, 가스기능사, 대기환경기사,  외            ",정규직,경력 4년 이상,"대학(2,3년) 이상",서울 마포구,환경안전 담당자-반도체 신규공장 외투기업,(주)에이치알원 컨설팅,채용시,2022-06-07
생산,"
, 품질관리,  ",정규직,5 ~ 15년,학력무관,서울 영등포구,[재생의학 제조업] 품질관리 (인체조직은행 유경험자우대),파워에이치알,채용시,2022-05-27
생산,"
, PSM, 안전관리자, 안전보건관리자, 위험성평가, 식품,  외            ",정규직,4 ~ 11년,대학교(4년) 이상,서울 강남구,우량 식품 대기업 전사 안전기획 담당,커리어커넥트(주),채용시,2022-06-06
생산,"
, S/W, 디스플레이, 반도체, C#, C++,  외            ",정규직,5 ~ 11년,대학교(4년) 이상,대전 대덕구,[외국계/대전연구소] 디스플레이장비 SW엔지니어,(주)휴먼서치,2022-06-16,2022-06-09
생산,"
, 기구설계, 일본어,  ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,[일본계 한국법인]  기구설계 (경력2년 이상/일본어가능자),(주)마이나비코리아,2022-07-10,2022-06-05
생산,"
, 기계조작원, 용접원, 공정엔지니어, 기술엔지니어, 설계엔지니어,  외            ",정규직,신입 · 경력,"대학(2,3년) 이상",충북 증평군,"[식품, 중소기업] 기계설비유지관리자 (사원~대리급)",(주)비에이블컨설팅그룹,2022-06-12,2022-06-08
생산,"
, 시설관리, 자산관리, 정비기사, 기계수리, 설비점검,  외            ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 중구,[대기업] 기계설비 (정규직),(주)비에이블컨설팅그룹,2022-06-12,2022-06-02
생산,"
, 시설관리, 자산관리, 기계수리, 전기설계, 자동제어,  외            ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 중구,[대기업] 전기설비 (정규직),(주)비에이블컨설팅그룹,2022-06-12,2022-06-02
생산,"
, 임상시험, 제약QA, RA, QA, QC,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,경북 영천시,[정규직/음성/경력별협의] 코스닥상장사 진단시약 QC 채용,(주)키스템프그룹,2022-06-17,2022-06-05
생산,"
, 딥러닝, 알고리즘, 영상처리, 이미지프로세싱, 임베디드,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,경기 안양시 동안구,[유명 디스플레이 솔루션 기업] 제어시스템 개발,굿커리어,2022-07-04,2022-06-04
생산,"
, 딥러닝, 알고리즘, 영상처리, 이미지프로세싱, 임베디드,  외            ",정규직,경력무관,대학교(4년) 이상,경기 안양시 동안구,[유명 디스플레이 솔루션 기업] 딥러닝AI 알고리즘 개발,굿커리어,2022-07-04,2022-06-04
생산,"
, R&D, 설계엔지니어, CAD, 자동차,  ",정규직,경력 7년 이상,대학교(4년) 이상,인천 계양구,[외국계 자동차 부품사] Application Engineer (과-차장급) 채용,(주)피너클써치,2022-07-10,2022-06-04
생산,"
, RA, 임상개발, 제약/바이오,  ",정규직,2 ~ 10년,대학교(4년) 이상,경기 성남시 분당구,중견 제약기업 해외등록팀원,커리어커넥트(주),2022-07-02,2022-06-02
생산,"
, 해외영업, 임상PM, 임상개발, 제약/바이오, 영업,  ",정규직,3 ~ 11년,대학교(4년) 이상,경기 성남시 분당구,헬스케어 전문기업 해외영업(중국 및 아시아 등),커리어커넥트(주),2022-07-02,2022-06-02
생산,"
, 해외영업, 임상PM, 임상개발, 제약/바이오, 영업,  ",정규직,3 ~ 11년,대학교(4년) 이상,경기 성남시 분당구,헬스케어 전문기업 해외영업(일본 및 아시아 등),커리어커넥트(주),2022-07-02,2022-06-02
생산,"
, 임상개발, 제약/바이오, 사업제휴,  ",정규직,2 ~ 10년,석사 이상,경기 성남시 분당구,중견 제약기업 오픈이노베이션팀원,커리어커넥트(주),2022-07-02,2022-06-02
생산,"
, 임상개발, 제약/바이오, 생명과학,  ",정규직,3 ~ 10년,대학교(4년) 이상,경기 성남시 분당구,중견 제약기업 PV/MI팀원,커리어커넥트(주),2022-07-02,2022-06-02
생산,"
, 임상개발, 제약/바이오, 생명과학,  ",정규직,1 ~ 10년,대학교(4년) 이상,경기 성남시 분당구,중견 제약기업 임상팀원(임상MW),커리어커넥트(주),2022-07-02,2022-06-02
생산,"
, 생명과학, 임상개발, 제약/바이오, 제약/바이오,  ",정규직,1 ~ 8년,대학교(4년) 이상,경기 성남시 분당구,중견 제약기업 개발팀원(RA업무 담당),커리어커넥트(주),2022-07-01,2022-06-01
생산,"
, 반도체설계, CVD, LCD, 디스플레이, 반도체,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,서울 서초구,Display 반도체 상품기획 (팀장급) - 반도체 대기업,(주)프로매치코리아,2022-06-28,2022-05-29
생산,"
, 정비기사, A/S기사, 기계조작원, 전기제어, 전기기사,  ",정규직,신입 · 경력,"대학(2,3년) 이상",경기 평택시,"평택.창원.부산.대구.사출기 AS 엔지니어 .전졸.,대졸 .",(주)블루스타에이치알,2022-07-10,2022-06-04
생산,"
, 생산관리, 공정엔지니어, 기술엔지니어, 생산기술, 공정관리,  ",정규직,신입,대학교(4년) 이상,경기 평택시,"평택외국기업.생산관리.산업경영학,경제학,통계학 신입",(주)블루스타에이치알,2022-07-10,2022-06-04
생산,"
, 기계조작원, 생산자동화, 전기기사, 전기설비,  ",정규직,신입,대학교(4년) 이상,경기 평택시,평택외국기업.생산기술엔지니어. 신입 .기계공학,(주)블루스타에이치알,2022-07-10,2022-06-04
생산,"
, 반도체, 제조, Verilog,  ",정규직,경력 3년 이상,석사 이상,서울 강남구,반도체 기업 서울.대리 DDI Logic Design engineer,(주)블루스타에이치알,2022-07-03,2022-06-03
생산,"
, 반도체, 제조,  ",정규직,경력 15년 이상,대학교(4년) 이상,서울 강남구,반도체 기업 서울.부장임원   Power Marketing Director,(주)블루스타에이치알,2022-07-03,2022-06-03
생산,"
, 반도체, 제조,  ",정규직,경력 5년 이상,대학교(4년) 이상,서울 강남구,반도체 기업 서울.대리과장   Display Product Marketer,(주)블루스타에이치알,2022-07-08,2022-06-08
생산,"
, 기계설계, 3D설계,  ",정규직,신입 · 경력,고졸 이상,충남 천안시 서북구,천안서북구.중소기업 .캐드.기계설계.부품설계. 경력자,(주)블루스타에이치알,2022-07-05,2022-06-05
생산,"
, 반도체, 제조,  ",정규직,경력 6년 이상,대학교(4년) 이상,서울 강남구,반도체 기업 서울.대리과장 Power Product Marketer,(주)블루스타에이치알,2022-07-03,2022-06-03
생산,"
, 조립, 생산, 제조,  ",정규직,신입 · 경력,학력무관,경기 평택시,"평택외국기업(정규직).고졸,전졸. 조립 오퍼레이터3명.",(주)블루스타에이치알,2022-06-30,2022-05-31
생산,"
, 구조해석/설계, 기계설계, 플랜트설계, 배관용접, 배관설계,  외            ",정규직,5 ~ 20년,대학교(4년) 이상,충남 천안시 서북구,기계설계/플랜트 기자재 설계,커리어앤컴퍼니,채용시,2022-05-31
생산,"
, 구조해석/설계, 기계설계, 플랜트설계, 배관용접, 배관설계,  외            ",정규직,5 ~ 20년,대학교(4년) 이상,충남 천안시 서북구,품질 / 플랜트 기자재,커리어앤컴퍼니,채용시,2022-06-03
생산,"
, 공정엔지니어, 공정관리, GMP, SOP,  ",정규직,1 ~ 5년,대학교(4년) 이상,서울 강남구,[2-3-K] 유망 외국계 제약IT기업 PM,(주)스카우트,2022-06-30,2022-06-04
생산,"
, 생산관리, SMPS, NC/CNC보링, 공정관리, 공무,  ",정규직,경력 3년 이상,"대학(2,3년) 이상",경기 평택시,평택외국기업.공무담당 전졸 대졸.경력3년이상,(주)블루스타에이치알,2022-07-03,2022-06-03
생산,"
, 기계설계, CATIA,  ",정규직,신입,대학교(4년) 이상,경기 평택시,평택외국기업.기계설계 신입 .기계전공. 3명,(주)블루스타에이치알,2022-07-05,2022-06-05
생산,"
, 기계조작원, 생산관리, PSM, 기계설계, 석유화학,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,경기 평택시,[글로벌 반도체소재 외국계기업] Project Engineer,굿커리어,2022-07-10,2022-06-04
생산,"
, 품질관리, 품질관리,  ",정규직,6 ~ 14년,대학교(4년) 이상,서울 송파구,[유명 가구회사]품질기획 경력직,(주)아데코코리아,2022-06-25,2022-06-04
생산,"
, 품질분석, 제조,  ",정규직,신입 · 경력,석사 이상,서울 강남구,[경기/원료의약품 전문기업] 분석팀 인원,(주)탑앤스카우트,2022-07-03,2022-06-03
생산,"
, 기술영업, 제약영업, 기업영업, 연구원, 생명과학,  외            ",정규직,경력 14년 이상,대학교(4년) 이상,인천 남동구,원료의약품 영업팀장 채용 (차~부장급),(주)피플케어코리아,2022-07-03,2022-06-03
생산,"
, 설계엔지니어, 금형설계, 기계설계, 기구설계, Creo(Pro-E),  ",정규직,3 ~ 8년,"대학(2,3년) 이상",서울 강북구,기구 설계 경력자 채용 (무선기기 제조업체),(주)피플케어코리아,2022-07-09,2022-06-09
생산,"
, 연구원, 제품설계,  ",정규직,3 ~ 8년,석사 이상,경기 화성시,대기업계열 수전해 공정 설계 경력자 채용 (석사 이상 ),(주)피플케어코리아,2022-07-01,2022-06-01
생산,"
, 계측기교정,  ",정규직,3 ~ 10년,"대학(2,3년) 이상",서울 강남구,[경기도 부천/KOLAS 교정기관] 계측기기검사원 경력직 채용,(주)탑앤스카우트,2022-07-10,2022-06-03
생산,"
, QC,  ",정규직,2 ~ 4년,"대학(2,3년) 이상",서울 금천구,[유망벤처기업] 하드웨어 QC 경력직 채용,휴먼인써치,채용시,2022-05-27
생산,"
, 미생물, 광학/렌즈, 제약/바이오, 상담원,  ",정규직,5 ~ 12년,대학교(4년) 이상,서울 금천구,[유망바이오벤처기업] 체외진단의료기기 고객지원 및 학술 담당,휴먼인써치,채용시,2022-05-27
생산,"
, QC, 품질관리,  ",정규직,경력 10년 이상,대학교(4년) 이상,서울 강남구,[유망바이오벤처기업] QC팀장 채용,휴먼인써치,채용시,2022-05-27
생산,"
, 생산관리, QA, QC, 공정관리, MES,  외            ",정규직,5 ~ 18년,"대학(2,3년) 이상",아시아·중동 말레이시아,말레이시아 품질/생산관리 주재원 각 1명 채용 (전자제품),(주)피플케어코리아,2022-07-05,2022-06-05
생산,"
, 금형설계, 사출금형, 프레스금형, NX(UG), 연마기,  외            ",정규직,5 ~ 15년,고졸 이상,경기 화성시,금형사상 및 금형설계 경력자  채용 (삼성1차),(주)피플케어코리아,2022-07-08,2022-06-08
생산,"
, 생산관리, 기계설계, 장비설계, 생산자동화, CAD,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 송파구,[자동화시스템 담당자] 인체이식용조직 전문 바이오기업,쓰리핸즈(3Handz),채용시,2022-06-03
생산,"
, 부품설계, 품질분석, 품질관리, 품질보증, 품질관리,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 서초구,"부품 품질/(자동차,중장비 분야 우대) - 모빌리티 대기업",(주)프로매치코리아,2022-06-23,2022-05-24
생산,"
, 품질분석, 품질관리, 품질보증, 생산관리, 자동차,  ",정규직,경력 3년 이상,대학교(4년) 이상,서울 서초구,"제품 품질/완성차(자동차, 오토바이) 우대 - 모빌리티 대기업",(주)프로매치코리아,2022-06-22,2022-05-23
생산,"
, 의료기기영업, 무역영어, 해외영업지원, 정비기사, A/S기사,  외            ",정규직,경력 3년 이상,"대학(2,3년) 이상",경기 안양시 동안구,[초음파 진단기 전문기업] 해외 서비스,커리어커넥트(주),채용시,2022-06-09
생산,"
, H/W, 의료기기연구, 전장설계, 회로설계, PCB,  외            ",정규직,경력 7년 이상,대학교(4년) 이상,경기 안양시 동안구,[초음파 진단기 전문기업] 초음파 진단기 HW 개발,커리어커넥트(주),채용시,2022-06-09
생산,"
, 펌웨어, FPGA, 의료기기연구, 전장설계, 회로설계,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,경기 안양시 동안구,[초음파 진단기 전문기업] 초음파 진단기 FW 개발 (FPGA 설계),커리어커넥트(주),채용시,2022-06-09
생산,"
, 기술엔지니어, 기계설계, 기구설계, 전기설계, 회로설계,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,경기 안양시 동안구,[초음파 진단기 전문기업] 초음파 치료기 HW 개발,커리어커넥트(주),채용시,2022-06-09
생산,"
, 인/허가, RA, QA, ISO13485, QMS,  외            ",정규직,경력 7년 이상,대학교(4년) 이상,경기 안양시 동안구,[초음파 진단기 전문기업] QA/RA,커리어커넥트(주),채용시,2022-06-09
생산,"
, 생산관리, ERP, 생산,  ",정규직,신입 · 경력,"대학(2,3년) 이상",경기 안양시 동안구,[냉온수기 전문기업] 생산 관리,커리어커넥트(주),채용시,2022-06-02
생산,"
, 금형설계, 사출금형, 사출성형, 프레스금형, 프레스,  외            ",정규직,2 ~ 6년,대학교(4년) 이상,경기 안양시 동안구,[냉온수기 전문기업] 기구 설계,커리어커넥트(주),채용시,2022-06-02
생산,"
, 임베디드, 펌웨어, FPGA, H/W, Verilog,  외            ",정규직,경력 8년 이상,대학교(4년) 이상,서울 강남구,[서울] RTL개발 엔지니어,위키에이드,2022-07-10,2022-06-03
생산,"
, 전장설계,  ",정규직,경력 4년 이상,대학교(4년) 이상,서울 서초구,"모빌리티 전장설계/(Zuken, UG NX 우대) - 모빌리티 대기업",(주)프로매치코리아,2022-06-29,2022-05-30
생산,"
, QA, QC, 품질관리, Haccp, 식품,  ",정규직,3 ~ 11년,대학교(4년) 이상,충북 음성군,유명 식품회사 생면공장 품질관리 대리 과장급,커리어커넥트(주),채용시,2022-06-03
생산,"
, 생산관리, QA, QC, 품질관리, 품질보증,  외            ",정규직,경력 5년 이상,"대학(2,3년) 이상",경기 화성시,"[화성] 품질보증, 품질관리 경력직",위키에이드,채용시,2022-05-27
생산,"
, QA, QC, 품질분석, 품질관리, 품질보증,  외            ",정규직,3 ~ 7년,대학교(4년) 이상,인천 서구,[의료기기 제조사] 생산관리 및 품질관리 과장급 채용,(주)코어피플,2022-07-10,2022-06-03
생산,"
, PCB, 반도체, LED, 반도체, 전기도금,  ",정규직,경력무관,대학교(4년) 이상,서울 강서구,[코스닥 상장사] 반도체 접합 장비 공정 개발 (경력 무관),(주)아데코코리아,2022-07-10,2022-06-03
생산,"
, 품질관리, 품질관리,  ",정규직,경력 7년 이상,대학교(4년) 이상,서울 강남구,외국계화학회사/Quality Manager/과장~차장,FORTISPTS Partners,채용시,2022-06-03
생산,"
, 원가관리, QA, QC, 섬유/의류, 바잉MD,  외            ",정규직,경력 2년 이상,"대학(2,3년) 이상",서울 강남구,글로벌 유망 패션기업 생산MD 채용,굿커리어,2022-06-30,2022-05-31
생산,"
, LCD, LED, 디스플레이, 반도체, PLC,  외            ",정규직,3 ~ 15년,"대학(2,3년) 이상",서울 서초구,PLC 제어 - 구미 근무 (대리-차장급),(주)조인스에이치알코리아,2022-06-13,2022-06-08
생산,"
, LCD, LED, 디스플레이, 반도체, PLC,  외            ",정규직,3 ~ 15년,"대학(2,3년) 이상",서울 서초구,PLC 제어 (대리-차장급),(주)조인스에이치알코리아,2022-06-13,2022-06-08
생산,"
, 전장설계, 제조, LCD, LED, 반도체,  외            ",정규직,3 ~ 10년,"대학(2,3년) 이상",서울 서초구,장비 전장설계 (대리-과장급),(주)조인스에이치알코리아,2022-06-13,2022-06-08
생산,"
, 임베디드, 펌웨어, 연구원, R&D, 전자파,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,광주 광산구,[유명 공공 연구기관] 의료용 내비게이션 SW 연구개발(박사),굿커리어,2022-07-10,2022-06-02
생산,"
, 공정엔지니어, 포장,  ",정규직,경력 3년 이상,대학교(4년) 이상,전북 김제시,외국계 식음료 관련 기업 포장엔지니어(대리 과장),(주)스탠튼체이스코리아,2022-07-10,2022-06-02
생산,"
, ERP, MES, 스마트팩토리,  ",정규직,경력 3년 이상,대학교(4년) 이상,전북 김제시,외국계 공장 IT엔지니어(~대리 과장),(주)스탠튼체이스코리아,2022-07-10,2022-06-02
생산,"
, 기술엔지니어, 반도체,  ",정규직,7 ~ 17년,대학교(4년) 이상,서울 마포구,외국계 배터리 칩셋 FAE( ~부장),(주)스탠튼체이스코리아,2022-07-10,2022-06-02
생산,"
, 연구원, 기술연구, QC, 제품설계, 부품설계,  외            ",정규직,경력 3년 이상,"대학(2,3년) 이상",서울 강남구,(상장사) FPCB 개발 PM(대리과장),터닝포인트HR,2022-06-19,2022-06-03
생산,"
, 제품설계, 기계설계, 기구설계, 판금, 반도체,  외            ",정규직,경력 5년 이상,"대학(2,3년) 이상",서울 강남구,[유명 의료기기 예비 유니콘 기업] 제품개발(개발/설계),굿커리어,2022-06-30,2022-05-31
생산,"
, 인/허가, 자산관리, 특허관리, 의약사무, R&D,  외            ",정규직,경력 4년 이상,"대학(2,3년) 이상",서울 송파구,[유명 우량 바이오기업] 의료기기 RA,굿커리어,2022-07-03,2022-06-03
생산,"
, 전장설계, 자동화설계, 장비설계, 반도체, CAD,  ",정규직,5 ~ 15년,"대학(2,3년) 이상",서울 강남구,[충북/코스닥상장2차전지자동화설비] 전장파트,(주)탑앤스카우트,2022-07-10,2022-06-02
생산,"
, 디스플레이, 반도체, 제조, S/W,  ",정규직,6 ~ 12년,대학교(4년) 이상,서울 서초구,비전 프로그램 선행개발 담당자 모집( LGD 검사장비 제조사/과장,(주)라온서치,2022-06-15,2022-06-02
생산,"
, 전기설비, 설비관리,  ",정규직,3 ~ 7년,대학교(4년) 이상,대전 대덕구,대기업 - [ 설비관리(전기) ] 3년이상 경력모집,주) 석세스코리아컨설팅,2022-06-16,2022-06-02
생산,"
, 임베디드, H/W, PCB, OrCAD, Pads,  외            ",정규직,경력 8년 이상,대학교(4년) 이상,서울 강남구,[서울] 고속회로 레이아웃 설계,위키에이드,2022-07-10,2022-06-02
생산,"
, 펌웨어, Altium, OrCAD, 제조,  ",정규직,4 ~ 12년,석사 이상,서울 서초구,회로 개발 경력자 모집 ( 웨어러블 로봇 제조 선두 기업 ),(주)라온서치,2022-06-15,2022-06-02
생산,"
, 안전보건관리자, 위험성평가, 산업위생,  ",정규직,6 ~ 12년,대학교(4년) 이상,서울 서초구,소방방재/산업위생 담당자 모집( 반도체소자 제조대기업/대리급),(주)라온서치,2022-06-15,2022-06-02
생산,"
, 설계엔지니어, 기계설계, 기구설계, 자동화설계, 장비설계,  외            ",정규직,경력 15년 이상,대학교(4년) 이상,서울 강남구,(상장사 계열) 자동화설비설계 임원급,터닝포인트HR,2022-07-10,2022-06-02
생산,"
, 생산관리, 생산, ERP,  ",정규직,5 ~ 10년,대학교(4년) 이상,경기 수원시 영통구,생산관리 팀장,(주)커리어케어,채용시,2022-06-02
생산,"
, 식품연구, 생산관리, QA, QC, Haccp,  외            ",정규직,신입,대학교(4년) 이상,서울 강남구,식품 품질관리 담당자 (신입 가능)-글로벌 청과 유통기업,(주)에이치알원 컨설팅,채용시,2022-06-02
생산,"
, 공정관리, 제조, Haccp, 식품,  ",정규직,5 ~ 12년,대학교(4년) 이상,서울 서초구,"당(糖) 정제 공정관리 경력자 채용 ( 식품 제조기업/대리,과장)",(주)라온서치,2022-06-15,2022-06-02
생산,"
, 품질관리, 품질보증, QC, 제약/바이오,  ",정규직,10 ~ 15년,대학교(4년) 이상,경기 하남시,"2. [바이오 벤처기업] 품질관리 (QC) 차장급, 경력 10년 ~ 15년",그레이스앤파트너스(주),2022-07-03,2022-06-03
생산,"
, 딥러닝, 알고리즘, 영상처리, 이미지프로세싱, 임베디드,  외            ",정규직,경력무관,대학교(4년) 이상,경기 안양시 동안구,[유명 디스플레이 솔루션 기업] 머신비전/PC제어 응용SW 개발,굿커리어,2022-07-04,2022-06-04
생산,"
, 전장설계, 회로설계, 기구설계, 반도체, Altium,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,서울 송파구,[유명 우량 바이오기업] 회로 및 전장설계 대리 과장급,굿커리어,2022-07-01,2022-06-01
생산,"
, 품질관리, 품질보증, QA, 제약/바이오,  ",정규직,10 ~ 15년,대학교(4년) 이상,경기 하남시,"2. [바이오 벤처기업] 품질보증 (QA) 차장급, 경력 10년 ~ 15년",그레이스앤파트너스(주),2022-07-03,2022-06-03
생산,"
, 제품설계, 기계설계, 기구설계, 장비설계, 2D설계,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,서울 성동구,"[글로벌 외국계 기업] Team Lead, Korea Engineering",굿커리어,2022-07-08,2022-06-08
생산,"
, 신재생에너지, 전기제어, 전기기사, 전기설비, 전기시공,  외            ",정규직,2 ~ 12년,"대학(2,3년) 이상",서울 서초구,발전소 전기 설비 운영 전기기사 채용 (안전관리자 )지방근무,인파트너스,2022-06-30,2022-05-31
생산,"
, 회로설계, 자동제어, 펌웨어, SMPS, 제조,  ",정규직,3 ~ 12년,대학교(4년) 이상,서울 서초구,X-레이 제조 코스닥 상장사 HW 엔지니어 채용,인파트너스,채용시,2022-05-27
