main,middle,type,career,education,region,title,company,deadline,notice
연구·R&D,"
, 광학설계,  ",정규직,경력 6년 이상,대학교(4년) 이상,경기 성남시 중원구,[광학부품제조사]광학설계 경력직(대리-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
연구·R&D,"
, 연구원, R&D, R&D기획, 기술연구, 반도체,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,경기 안산시 단원구,[화학약품제조사]연구개발(대리-부장급),(주)비에이블컨설팅그룹,2022-06-17,2022-06-02
연구·R&D,"
, 연구원, 가스기능사, 가스설비, R&D, 가스,  ",정규직,경력 8년 이상,대학교(4년) 이상,충북 보은군,[가스제조사]연구소/팀장(과장-차장급),(주)비에이블컨설팅그룹,2022-06-17,2022-05-26
연구·R&D,"
, R&D, R&D기획, 유기합성, 유해화학물질, 의약외품연구,  외            ",정규직,1 ~ 6년,대학교(4년) 이상,서울 강남구,유기합성 연구개발 경험자-일본 대기업 화학 한국법인,(주)에이치알원 컨설팅,채용시,2022-06-07
연구·R&D,"
, 연구원, R&D, R&D기획, 고분자, 기술연구,  외            ",정규직,경력 1년 이상,대학교(4년) 이상,서울 구로구,소재 연구개발 경험자-의류 소재 개발 전문기업,(주)에이치알원 컨설팅,채용시,2022-06-07
연구·R&D,"
, 유해화학물질, PSM, 안전보건관리자, 가스기능사, 대기환경기사,  외            ",정규직,경력 4년 이상,"대학(2,3년) 이상",서울 마포구,환경안전 담당자-반도체 신규공장 외투기업,(주)에이치알원 컨설팅,채용시,2022-06-07
연구·R&D,"
, 연구원, 의약외품연구,  ",정규직,7 ~ 15년,대학교(4년) 이상,서울 영등포구,[재생의학 제조업] 품질총괄(QA/QC) /해외인허가 총괄 (차부장),파워에이치알,채용시,2022-06-04
연구·R&D,"
, 식품연구, 가공식품, 건강기능식품, 브랜드런칭, 상품분석,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,가공 식품 상품개발 경력자-글로벌 식품 소비재 기업,(주)에이치알원 컨설팅,채용시,2022-06-07
연구·R&D,"
, 연구원, R&D, R&D기획, 기술연구, 의약외품연구,  외            ",정규직,경력 8년 이상,대학교(4년) 이상,서울 마포구,뷰티 연구개발 팀장급-화장품&생활건강 전문기업,(주)에이치알원 컨설팅,채용시,2022-06-06
연구·R&D,"
, S/W, 디스플레이, 반도체, C#, C++,  외            ",정규직,5 ~ 11년,대학교(4년) 이상,대전 대덕구,[외국계/대전연구소] 디스플레이장비 SW엔지니어,(주)휴먼서치,2022-06-16,2022-06-09
연구·R&D,"
, 기술사업화, 인/허가, R&D기획, 신재생에너지, 기술기획,  외            ",정규직,3 ~ 6년,대학교(4년) 이상,서울 종로구,사업개발 및 관리 경력자-글로벌 에너지그룹 지주사,(주)에이치알원 컨설팅,채용시,2022-06-05
연구·R&D,"
, AI(인공지능), R&D,  ",정규직,경력 7년 이상,박사,서울 강남구,[대기업] 제약연구소/ 연구기획( IT / AI ) (과장-부장급),(주)베스트에치알 (Best HR),2022-07-10,2022-06-05
연구·R&D,"
, 딥러닝, 알고리즘, 영상처리, 이미지프로세싱, 임베디드,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,경기 안양시 동안구,[유명 디스플레이 솔루션 기업] 제어시스템 개발,굿커리어,2022-07-04,2022-06-04
연구·R&D,"
, 딥러닝, 알고리즘, 영상처리, 이미지프로세싱, 임베디드,  외            ",정규직,경력무관,대학교(4년) 이상,경기 안양시 동안구,[유명 디스플레이 솔루션 기업] 딥러닝AI 알고리즘 개발,굿커리어,2022-07-04,2022-06-04
연구·R&D,"
, R&D, 설계엔지니어, CAD, 자동차,  ",정규직,경력 7년 이상,대학교(4년) 이상,인천 계양구,[외국계 자동차 부품사] Application Engineer (과-차장급) 채용,(주)피너클써치,2022-07-10,2022-06-04
연구·R&D,"
, 연구원,  ",정규직,경력 3년 이상,석사 이상,경기 성남시 중원구,중견바이오기업 의약품 연구개발,커리어커넥트(주),2022-07-03,2022-06-03
연구·R&D,"
, RA, 임상개발, 제약/바이오,  ",정규직,2 ~ 10년,대학교(4년) 이상,경기 성남시 분당구,중견 제약기업 해외등록팀원,커리어커넥트(주),2022-07-02,2022-06-02
연구·R&D,"
, 해외영업, 임상PM, 임상개발, 제약/바이오, 영업,  ",정규직,3 ~ 11년,대학교(4년) 이상,경기 성남시 분당구,헬스케어 전문기업 해외영업(중국 및 아시아 등),커리어커넥트(주),2022-07-02,2022-06-02
연구·R&D,"
, 해외영업, 임상PM, 임상개발, 제약/바이오, 영업,  ",정규직,3 ~ 11년,대학교(4년) 이상,경기 성남시 분당구,헬스케어 전문기업 해외영업(일본 및 아시아 등),커리어커넥트(주),2022-07-02,2022-06-02
연구·R&D,"
, 임상개발, 제약/바이오, 사업제휴,  ",정규직,2 ~ 10년,석사 이상,경기 성남시 분당구,중견 제약기업 오픈이노베이션팀원,커리어커넥트(주),2022-07-02,2022-06-02
연구·R&D,"
, 임상개발, 제약/바이오, 생명과학,  ",정규직,3 ~ 10년,대학교(4년) 이상,경기 성남시 분당구,중견 제약기업 PV/MI팀원,커리어커넥트(주),2022-07-02,2022-06-02
연구·R&D,"
, 임상개발, 제약/바이오, 생명과학,  ",정규직,1 ~ 10년,대학교(4년) 이상,경기 성남시 분당구,중견 제약기업 임상팀원(임상MW),커리어커넥트(주),2022-07-02,2022-06-02
연구·R&D,"
, 생명과학, 임상개발, 제약/바이오, 제약/바이오,  ",정규직,1 ~ 8년,대학교(4년) 이상,경기 성남시 분당구,중견 제약기업 개발팀원(RA업무 담당),커리어커넥트(주),2022-07-01,2022-06-01
연구·R&D,"
, 반도체설계, CVD, LCD, 디스플레이, 반도체,  외            ",정규직,경력 10년 이상,대학교(4년) 이상,서울 서초구,Display 반도체 상품기획 (팀장급) - 반도체 대기업,(주)프로매치코리아,2022-06-28,2022-05-29
연구·R&D,"
, 연구원, R&D, R&D기획, 기술연구, 세포실험,  외            ",정규직,2 ~ 15년,석사 이상,서울 구로구,바이오기업 치료제개발팀 연구원 및 책임연구원 채용,(주)파인에이치알,2022-07-10,2022-06-04
연구·R&D,"
, 의약외품연구, 제약/바이오, 제제연구, 제형연구,  ",정규직,경력 3년 이상,학력무관,서울 강남구,코스닥사 건강기능식품 및 의약원료 제제개발 대리에서 이사,(주)서치브레인,채용시,2022-06-04
연구·R&D,"
, 제약/바이오,  ",정규직,경력 10년 이상,대학교(4년) 이상,서울 중구,[헤드헌팅 공고-대기업 자회사] 제약생산관리 센터장 채용,(주)와이앤케이어소시에이트,2022-06-30,2022-06-04
연구·R&D,"
, 실험보조, 유기합성,  ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,[경기/원료의약품 전문기업] 합성연구보조원 채용,(주)탑앤스카우트,2022-07-03,2022-06-03
연구·R&D,"
, 기술영업, 제약영업, 기업영업, 연구원, 생명과학,  외            ",정규직,경력 14년 이상,대학교(4년) 이상,인천 남동구,원료의약품 영업팀장 채용 (차~부장급),(주)피플케어코리아,2022-07-03,2022-06-03
연구·R&D,"
, 생명과학, 제약/바이오, 연구원,  ",정규직,경력무관,석사 이상,경북 포항시 남구,분자생물학/FACS 연구원 채용,(주)피플케어코리아,2022-07-03,2022-06-03
연구·R&D,"
, 연구원, 생명과학, 유기합성, 의약외품연구, 제약/바이오,  ",정규직,경력무관,석사 이상,서울 강남구,[경기/원료의약품 전문업체] 합성연구소 인원 채용,(주)탑앤스카우트,2022-07-03,2022-06-03
연구·R&D,"
, 의료기기연구, 고분자, 연구지원, RCMS, 안전관리,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 송파구,[연구지원 담당자] 인체이식용조직 전문 바이오기업,쓰리핸즈(3Handz),채용시,2022-06-03
연구·R&D,"
, 생명과학, 제약/바이오, 연구원,  ",정규직,경력무관,박사,경북 포항시 남구,면역학/종양학 박사급 연구원 채용,(주)피플케어코리아,2022-07-09,2022-06-09
연구·R&D,"
, 임상시험,  ",정규직,경력 3년 이상,학력무관,서울 금천구,[유망벤처기업] 체외진단 시약(면역진단) 개발인력 채용,휴먼인써치,채용시,2022-05-27
연구·R&D,"
, RA, 생명과학, 임상시험, 제약/바이오,  ",정규직,경력 5년 이상,대학교(4년) 이상,경기 성남시 분당구,유망 바이오회사 RA 담당자 채용,(주)피플케어코리아,2022-07-03,2022-06-03
연구·R&D,"
, 연구원, 제품설계,  ",정규직,3 ~ 8년,석사 이상,경기 화성시,대기업계열 수전해 공정 설계 경력자 채용 (석사 이상 ),(주)피플케어코리아,2022-07-01,2022-06-01
연구·R&D,"
, 연구원, 신소재, 전극소재,  ",정규직,2 ~ 20년,대학교(4년) 이상,경기 화성시,대기업계열 수전해 전극소재 연구 경력자 채용,(주)피플케어코리아,2022-07-02,2022-06-02
연구·R&D,"
, 미생물, 의료기기연구, 생명과학,  ",정규직,경력 6년 이상,석사 이상,서울 금천구,[유망벤처기업] 미생물진단 체외진단의료기기 개발 인력 채용,휴먼인써치,채용시,2022-05-27
연구·R&D,"
, 기술연구, 의료기기연구, 임상개발,  ",정규직,경력 6년 이상,석사 이상,서울 금천구,[유망벤처기업] 체외진단 키트개발 팀장 채용,휴먼인써치,채용시,2022-05-27
연구·R&D,"
, 미생물, 광학/렌즈, 제약/바이오, 상담원,  ",정규직,5 ~ 12년,대학교(4년) 이상,서울 금천구,[유망바이오벤처기업] 체외진단의료기기 고객지원 및 학술 담당,휴먼인써치,채용시,2022-05-27
연구·R&D,"
, 미생물, 분자진단, 의약외품연구, R&D,  ",정규직,경력 7년 이상,박사,서울 금천구,[유망바이오벤처기업] 미생물 진단키트 연구개발 본부장 채용,휴먼인써치,채용시,2022-05-27
연구·R&D,"
, 생산관리, 기계설계, 장비설계, 생산자동화, CAD,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 송파구,[자동화시스템 담당자] 인체이식용조직 전문 바이오기업,쓰리핸즈(3Handz),채용시,2022-06-03
연구·R&D,"
, 딥러닝, 머신러닝, 영상처리, 컴퓨터비전, AI(인공지능),  외            ",정규직,3 ~ 15년,대학교(4년) 이상,경기 안양시 동안구,[초음파 진단기 전문기업] 의료기기 AI 개발,커리어커넥트(주),채용시,2022-06-09
연구·R&D,"
, API, Windows, C#, C++, MFC,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,경기 안양시 동안구,[초음파 진단기 전문기업] Software 개발,커리어커넥트(주),채용시,2022-06-09
연구·R&D,"
, 딥러닝, 머신러닝, 알고리즘, 영상처리, 이미지프로세싱,  외            ",정규직,경력 5년 이상,석사 이상,경기 안양시 동안구,[초음파 진단기 전문기업] 알고리즘 개발,커리어커넥트(주),채용시,2022-06-09
연구·R&D,"
, 영상처리, 이미지프로세싱, Matlab, Python, 초음파사,  외            ",정규직,3 ~ 15년,대학교(4년) 이상,경기 안양시 동안구,[초음파 진단기 전문기업] 영상 최적화,커리어커넥트(주),채용시,2022-06-09
연구·R&D,"
, H/W, 의료기기연구, 전장설계, 회로설계, PCB,  외            ",정규직,경력 7년 이상,대학교(4년) 이상,경기 안양시 동안구,[초음파 진단기 전문기업] 초음파 진단기 HW 개발,커리어커넥트(주),채용시,2022-06-09
연구·R&D,"
, 펌웨어, FPGA, 의료기기연구, 전장설계, 회로설계,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,경기 안양시 동안구,[초음파 진단기 전문기업] 초음파 진단기 FW 개발 (FPGA 설계),커리어커넥트(주),채용시,2022-06-09
연구·R&D,"
, 프론트엔드, C++, Javascript, MFC, Python,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,경기 안양시 동안구,[초음파 진단기 전문기업] 초음파 치료기 SW 개발,커리어커넥트(주),채용시,2022-06-09
연구·R&D,"
, RA, 제약/바이오, 약사, 임상시험, 임상시험,  ",정규직,5 ~ 11년,대학교(4년) 이상,경기 용인시 수지구,[바이오기업] 해외인허가 (대리~과장급),KY컨설팅그룹,채용시,2022-06-03
연구·R&D,"
, RA, 제약/바이오,  ",정규직,5 ~ 11년,대학교(4년) 이상,서울 서초구,[상장바이오기업] 백신 Regulatory Affairs(대리~과장급),KY컨설팅그룹,2022-07-10,2022-06-03
연구·R&D,"
, 미생물, 세포실험, 이화학시험,  ",정규직,3 ~ 6년,대학교(4년) 이상,경기 화성시,중견 제약회사 미생물 실험,커리어커넥트(주),채용시,2022-06-03
연구·R&D,"
, 반도체, 장비개발,  ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강서구,[업계 1위 유망 기업] 반도체 접합 장비 제어 설계,(주)아데코코리아,2022-07-10,2022-06-03
연구·R&D,"
, PCB, 반도체, LED, 반도체, 전기도금,  ",정규직,경력무관,대학교(4년) 이상,서울 강서구,[코스닥 상장사] 반도체 접합 장비 공정 개발 (경력 무관),(주)아데코코리아,2022-07-10,2022-06-03
연구·R&D,"
, 임베디드, 펌웨어, 연구원, R&D, 전자파,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,광주 광산구,[유명 공공 연구기관] 의료용 내비게이션 SW 연구개발(박사),굿커리어,2022-07-10,2022-06-02
연구·R&D,"
, 연구원, 기술연구, QC, 제품설계, 부품설계,  외            ",정규직,경력 3년 이상,"대학(2,3년) 이상",서울 강남구,(상장사) FPCB 개발 PM(대리과장),터닝포인트HR,2022-06-19,2022-06-03
연구·R&D,"
, 인/허가, 자산관리, 특허관리, 의약사무, R&D,  외            ",정규직,경력 4년 이상,"대학(2,3년) 이상",서울 송파구,[유명 우량 바이오기업] 의료기기 RA,굿커리어,2022-07-03,2022-06-03
연구·R&D,"
, 연구원, R&D,  ",정규직,3 ~ 15년,대학교(4년) 이상,서울 강남구,[우량 코스피 상장사] R&D연구소 연구개발,(주)커리어라이즈,채용시,2022-06-02
연구·R&D,"
, 제약QA, RA, GMP,  ",정규직,5 ~ 12년,대학교(4년) 이상,서울 서초구,"RA 담당자  채용( 세포 치료제 전문 기업, 대리, 과장급 )",(주)라온서치,2022-06-15,2022-06-02
연구·R&D,"
, R&D기획, R&D,  ",정규직,경력 4년 이상,대학교(4년) 이상,서울 강남구,[우량 코스피 상장사] R&D연구소 연구기획,(주)커리어라이즈,채용시,2022-06-02
