main,middle,type,career,education,region,title,company,deadline,notice
의료,"
, 약사, 제약QA, RA,  ",정규직,8 ~ 15년,대학교(4년) 이상,서울 강남구,[외국계 제약사] 약사 자격증 보유 QA (과-차장급),(주)맨파워그룹코리아,2022-07-10,2022-06-06
의료,"
, 임상시험,  ",정규직,경력 10년 이상,대학교(4년) 이상,서울 강남구,[제약 대기업] 글로벌 임상팀장(차장-부장급),(주)베스트에치알 (Best HR),2022-07-10,2022-06-05
의료,"
, 임상시험, 제약QA, RA, QA, QC,  외            ",정규직,경력 3년 이상,대학교(4년) 이상,경북 영천시,[정규직/음성/경력별협의] 코스닥상장사 진단시약 QC 채용,(주)키스템프그룹,2022-06-17,2022-06-05
의료,"
, CRA(임상연구원), 임상시험,  ",정규직,경력 2년 이상,대학교(4년) 이상,서울 마포구,[대기업] CRA 전문가(주임-차장급),(주)베스트에치알 (Best HR),2022-07-10,2022-06-05
의료,"
, RA, 임상개발, 제약/바이오,  ",정규직,2 ~ 10년,대학교(4년) 이상,경기 성남시 분당구,중견 제약기업 해외등록팀원,커리어커넥트(주),2022-07-02,2022-06-02
의료,"
, 위생사,  ",정규직,3 ~ 12년,"대학(2,3년) 이상",서울 서초구,위생사(경력4~8년)-상장유명서비스대기업,(주)블루스타에이치알,2022-07-10,2022-06-04
의료,"
, 제약QA,  ",정규직,경력 5년 이상,대학교(4년) 이상,경기 성남시 분당구,유망 바이오회사 CMC QA 채용,(주)피플케어코리아,채용시,2022-05-27
의료,"
, RA, 생명과학, 임상시험, 제약/바이오,  ",정규직,경력 5년 이상,대학교(4년) 이상,경기 성남시 분당구,유망 바이오회사 RA 담당자 채용,(주)피플케어코리아,2022-07-03,2022-06-03
의료,"
, 방사선사, 초음파사, 영업마케팅, 의료기기영업, 장비영업,  외            ",정규직,경력 3년 이상,"대학(2,3년) 이상",경기 안양시 동안구,[초음파 진단기 전문기업] 해외 임상,커리어커넥트(주),채용시,2022-06-09
의료,"
, 방사선사, 초음파사, 영업마케팅, 의료기기영업, 장비영업,  외            ",정규직,경력 3년 이상,"대학(2,3년) 이상",경기 안양시 동안구,[초음파 진단기 전문기업] 국내 임상,커리어커넥트(주),채용시,2022-06-09
의료,"
, API, Windows, C#, C++, MFC,  외            ",정규직,경력 5년 이상,대학교(4년) 이상,경기 안양시 동안구,[초음파 진단기 전문기업] Software 개발,커리어커넥트(주),채용시,2022-06-09
의료,"
, 영상처리, 이미지프로세싱, Matlab, Python, 초음파사,  외            ",정규직,3 ~ 15년,대학교(4년) 이상,경기 안양시 동안구,[초음파 진단기 전문기업] 영상 최적화,커리어커넥트(주),채용시,2022-06-09
의료,"
, 인/허가, RA, QA, ISO13485, QMS,  외            ",정규직,경력 7년 이상,대학교(4년) 이상,경기 안양시 동안구,[초음파 진단기 전문기업] QA/RA,커리어커넥트(주),채용시,2022-06-09
의료,"
, RA, 제약/바이오, 약사, 임상시험, 임상시험,  ",정규직,5 ~ 11년,대학교(4년) 이상,경기 용인시 수지구,[바이오기업] 해외인허가 (대리~과장급),KY컨설팅그룹,채용시,2022-06-03
의료,"
, RA, 제약/바이오,  ",정규직,5 ~ 11년,대학교(4년) 이상,서울 서초구,[상장바이오기업] 백신 Regulatory Affairs(대리~과장급),KY컨설팅그룹,2022-07-10,2022-06-03
의료,"
, 수의사, 동물병원,  ",정규직,경력 3년 이상,대학교(4년) 이상,서울 강남구,(외국계 식품대기업) 수의사,주식회사 화인크루파트너스,채용시,2022-06-02
의료,"
, 호흡기내과, 전문의, 내과, 마취통증의학과,  ",정규직,경력 2년 이상,석사 이상,서울 강남구,[유명상장사] Medical Affairs 경력채용,(주)핀커스코리아,2022-06-12,2022-05-28
의료,"
, 의사, 전문의, 영상의학과,  ",정규직,경력 5년 이상,대학교(4년) 이상,서울 강남구,[헬스케어 상장사] 영상의학과 전문의 채용,(주)핀커스코리아,2022-06-18,2022-06-05
의료,"
, 인/허가, 자산관리, 특허관리, 의약사무, R&D,  외            ",정규직,경력 4년 이상,"대학(2,3년) 이상",서울 송파구,[유명 우량 바이오기업] 의료기기 RA,굿커리어,2022-07-03,2022-06-03
의료,"
, 제약QA, RA, GMP,  ",정규직,5 ~ 12년,대학교(4년) 이상,서울 서초구,"RA 담당자  채용( 세포 치료제 전문 기업, 대리, 과장급 )",(주)라온서치,2022-06-15,2022-06-02
의료,"
, 약사, 제약/바이오, 관리약사, 수입관리약사, 제조약사,  외            ",정규직,신입 · 경력,대학교(4년) 이상,서울 마포구,수입관리 약사 (신입가능)-그룹 계열 상장 제약사,(주)에이치알원 컨설팅,채용시,2022-06-02
의료,"
, RA,  ",정규직,경력 5년 이상,대학교(4년) 이상,서울 중구,1. 국내 Top 임상시험수탁기관 (CRO) - RA(Regulatory Affairs),그레이스앤파트너스(주),2022-07-10,2022-06-02
의료,"
, 인/허가, 제약QA, RA, 임상개발,  ",정규직,3 ~ 12년,대학교(4년) 이상,서울 강남구,1. [바이오 제약사]해외 RA / 경력 3년 ~ 12년,그레이스앤파트너스(주),채용시,2022-06-03
의료,"
, RA,  ",정규직,3 ~ 7년,대학교(4년) 이상,서울 강남구,1. [코스피 상장 중견 제약사] RA (Regulatory Affairs) 3~7년,그레이스앤파트너스(주),2022-07-09,2022-06-09
의료,"
, 약사, 제약QA, RA, 임상개발,  ",정규직,경력무관,대학교(4년) 이상,서울 중구,1. (대형 바이오 및 중견제약사) 약사 / 각 부문별 채용,그레이스앤파트너스(주),채용시,2022-06-01
의료,"
, 제약QA, GMP, 밸리데이션,  ",정규직,5 ~ 12년,대학교(4년) 이상,서울 서초구,세포치료제 품질관리 경력자모집(세포치료제 전문 기업/파트장급,(주)라온서치,2022-06-15,2022-06-02
의료,"
, 인/허가, RA,  ",정규직,2 ~ 10년,대학교(4년) 이상,서울 서초구,X-레이 제조 코스닥 상장사  의료기기 RA 인허가 경력 채용,인파트너스,채용시,2022-05-26
의료,"
, 치과병원, 영업관리, 제약영업, 해외영업, 해외영업관리,  외            ",정규직,8 ~ 20년,대학교(4년) 이상,서울 서초구,덴탈 의료제품 전문기업 미국지사장 채용,인파트너스,2022-06-18,2022-06-03
의료,"
, 제약QA, RA, 간호사,  ",정규직,신입 · 경력,대학교(4년) 이상,서울 강남구,"의약기기 및 진단시약 대표 헬스케어기업, 총 7개 포지션",위너스켐,2022-06-25,2022-06-01
의료,"
, 인/허가, RA,  ",정규직,경력 8년 이상,대학교(4년) 이상,서울 금천구,[국내바이오기업] 인허가(RA) 팀장 채용,휴먼인써치,2022-07-10,2022-06-01
의료,"
, 제약QA, 제약/바이오, 생산관리, QA, QC,  외            ",정규직,2 ~ 8년,"대학(2,3년) 이상",서울 강남구,[우량기업] 의료기기(HA필러) 품질보증(QA) 2년 이상,(주)핀커스코리아,2022-07-02,2022-06-02
의료,"
, 의사, 전문의, 임상시험, 마취통증의학과, 영상의학과,  외            ",정규직,경력 2년 이상,대학교(4년) 이상,서울 강남구,[헬스케어 상장사] 분야별 전문의(MD) 초빙,(주)핀커스코리아,채용시,2022-05-27
의료,"
, CRA(임상연구원), RA, 임상PM, CRA(임상연구원), 의료기기연구,  외            ",정규직,1 ~ 10년,대학교(4년) 이상,서울 강남구,[상장기업] 해외 Clinical Research Associate (CRA),(주)핀커스코리아,2022-06-17,2022-06-05
