expert,skills
prokim98**,경영전략/신사업
prokim98**,재무/투자
prokim98**,마케팅
hyunsoo03**,빅데이터/AI
hyunsoo03**,PM
hyunsoo03**,서버개발/앱개발
hyunsoo03**,교육
hyunsoo03**,온라인마케팅
kyungho6**,경영전략/관리
kyungho6**,재무/회계/자금
gshan**,경영전략/관리
gshan**,M&A/PMI
gshan**,투자/IPO
gshan**,신규사업/BD
gshan**,원가관리
yjm64**,경영전략/신사업
yjm64**,마케팅전략/브랜딩
yjm64**,인사
yjm64**,원가관리
cover**,마케팅
cover**,경영전략/신사업
cover**,영업/구매/유통
cover**,제품/공간디자인
cover**,투자/IPO
yojes**,마케팅
yojes**,경영전략/신사업
yojes**,법무/대정부
yojes**,인사
yojes**,PM
keanhw**,마케팅
keanhw**,경영전략/신사업
keanhw**,영업/구매/유통
luck8ro**,IT
luck8ro**,경영전략/신사업
luck8ro**,영업/구매/유통
luck8ro**,마케팅
luck8ro**,엔지니어링
hcs**,경영전략/신사업
hcs**,엔지니어링
talentpr**,인사/총무
talentpr**,재무/투자
talentpr**,경영전략/신사업
jipark21**,엔지니어링
ssbaik**,신규사업/BD
ssbaik**,마케팅전략/브랜딩
ssbaik**,상품기획
ssbaik**,B2B영업
ssbaik**,B2C영업
lordjung**,경영전략/신사업
lordjung**,마케팅
lordjung**,영업/구매/유통
lgspri**,재무/투자
tsyoo**,마케팅
tsyoo**,경영전략/신사업
sleepre20**,마케팅
patrickhwa**,재무/투자
patrickhwa**,경영전략/신사업
patrickhwa**,인사/총무
dormir**,경영전략/신사업
dormir**,영업/구매/유통
dormir**,마케팅
dormir**,정부지원사업
edusd11**,경영전략/신사업
edusd11**,영업/구매/유통
edusd11**,마케팅
yj16**,경영전략/신사업
yj16**,재무/투자
goldbra**,경영전략/신사업
goldbra**,영업/구매/유통
goldbra**,마케팅
mksbu**,신규사업/BD
mksbu**,경영전략/관리
mksbu**,연구개발/설계
mksbu**,상품기획
mksbu**,PM
htjeong**,엔지니어링
jinon14**,영업/구매/유통
jinon14**,경영전략/신사업
amatorch**,인사/총무
sung7**,제안서/편집디자인
sung7**,광고/영상디자인
sung7**,마케팅전략/브랜딩
shn**,IT
shn**,경영전략/신사업
pmd79**,경영전략/신사업
Kura**,영업/구매/유통
Kura**,경영전략/신사업
Kura**,마케팅
dhko55**,경영전략/신사업
dhko55**,IT
maykin**,엔지니어링
maykin**,물류/유통
maykin**,B2B영업
maykin**,M&A/PMI
maykin**,B2C영업
