main,title,period,duration of work,workplace,type,tag,expert,url
전문가,공유 오피스 운영 및 마케팅 전문가 모집의 건,7/1/2022, 6개월 이내,회사 (경기도  부천시),"대면, 주 1~2회 (협의후 결정)","공유오피스, 부동산, 임대",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7834
경영전략/신사업,블록체인 및 web3.0 사업전략 컨설팅 전문가 채용건,6/27/2022, 6개월 이내,회사 (서울특별시  강남구),상근 근무,"블록체인, 사업기획, 사업전략, 플랫폼, 플랫폼서비스, 웹3.0, it사업컨설팅, it","신규사업/BD, 경영전략/관리, 경영혁신/PI, PM, 서비스기획 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7871
IT,쇼핑몰 구축 및 ERP 연동 시스템 구축 전문가 모집 건 ,6/27/2022, 3개월 이내,자택,재택근무,"온라인쇼핑몰, 모바일쇼핑몰, 개발, 온라인쇼핑몰구축, 플랫폼구축","PM, 서비스기획, 서버개발/앱개발, GUI (UI/UX), 빅데이터/AI 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7843
Other,"종합건설사의 현장소장, 안전관리 전문가 모집",6/30/2022, 6개월 이상,협의/기타,협의,"건설회사, 현장소장, 안전관리, 건설현장관리, 해외건설현장관리",건설회사외 4개태그,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7899
엔지니어링,"전기차 개발(설계 포함) 관련하여 조언, 제안, 교육 등 전반 자문 전문가 모집",6/30/2022, 6개월 이내,협의/기타,협의,"전기차개발, 전기차교육, 전기차설계, 전기자동차, 파웨트레인, 배터리, 전장설계",연구개발/설계 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7898
엔지니어링,의류 인터넷 쇼핑몰 운영 업체의 ASP 기반 온라인 쇼핑몰 개발 및 유지 보수 전문가 모집,6/20/2022, 6개월 이내,회사 (경기도  용인시 기흥구),"대면, 주 1~2회 (협의후 결정)","인터넷쇼핑몰, 의류판매, 온라인몰, asp, 검색","6명의 전문가님, 서버개발/앱개발, PM, 시스템엔지니어, 서비스기획 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7868
영업/구매/유통,영상분석 솔루션 해외(미국)홍보 및 파트너쉽 구축,7/1/2022, 6개월 이상,협의/기타,협의,"영상솔루션, 미국사업진출, 미국, 영상분석","2명의 전문가님, B2B영업, 해외영업/무역, 신규사업/BD 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7892
경영전략/신사업,투자유치를 위한 IR 자료 작성 ,6/27/2022, 3개월 이내,협의/기타,재택 및 대면 ,"경영기획, ir자료작성, 기업투자유치, 투자유치제안서, 기업ir, ir전략수립, 사업계획서","8명의 전문가님,경영기획외 6개태그",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7884
엔지니어링,종합건설사 전문 Advisory,6/20/2022, 3개월 이내,회사 (서울특별시  강남구),오전 9시 ~ 오후 6시30분 상주 근무,"건설사경영관리, 건설프로젝트관리, 건축설계기획, 종합건설, 건설하도급, 건설사업관리, 건설사업개발, 사업타당성조사",연구개발/설계 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7813
재무/투자,신규사업(온라인 극장관) 전개를 위한 초기 투자유치,6/27/2022, 6개월 이내,협의/기타,협의가능 (주 1 ~ 2회 On-site 미팅),"벤처투자유치, 스타트업투자, 투자유치제안서, 시드투자, 투자유치",투자/IPO 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7849
