data_url,data_title_,data_name_,data_field_,data_tag_,data_fieldbody_,data_pay_
https://www.talentbank.co.kr/common/expertView?userSeq=1572,"신규사업성검토,사업계획기획및 전략수립,종합경영진단,경영평가,코스탁기업등록 위한 자금조달등",prokim98**,"경영전략/신사업, 재무/투자, 마케팅","경영진단, 경영전략, 재무, 자금조달, 사업성검토수립, 회계, 시장조사분석, 정부연구개발활용자문, 코스탁등록종합자문, 경영관련교육및사외이사, 감사, 디자인경영및정부디자인혁신, 자금활용자문, 벤처창업기업종합자문, 엔젤투자"," 소비자가 원하면 현재 기업상태 경영종합진단후 중,장기 전략수립과 대안 제시 해드립니다. 정부지원 연구개발비 활용수요가 있을경우 현재 경영평가,심사위원으로 맞춤형 코칭해 줍니다. 투자유치가 필요할경우 경영진단후  은행,증권,창투,개인통한 맞춤형태로 자금 조달해 줍니다. 회계,자금,원가,경영관리부문 삼일회계법인에서  13년 경험으로 경영 자문해 줍니다. 디자인벤처 256개 평가 및 컨설팅 경험으로 자문해 줍니다.","1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=1605,인공지능스마트팩토리구축 / 정보체계구축 / 정보보안전문가/정보통신강의등 실무를겸비한 전문가,hyunsoo03**,"빅데이터/AI, PM, 서버개발/앱개발, 교육, 온라인마케팅","it시스템개발, 4차산업기술, 스마트팩토리, it정보보호, 개인정보보호컨설팅, 블록체인, 정책과제수행, 정보화전략, 인공지능, 프로젝트매니저, 프로세스컨설팅, 교육산업","ㅇ 본인은 4차산업기술인 블록체인/클라우드/IoT/빅데이터/인공지능/전자상거래 등의 기술력과  AI기반스마트팩토리 구축 컨설팅과 정보통신분야 강의, B2B영업능력 등을 보유한  ICT분야 전문가임 ㅇ 시스템 개발  및 프로젝트 관리 사원 교육     초급개발자들의 능력을 향상시키기 위하여 컴퓨터 운영에 필요한 시스템 프      로그램밍, 국제표준인 UML문서화 방법, 프로그래밍 언어 및 프로젝트관리     방법 등을 교육하여  회사에서 필요로하는 맞춤형 고급자원으로 양성 * 본인은 다년간(9년차) 대학교 등 교육기관에서 SW공학, 컴퓨터보안, 블록체   인/인공지능/클라우드/전자상거래 등 4차산업기술, 웹프로그래밍, 통신프로   토콜 등을 강의함으로 4차산업기술의 전문가임ㅇ 보안인증 신기술개발 프레임워크 연구과제 추진      현재운용하고 있는 시스템은 정보보안에서 인증체계분야로서,      블록체인검증기반 패스워드 없는 인증제품을 개발 출시된 제품으로      본시스템을 기반으로 스마트컨트랙트가 포함된 프레임워크 개발사업을 국      책과제로  추진중임   * 본인은 AI기반 의료정보체계 분석프레임워크  연구개발연구원(3년)의 경력      과 ISMS P 등 정보보안에 대한 다년간의 강의,  ISO27001심사위원, 그리고      국방분야에서 시스템 개발관리의 경험을 기반으로 이더리움과 같은 우리나     라 스마트컨트랙트 개발을 추진하고 있음ㅇ B2B 영업관리     KOTRA 및 중소기업기술정보진흥원에서 주관하는 해외사업 B2B사업에 참    여하여 현재 프랑스, 러시아, 인도네시아, 중국 등과 기업및 제품 매치작업    진행중임   * 현재 본인은 블록체인 기반 정보보호기술(패스워드없는 인증제품)을 정확      하게 해외에 소개할수 있는  B2B 영업의 장점을 활용하여 큰 성과를 내는     경력보유ㅇ  인공지능 의료정보체계 프레임연구원, 정보체계ISP,  국방정보시스템개발","1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=1615,"기획, 전략, 경영관리 및 재무회계,관리회계 직종의 프로",kyungho6**,"경영전략/관리, 재무/회계/자금","경영기획, 회계세무, 신사업타당성, 원가관리, 사업계획, 일반관리","1) 회계,재무,관리회계 부문  ERP 시스템 도입 (오라클 및 Uni ERP)을 통한 전사적 자원관리화 실현  제조원가계산 및 건설원가계산, 엔지니어링 용역원가계산의    프로세스 정립 및 실행을 통한 적정원가관리 정착  → 월차결산을 통한 관리회계 실현  수출원가에 대한 가이드라인 제시로 입찰경쟁력 강화  → 내부 공헌이익 극대화  법인회계결산, 연결회계결산 및 결산세무조정  회계감사 및 국세,지방세 세무조사 등 다수의 감사,조사 수검  → 대관 대응력 강화  회사채 발행 및 단,중기 회전대 한도 확대 및 차입금리 최소화  → 자금유동성 위기 대응  주식시장 상장을 위한 기업 IPO 추진 2) 경영기획관리부문  단기/중기/장기 사업전략 및 사업계획 수립 및 통제, 진도관리,   경영지표 분석을 통한 안정적 수익관리 수행  사업전략 수립 및 사업부문간 업무조정 등 Controller역할  사업부문 진단을 통한 핵심사업부문과 비핵심사업부문 구분하여  사업구조조정 수행 → 건전성 추진  임원 KPI 및 부서별 성과지표 수립을 통한 MBO 관리체제 정착  신규사업 타당성 검토후 M&A하여 계열법인과의 합병 및 증자,   법인분할/폐업 등 관련업무 수행  신규 공장설립 및 사업화 추진조직 구성 및 실행  해외법인 설립 및 운영안 수립 → 대만  인원합리화를 통한 인사조직 재구조화 수행  → 인력진단, 고과제도, 상벌제도 시행 등3) 생산운영 및 환경안전, 부적합 품질관리, 고객사 VOC 등  공장 신축 lay out 및 생산라인 재배치   자동화설비 수입을 위한 TFT 활동  PC생산제품 물량배분 및 공장별 생산제품 전문화 시행  생산실적 자동화 및 영상출하시스템 개발을 통한 생산공장   자동화시스템 도입  생산제품 출하 등 고객사 납기대응 및 VOC 관리 → 기업이미지 향상  협력업체 평가관리시스템 정착 → 불법파견, 위장도급 예방  공장/현장 안전패트롤 강화 → 무재해 실현","1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=1618,경영 전략 및 기업 운영 자문,gshan**,"경영전략/관리, M&A/PMI, 투자/IPO, 신규사업/BD, 원가관리","투자유치, 회사운영, 경영전략, 사업분석, 비지니스문서, 경영관리, ipo, m&a","경영운영, 관리 자문지분구조, 자본증자, 투자유치 관련 자문IPO, IR, M&A 자문사업타당성 분석","1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=1671,경영전반자문 및 경영전략,yjm64**,"경영전략/신사업, 마케팅전략/브랜딩, 인사, 원가관리","화학관련, 제조업, 대표이사, 경영전략, 전략, 사업기획, 전략기획, 경영, 기획, 마케팅전략, 컨설팅, 인사",국내에서 경영전략 및 전반에 대해 필요한 자문을 드릴 수 있습니다.,"1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=1690,"패션 상품 및 브랜드 기획자(MD), 액셀러레이터",cover**,"마케팅, 경영전략/신사업, 영업/구매/유통, 제품/공간디자인, 투자/IPO","패션, 브랜드, 상품기획, 비즈니스모델, 사업계획서, 투자유치, 마케팅, 사업기획, 스타트업, 의류, 섬유, 디자인, md, 머천다이저, 창업","패션 대기업 20년 경력의 상품기획자로 국내외 신규 브랜드 런칭(국내 2개, 중국 2개) 및 브랜드 총괄 사업부장으로 근무했습니다.20년간 다수의 사내 프로젝트(전사 ERP구축 프로젝트 外)에 참여함으로써 프로젝트 기반 업무수행 경험을 가지고 있습니다.지금은 경영지도사 및 액셀러레이터의 파트너로써 초기 스타트업의 성장을 위해 비즈니스 모델, 사업계획서 및 마케팅 실무에 대한 교육, 멘토링 등을 지원하고 있습니다.","1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=1505,광고/홍보/마케팅/기업문화/대외협력 ,yojes**,"마케팅, 경영전략/신사업, 법무/대정부, 인사, PM","소비자마케팅, 기업문화, 대외협력, 광고/홍보, 시장트렌드분석, 신사업개발, 수익모델구축, 온앤오프크로스오버, 조직관리/혁신/리빌딩, 방송사업자문, businesscoaching, 전략과제코칭, 경영전반자문, 브랜딩전략, 이미지컨설팅",1. 소비자마케팅 전략 솔루션 제공(광고/홍보/마케팅 경력 20년 이상)2. 대내외 기업문화 개선(PR/CSV)3. 네트워킹 통한 대외협력 제공(정부/기관/대기업 등)4. ICT 이해도 탁월하여 온앤오프 전략 협의 가능5. 시장 트렌드 리딩/인사이트 능력 우수,"1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=1522,온라인 마케팅의 강자,keanhw**,"마케팅, 경영전략/신사업, 영업/구매/유통","마케팅, 식품, 농산품, sns, 온라인, 페북마케팅, 마케팅전략, 신상품, 패키지, 디자인, 브랜딩, 브랜드, 영업, 유통","브랜드 광고 마케팅을 10년 이상 담당자, 책임자 역할을 수행한 경험이 있고 최근까지 온라인 마케팅에 대해 많은 경험을 가지고 있습니다.신상품을 개발하고 마케팅 런칭한 경험이 많고, 특히 식품분야에 경험을 가지고 있습니다.","1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=1530,"ICT 기술영업, 컨설팅, 사업기획 전문가",luck8ro**,"IT, 경영전략/신사업, 영업/구매/유통, 마케팅, 엔지니어링","ict, NI, 기술영업, 솔루션영업, 시스템설계, 시스템구축, 컨설팅, 아웃소싱, 벤더관리, 프로젝트관리, iot, SOLUTION, 솔루션, project, 사업관리","ICT/Solution을 기반으로 하는 SI 분야에서 30년 기술/영업/컨설팅 경력으로 기업정보시스템 및 다양한 Solution에 대한 폭넓은 자문이 가능합니다.예1) Cisco Network/UC Solution/Mobility/Security/IoT 등           NMS, 네트워크성능분석, Security, IoT, NFC, Collaboration(협업도구) 등 다양한 솔루션에 대한 대안제시예2) Solution에 대한 컨설팅기반의 기술영업 경력으로 솔루션도입컨설팅, 제안서작성 및 수주, 수주이후 프로젝트관리까지           인천국제공항 데이타통신시스템 수주/구축등 대규모 SI 프로젝트 기술영업 및 PM경력","1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=1538,연구개발 및 사업 기획 및 사업화,hcs**,"경영전략/신사업, 엔지니어링","자동차, 신제품, 연구개발, 사업기획, 사업화, 프로세스, 친환경에너지, 수소연료전지, 수소전기차, 사업검토, 기술개발검토, 신사업, 경영전략","전공분야는 소음진동 및 미소열공학을 전공하였으며, 열유체 및 신재생에너지 관련한 부문을 부전공으로 학위를 보유하고 있습니다.자동차용 배기시스템 설계/해석 및 시험평가 업무를 현업으로 20년동안 수행하였으며, 소음진동 및 열유체, 신호처리, 금속 및 비철재료등 자동차에서 요구되는 기계역학 및 재료 관련한 지식을 보유하고 있으며, 금속 및 폴리머 재료, 메탈금형 및 플라스틱금형, 자동용접 및 조립, 공정검토 등 생산기술적인 부문에도 상당한 수준의 지식과 겸험을 보유하고 있습니다. 설계및 시험평가 설비구축등 연구소 셋업과 조직구성 등의 경험이 있으며, 해외 연구법인 설립 및 운영등의 경험도 있습니다.신제품 연구개발 및 사업에 대하여 기획에서부터 사업화까지 수차례 직접 현업 및 관리 경험을 보유하고 있습니다.수소전기차 주요 핵심부품 연구개발 기획부터 제품개발 및 사업화 개발가지 수행하여 현재 사업화 진행되어 양산중에 있으며, 자동차용 센서 국산화 사업기획 및 시장검토를 거쳐 제품개발 및 CV, DV, PV 등 글로벌 표준 프로세스를 거치면서 신뢰성검증 완료하여 자동화 생산라인 구축하고 생산 진행중에 있습니다.전장사업 기획 및 인프라 구축을 검토하면서 센서전문 중소기업을 M&A 하여 4년만에 3배의 매출로 성장시키고 추가적으로 시너지를 높일 수 있는 미래성장 품목을 추가하면서 가치를 극대화하여 IPO 추진 진행중에 있으며, 그 외 다수의 사업검토 및 연구개발 검토를 수행하여 다양한 형태의 잇슈에 대한 경험과 노하우를 보유하고 있습니다.사업과 시장을 바라보는 통찰력을 가장 중요하게 생각하고 있는 전문가입니다.","1일 ***,***"
